metric,value,period,data_source,field_type,notes,generated_at,source_server,git_commit_hash,generated_by,data_source_label,approval_status,next_action
Second Best GSC Position,/dog-training-behaviour/ at position 2.0 (but 0 clicks),28 days,LIVE GSC DATA,MEASURED,Position 2 with zero clicks is unusual - investigate SERP appearance,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
Highest GSC Impressions Page,"/cat-supplies/ with 41 impressions, 0 clicks, position 10.6",28 days,LIVE GSC DATA,MEASURED,Prime candidate for CTR optimization - move from page 2 to page 1,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
Homepage GSC Performance,"2 clicks, 29 impressions, 6.9% CTR, position 4.4",28 days,LIVE GSC DATA,MEASURED,Homepage has best CTR but low volume,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
SEO Score,89/100,Snapshot 2026-05-27,EXTERNAL SEO SNAPSHOT,EXTERNAL SNAPSHOT,Above average (vs 75% benchmark),2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
AI Visibility Score,65/100,Snapshot 2026-05-27,EXTERNAL SEO SNAPSHOT,EXTERNAL SNAPSHOT,Decent but room for improvement,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
Content Trust Score,58%,Snapshot 2026-05-27,EXTERNAL SEO SNAPSHOT,EXTERNAL SNAPSHOT,Below average - trust lift plan needed,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
Credibility Score,45%,Snapshot 2026-05-27,EXTERNAL SEO SNAPSHOT,EXTERNAL SNAPSHOT,Weakest score - priority improvement area,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
Subject Expertise Score,55%,Snapshot 2026-05-27,EXTERNAL SEO SNAPSHOT,EXTERNAL SNAPSHOT,Needs methodology and source visibility improvements,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
Affiliate Click Events,0,28 days,LIVE GA4 DATA,MEASURED,No affiliate click tracking events recorded,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
Page Speed Baseline,TTFB 1.379s / FCP 1.976s / LCP 2.04s / CLS 0.0000,Snapshot 2026-05-27,EXTERNAL SEO SNAPSHOT,EXTERNAL SNAPSHOT,CLS excellent. LCP good. FCP and TTFB above target.,2026-05-27T18:14:57.277779+00:00,167.99.198.145,ffaea39,Phase9G Deliverable Generator v1.0,LIVE GA4 DATA + LIVE GSC DATA + EXTERNAL SEO SNAPSHOT,phase_9g_measurement_baseline,Use as before/after benchmark. Re-measure monthly.
