post_id,title,cluster,improvement_type,detail,status,readiness_before,readiness_after,generated_at,source_server,git_commit,generated_by,data_source_label
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,monitoring,"Word count: 1121, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,monitoring,"Word count: 1087, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,monitoring,"Word count: 1170, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,monitoring,"Word count: 1134, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,monitoring,"Word count: 1055, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,monitoring,"Word count: 1113, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,monitoring,"Word count: 1260, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,monitoring,"Word count: 1161, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,monitoring,"Word count: 1073, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,monitoring,"Word count: 1090, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,monitoring,"Word count: 1269, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,monitoring,"Word count: 1179, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,monitoring,"Word count: 1207, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,monitoring,"Word count: 1136, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,monitoring,"Word count: 1368, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Supplies,monitoring,"Word count: 1195, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Supplies,monitoring,"Word count: 1193, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Supplies,monitoring,"Word count: 1136, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Supplies,monitoring,"Word count: 1306, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Supplies,monitoring,"Word count: 1282, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Supplies,monitoring,"Word count: 1182, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Supplies,monitoring,"Word count: 1224, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Supplies,monitoring,"Word count: 1355, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Supplies,monitoring,"Word count: 1081, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Supplies,monitoring,"Word count: 1093, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Supplies,monitoring,"Word count: 1143, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Supplies,monitoring,"Word count: 1460, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Supplies,monitoring,"Word count: 1116, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Supplies,monitoring,"Word count: 1319, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,monitoring,"Word count: 1322, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,none_needed,Already well-structured,skipped,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Supplies,monitoring,"Word count: 1340, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Supplies,monitoring,"Word count: 1312, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Supplies,monitoring,"Word count: 1415, Has FAQ: True, Has summary: True",monitoring,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Supplies,none_needed,Already well-structured,skipped,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Supplies,none_needed,Already well-structured,skipped,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Supplies,none_needed,Already well-structured,skipped,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Supplies,none_needed,Already well-structured,skipped,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Supplies,none_needed,Already well-structured,skipped,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Supplies,none_needed,Already well-structured,skipped,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Supplies,summary_enhancement,"Word count: 3210, Has FAQ: True, Has summary: False",improvement_identified,MEDIUM,MEDIUM,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Supplies,none_needed,Already well-structured,skipped,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
3836,Best Dog Food UK (2026) – Complete Buying Guide,Dog Supplies,none_needed,Already well-structured,skipped,HIGH,HIGH,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,Cat Supplies,faq_section_candidate; summary_enhancement,"Word count: 2337, Has FAQ: False, Has summary: False",improvement_identified,MEDIUM,MEDIUM,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
3,Top Dog Toys Every Pet Owner Needs in 2026,Dog Supplies,thin_content_flag; summary_enhancement,"Word count: 612, Has FAQ: False, Has summary: False",improvement_identified,LOW,LOW,2026-05-27T22:02:26.805770+00:00,167.99.198.145,951759a,Phase10C_Execution_Engine,WordPress REST API + RankMath
