source_id,source_title,source_cluster,target_id,target_title,target_cluster,anchor_text,is_cross_cluster
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Supplies,5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Supplies,Scent Game Enrichment for Dogs,False
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Supplies,5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Supplies,Crate Play and Enrichment,False
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Supplies,5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Supplies,Building Enrichment Schedules,False
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Supplies,6042,Enrichment by Breed Group: Tailoring Play to Your Dog&#8217;s Instincts,Dog Supplies,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,False
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Supplies,6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Supplies,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,False
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Supplies,6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Supplies,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,False
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,False
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,Complete Dog Toy Cleaning Guide,False
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,Dog Toy Materials Compared,False
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,Toy Lifespan and Replacement,False
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,Dog Toy Durability Guide,False
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Other,Pet Toy Safety Guide,True
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Other,Pet Toy Safety Guide,True
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,Toy Safety by Breed and Size,False
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,Dog Toy Storage and Organisation,False
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Toys,Recognising Overstimulation Signs,False
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,Dog Toy Rotation Guide,False
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,False
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Supplies,5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,Mental Stimulation Toys for Dogs,True
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Supplies,5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,Dog Toy Rotation Guide,True
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Supplies,5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Supplies,Building Enrichment Schedules,False
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Supplies,5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Supplies,Cognitive Enrichment for Senior Dogs,False
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Supplies,5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,Enrichment Beyond Fetch,True
6042,Enrichment by Breed Group: Tailoring Play to Your Dog&#8217;s Instincts,Dog Supplies,6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Supplies,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,False
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Toys,Recognising Dog Toy Overstimulation,False
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,Mental Stimulation Toys for Dogs,False
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Supplies,Crate Play and Enrichment,True
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Supplies,Building Enrichment Schedules,True
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Supplies,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,True
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Supplies,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,True
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,aggressive chewer dog toys guide,False
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,dog toy rotation guide,False
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,dog toy cleaning guide,False
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,dog toy lifespan and replacement guide,False
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,Aggressive Chewer Dog Toys,False
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,Dog Toy Lifespan and Replacement,False
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,Dog Toy Cleaning Guide,False
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Other,Pet Toy Safety Guide,True
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,aggressive chewer dog toys guide,False
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Other,pet toy safety guide,True
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,Aggressive Chewer Dog Toys,False
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Other,Pet Toy Safety Guide,True
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,Dog Toy Cleaning Guide,False
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,Dog Toy Lifespan and Replacement,False
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,False
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Supplies,5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,Mental Stimulation Toys for Dogs,True
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Supplies,5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Other,Pet Toy Safety Guide,True
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Supplies,5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,Dog Toy Enrichment Beyond Fetch,True
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Supplies,5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,Dog Toy Cleaning Guide,True
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Supplies,5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,toy rotation system,True
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Supplies,5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Supplies,cognitive enrichment for senior dogs,False
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Supplies,5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,enrichment beyond fetch,True
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Supplies,5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,Mental Stimulation Toys for Dogs,True
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Supplies,5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,Dog Toy Rotation Guide,True
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Supplies,5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,Dog Toy Enrichment Beyond Fetch,True
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Supplies,5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Other,Pet Toy Safety Guide,True
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Supplies,6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Supplies,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,False
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,dog toy cleaning guide,False
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,dog toy lifespan and replacement guide,False
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,Dog Toy Cleaning Guide,False
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,Dog Toy Rotation Guide,False
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,Dog Toy Lifespan and Replacement,False
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,Dog Toy Enrichment Beyond Fetch,False
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Supplies,4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,Puppy Care,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,True
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Supplies,5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,Mental Stimulation Toys for Dogs,True
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Supplies,5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Dog Supplies,Dog Boredom Prevention,False
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Supplies,5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,Dog Toy Cleaning Guide,True
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Supplies,5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,Puppy-Safe Dog Toys,True
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Supplies,6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,True
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Supplies,5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,Dog Toy Enrichment Beyond Fetch,True
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Supplies,5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Other,Pet Toy Safety Guide,True
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Supplies,5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,Aggressive Chewer Dog Toys,True
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Supplies,5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,Mental Stimulation Toys for Dogs,True
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Supplies,4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Supplies,no-pull harness guide,False
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Supplies,5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,Mental Stimulation Toys for Dogs,True
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Supplies,5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,Dog Toy Enrichment Beyond Fetch,True
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Supplies,5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Dog Supplies,Dog Boredom Prevention,False
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Supplies,5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,Dog Toy Rotation Guide,True
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Toys,5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,Mental Stimulation Toys for Dogs,False
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Toys,5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,Dog Toy Rotation Guide,False
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Toys,5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,Dog Toy Enrichment Beyond Fetch,False
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Toys,5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Other,Pet Toy Safety Guide,True
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Toys,6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,False
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Other,Pet Toy Safety Guide,True
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,Aggressive Chewer Dog Toys,False
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,Puppy-Safe Dog Toys,False
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,Dog Toy Lifespan and Replacement,False
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Supplies,Best Dog Collars and Harnesses UK (2026) – Complete Guide,True
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,4049,Best Puppy Collars UK (2026) – First Collar &#038; Harness Guide,Puppy Care,Best Puppy Collars UK (2026) – First Collar & Harness Guide,True
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,Dog Training Terminology,False
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,4791,How to Choose the Right Dog Training Treats,Dog Training,Choosing Training Treats,False
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Supplies,No-Pull Harness Guide,True
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,True
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Other,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",True
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Beds,5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,Dog Bed Sizing Guide,False
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Beds,4783,How to Choose the Right Dog Bed Size,Dog Beds,How To Choose The Right Dog Bed Size,False
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Beds,5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Other,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",True
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Beds,4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,False
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Glossary,5512,Dog Behaviour Explained: Understanding Your Dog&#8217;s Body Language and Actions,Dog Supplies,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,True
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Glossary,5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,Dog Health Basics,True
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Glossary,5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Glossary,Pet Nutrition Terminology,False
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Glossary,5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,True
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Glossary,5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Glossary,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,False
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Glossary,5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,True
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Glossary,5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Other,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",True
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Glossary,6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Supplies,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,True
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",True
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Beds,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",True
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Glossary,Pet Health Terminology: A Guide to Common Veterinary Terms,True
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,Dog Bed Types Explained: A Complete Glossary,True
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,5419,Cat Care Basics: A Glossary for New Cat Owners,Glossary,Cat Care Basics: A Glossary for New Cat Owners,True
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Indoor Cats,Cat Enrichment Activities,False
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Cat Toys,Best Indoor Cat Toys,True
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Supplies,Cat Scratching Behaviour,True
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Other,Pet Enrichment Guide,True
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Glossary,Pet Health Terminology: A Guide to Common Veterinary Terms,True
5512,Dog Behaviour Explained: Understanding Your Dog&#8217;s Body Language and Actions,Dog Supplies,4034,Best No-Pull Dog Harnesses UK (2026) – Training &#038; Comfort Guide,Dog Supplies,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,False
