id,title,cluster,has_faq,faq_question_count,has_quick_answer,faq_quality_score
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,yes,3,yes,90
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,yes,3,yes,90
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,yes,3,yes,90
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,yes,3,yes,90
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,yes,3,yes,90
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,yes,3,yes,90
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,yes,4,yes,90
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,yes,4,yes,90
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,yes,3,yes,90
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,yes,4,yes,90
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,yes,6,yes,100
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,yes,5,yes,100
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,yes,5,yes,100
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,yes,7,yes,100
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,yes,2,yes,80
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,yes,2,yes,80
