weak_post_id,weak_post_title,source_post_id,source_post_title,anchor_text,status
5415,Dog Play Styles Explained,4789,Best Types of Dog Toys for Different Play Styles,Dog Play Styles Explained: Understanding How Your Dog Plays,inserted
5415,Dog Play Styles Explained,5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,dog-play-styles-explained,already_exists
5415,Dog Play Styles Explained,5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Play Styles Explained: Understanding How Your Dog Plays,inserted
5414,Cat Toy Types Glossary,4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toy Types Explained: A Complete Glossary,inserted
5414,Cat Toy Types Glossary,5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toy Types Explained: A Complete Glossary,inserted
5414,Cat Toy Types Glossary,4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toy Types Explained: A Complete Glossary,inserted
5296,Best Indoor Cat Toys,4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,inserted
5296,Best Indoor Cat Toys,4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,inserted
5296,Best Indoor Cat Toys,5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,best-indoor-cat-toys,already_exists
4064,Best Dog Brushes,4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,best-dog-brushes-uk,already_exists
4064,Best Dog Brushes,4563,Dog Grooming Basics: A Complete Guide for Owners,Best Dog Brushes UK (2026) – Guide by Coat Type,inserted
4064,Best Dog Brushes,4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,best-dog-brushes-uk,already_exists
4011,Best Cooling Dog Beds,3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,best-cooling-dog-beds-uk,already_exists
4011,Best Cooling Dog Beds,4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",best-cooling-dog-beds-uk,already_exists
4011,Best Cooling Dog Beds,5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,inserted
4004,Best Orthopaedic Dog Beds,3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,best-orthopaedic-dog-beds-uk,already_exists
4004,Best Orthopaedic Dog Beds,5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,inserted
4004,Best Orthopaedic Dog Beds,4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,inserted
3960,Best Puppy Toys,5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Best Puppy Toys UK (2026) – Teething & First Toys Guide,inserted
3960,Best Puppy Toys,4792,Puppy Socialisation: A Complete Timeline Guide,best-puppy-toys-uk,already_exists
3960,Best Puppy Toys,3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,best-puppy-toys-uk,already_exists
3959,Best Interactive Dog Toys,5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,inserted
3959,Best Interactive Dog Toys,5423,Dog Toy Enrichment: Beyond Basic Fetch,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,inserted
3959,Best Interactive Dog Toys,3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,best-interactive-dog-toys-uk,already_exists
3960,Best Puppy Toys,4790,DIY Dog Toys: Safe Homemade Options,Best Puppy Toys UK (2026) – Teething & First Toys Guide,inserted
3960,Best Puppy Toys,4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Best Puppy Toys UK (2026) – Teething & First Toys Guide,inserted
4011,Best Cooling Dog Beds,4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,inserted
4011,Best Cooling Dog Beds,4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,best-cooling-dog-beds-uk,already_exists
4064,Best Dog Brushes,4464,Unknown,,error_fetch
4064,Best Dog Brushes,4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,best-dog-brushes-uk,already_exists
4064,Best Dog Brushes,5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Best Dog Brushes UK (2026) – Guide by Coat Type,inserted
