id,title,cluster,internal_links_out,unique_clusters_linked,cross_cluster_links,orphan_risk,semantic_coverage_score
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Dog Toys,7,1,0,low,7.1
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,9,1,0,low,7.1
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Dog Food,6,1,1,low,7.1
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Grooming,5,0,0,low,0.0
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,8,2,1,low,14.3
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Dog Food,7,2,1,low,14.3
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Toys,8,2,2,low,14.3
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,13,2,1,low,14.3
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,11,1,0,low,7.1
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,15,1,0,low,7.1
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,10,1,0,low,7.1
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,12,1,0,low,7.1
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,12,1,0,low,7.1
5419,Cat Care Basics: A Glossary for New Cat Owners,Educational,6,2,2,low,14.3
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,6,1,0,low,7.1
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,9,2,4,low,14.3
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,6,1,0,low,7.1
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Dog Toys,13,2,1,low,14.3
5414,Cat Toy Types Explained: A Complete Glossary,Cat Toys,11,2,1,low,14.3
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Indoor Cats,8,2,3,low,14.3
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,11,3,2,low,21.4
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Dog Training,11,2,4,low,14.3
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,11,3,2,low,21.4
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Dog Toys,11,2,4,low,14.3
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,11,3,2,low,21.4
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Training,13,4,5,low,28.6
4791,How to Choose the Right Dog Training Treats,Dog Training,7,1,0,low,7.1
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,10,2,1,low,14.3
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,12,2,1,low,14.3
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Uncategorized,7,2,3,low,14.3
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,10,2,1,low,14.3
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Uncategorized,7,1,3,low,7.1
4785,How to Wash and Maintain Your Dog's Bed,Uncategorized,7,1,2,low,7.1
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,8,1,0,low,7.1
4783,How to Choose the Right Dog Bed Size,Dog Beds,8,1,0,low,7.1
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Dog Care,9,1,1,low,7.1
4570,First-Time Dog Owner Essentials: What You Need to Know,Uncategorized,12,2,5,low,14.3
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Uncategorized,5,0,0,low,0.0
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Educational,6,1,1,low,7.1
4571,Pet First Aid Basics: What Every Owner Should Know,Uncategorized,11,2,3,low,14.3
4568,Dog Dental Health: A Practical Care Guide,Dog Health,12,0,0,low,0.0
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,6,0,0,low,0.0
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Grooming,12,0,0,low,0.0
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,17,4,3,low,28.6
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Indoor Cats,16,3,7,low,21.4
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,15,0,0,low,0.0
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,15,1,0,low,7.1
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,12,1,0,low,7.1
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,15,1,0,low,7.1
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Dog Toys,16,3,5,low,21.4
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,15,3,2,low,21.4
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,14,3,2,low,21.4
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,10,2,1,low,14.3
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,10,3,2,low,21.4
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Uncategorized,11,3,3,low,21.4
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,11,4,3,low,28.6
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,10,3,2,low,21.4
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Uncategorized,10,3,2,low,21.4
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Uncategorized,10,3,2,low,21.4
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Toys,10,3,2,low,21.4
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Toys,11,3,2,low,21.4
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,10,3,2,low,21.4
4272,Best Cat ID Tags UK (2026) – Identification Guide,Educational,16,3,4,low,21.4
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Educational,10,3,2,low,21.4
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,10,3,2,low,21.4
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Dog Grooming,13,4,3,low,28.6
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Dog Grooming,12,3,2,low,21.4
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Dog Grooming,13,5,4,low,35.7
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,17,4,3,low,28.6
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,7,1,0,low,7.1
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,8,1,0,low,7.1
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,7,1,0,low,7.1
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,9,2,1,low,14.3
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Indoor Cats,26,7,19,low,50.0
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,29,8,17,low,57.1
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,21,5,12,low,35.7
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,29,7,18,low,50.0
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Educational,23,2,2,low,14.3
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Educational,18,3,2,low,21.4
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Uncategorized,11,2,2,low,14.3
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Food,12,2,4,low,14.3
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Harnesses,7,0,0,low,0.0
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Training,9,1,1,low,7.1
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,8,1,1,low,7.1
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,7,0,0,low,0.0
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,7,0,0,low,0.0
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,7,0,0,low,0.0
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,7,0,0,low,0.0
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,7,0,0,low,0.0
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Grooming,11,1,0,low,7.1
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Grooming,13,2,1,low,14.3
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Grooming,12,2,1,low,14.3
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,12,1,0,low,7.1
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Harnesses,12,3,4,low,21.4
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Harnesses,10,2,1,low,14.3
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,11,2,2,low,14.3
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,9,1,0,low,7.1
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,13,4,6,low,28.6
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,8,2,1,low,14.3
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,9,2,2,low,14.3
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,16,5,8,low,35.7
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,8,2,2,low,14.3
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,9,2,1,low,14.3
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,9,2,1,low,14.3
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,15,1,0,low,7.1
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,8,1,0,low,7.1
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,8,1,0,low,7.1
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,9,2,1,low,14.3
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,7,2,1,low,14.3
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,13,1,0,low,7.1
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,10,3,2,low,21.4
