id,title,cluster,word_count,has_faq,faq_count,has_sources,source_count,has_quick_answer,has_comparison_table,has_trust_links,has_glossary_terms,internal_link_count,external_link_count,heading_count,authority_density_score
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Toys,1206,yes,2,yes,8,yes,no,yes,yes,11,3,20,90.0
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,1031,yes,2,yes,7,yes,no,yes,yes,10,3,18,90.0
4272,Best Cat ID Tags UK (2026) – Identification Guide,Educational,1157,yes,2,yes,14,yes,no,yes,yes,16,3,19,90.0
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Educational,1016,yes,2,yes,7,yes,no,yes,yes,10,3,18,90.0
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,1160,yes,2,yes,7,yes,no,yes,yes,10,3,20,90.0
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Dog Grooming,1077,yes,2,yes,10,yes,no,yes,yes,13,3,19,90.0
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Dog Grooming,1042,yes,2,yes,9,yes,no,yes,yes,12,3,18,90.0
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Dog Grooming,1027,yes,2,yes,10,yes,no,yes,yes,13,3,18,90.0
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,1204,yes,2,yes,4,yes,no,yes,yes,17,3,20,90.0
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,998,yes,2,yes,7,yes,no,yes,yes,7,3,17,90.0
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,966,yes,2,yes,8,yes,no,yes,yes,8,3,17,90.0
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,980,yes,2,yes,7,yes,no,yes,yes,7,3,17,90.0
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,1139,yes,2,yes,9,yes,no,yes,yes,9,3,19,90.0
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Indoor Cats,1299,yes,2,yes,25,yes,no,yes,yes,26,3,18,90.0
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,1296,yes,0,yes,23,yes,no,yes,yes,29,3,17,90.0
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,1201,yes,2,yes,20,yes,no,yes,yes,21,3,17,90.0
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,1470,yes,0,yes,24,yes,no,yes,yes,29,3,19,90.0
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Educational,1210,yes,2,yes,10,yes,no,yes,yes,23,3,21,90.0
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Educational,1183,yes,2,yes,5,yes,no,yes,yes,18,3,21,90.0
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Uncategorized,1051,yes,2,yes,8,yes,no,yes,yes,11,3,20,90.0
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Food,1245,yes,2,yes,9,yes,no,yes,yes,12,3,22,90.0
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Harnesses,1055,yes,2,yes,7,yes,no,yes,yes,7,3,19,90.0
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Training,1081,yes,2,yes,8,yes,no,yes,yes,9,3,20,90.0
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,1033,yes,2,yes,8,yes,no,yes,yes,8,3,19,90.0
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,1128,yes,2,yes,7,yes,no,yes,yes,7,3,21,90.0
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,1083,yes,2,yes,7,yes,no,yes,yes,7,3,21,90.0
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,1120,yes,2,yes,7,yes,no,yes,yes,7,3,20,90.0
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,1044,yes,2,yes,7,yes,no,yes,yes,7,3,19,90.0
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,1139,yes,2,yes,7,yes,no,yes,yes,7,3,20,90.0
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Grooming,999,yes,2,yes,8,yes,no,yes,yes,11,3,18,90.0
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Grooming,1008,yes,2,yes,10,yes,no,yes,yes,13,3,21,90.0
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Grooming,1048,yes,2,yes,9,yes,no,yes,yes,12,3,19,90.0
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,1281,yes,3,yes,9,yes,no,yes,yes,12,3,21,90.0
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Harnesses,1075,yes,3,yes,13,yes,no,yes,yes,12,3,18,90.0
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Harnesses,1187,yes,3,yes,10,yes,no,yes,yes,10,3,20,90.0
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,1205,yes,3,yes,11,yes,no,yes,yes,11,3,19,90.0
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,1497,yes,3,yes,9,yes,no,yes,yes,9,4,27,90.0
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,1293,yes,3,yes,13,yes,no,yes,yes,13,3,22,90.0
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,1156,yes,3,yes,8,yes,no,yes,yes,8,3,21,90.0
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,1223,yes,3,yes,9,yes,no,yes,yes,9,3,23,90.0
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,1772,yes,3,yes,21,yes,yes,yes,yes,16,5,29,100.0
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,1701,yes,4,yes,8,yes,no,yes,yes,8,3,33,90.0
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,1765,yes,4,yes,12,yes,yes,yes,yes,9,5,33,100.0
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,1573,yes,3,yes,8,yes,no,yes,yes,9,3,29,90.0
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,1988,yes,4,yes,20,yes,yes,yes,yes,15,6,31,100.0
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,2173,yes,6,yes,7,yes,yes,yes,yes,8,3,33,100.0
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,1866,yes,5,yes,7,yes,yes,yes,yes,8,3,29,100.0
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,2990,yes,5,yes,8,yes,yes,yes,yes,9,3,34,100.0
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,4331,yes,7,yes,9,yes,yes,yes,yes,7,3,42,100.0
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,847,yes,2,yes,7,yes,no,yes,yes,13,4,17,90.0
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,592,yes,2,yes,7,yes,no,yes,yes,10,3,10,90.0
