post_id,title,cluster,url_slug,citation_status,original_citability_score,structured_data_score,authority_signals_score,answer_format_score,uniqueness_score,enhanced_citability_score,word_count,confidence_level,has_structured_data,has_source_citations,has_qa_format,has_unique_data,notes,uk_ref_count,internal_link_count,source_section_present
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,dry-vs-wet-dog-food-uk,estimated,58,90,90,81.5,71.5,75.9,5321,high,yes,yes,yes,yes,13 FAQs; 11 H2s; 26 lists/tables; 36 links; comprehensive depth,6,17,yes
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Supplies,best-catnip-toys-uk,estimated,51,90,93,88.0,74.0,75.9,4080,high,yes,yes,yes,yes,14 FAQs; 10 H2s; 19 lists/tables; 53 links; solid depth,5,34,yes
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,dog-health-basics-guide,estimated,52,83.5,90,94,75.0,75.8,5859,high,yes,yes,yes,yes,15 FAQs; 14 H2s; 19 lists/tables; 35 links; comprehensive depth,5,16,yes
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Supplies,best-interactive-dog-toys-uk,estimated,51,85,87.4,99,69.5,75.6,4501,high,yes,yes,yes,yes,15 FAQs; 14 H2s; 20 lists/tables; 28 links; solid depth,5,8,yes
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,puppy-vaccination-schedule-uk,estimated,60,90,74.2,88.0,71.5,75.5,4387,high,yes,yes,yes,yes,19 FAQs; 12 H2s; 28 lists/tables; 24 links; solid depth,5,11,no
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,first-time-dog-owner-essentials,estimated,51,90,85.8,87.5,78.5,75.4,4219,high,yes,yes,yes,yes,13 FAQs; 9 H2s; 24 lists/tables; 26 links; solid depth,5,16,yes
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,senior-dog-toys,estimated,53,81.0,100,95,61.0,75.2,5305,high,yes,yes,yes,yes,19 FAQs; 14 H2s; 23 lists/tables; 41 links; comprehensive depth,5,7,yes
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,pet-health-terminology-guide,estimated,54,85,78.4,90.0,80.0,75.0,5260,high,yes,yes,yes,yes,13 FAQs; 10 H2s; 17 lists/tables; 23 links; comprehensive depth,5,9,yes
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Supplies,best-interactive-cat-toys-uk,estimated,47,85,93,90.5,79.0,75.0,4396,high,yes,yes,yes,yes,14 FAQs; 11 H2s; 18 lists/tables; 47 links; solid depth,5,28,yes
4568,Dog Dental Health: A Practical Care Guide,Dog Care,dog-dental-health-care-guide,estimated,50,90,80.8,92.5,75.5,74.9,4239,high,yes,yes,yes,yes,14 FAQs; 9 H2s; 20 lists/tables; 26 links; solid depth,5,11,yes
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,dog-training-equipment-guide,estimated,52,79.5,95,91.5,71.0,74.7,6179,high,yes,yes,yes,yes,15 FAQs; 11 H2s; 19 lists/tables; 50 links; comprehensive depth,6,19,yes
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,best-puppy-beds-uk,estimated,51,90,81.8,88.0,75.5,74.5,4159,high,yes,yes,yes,yes,13 FAQs; 12 H2s; 21 lists/tables; 21 links; solid depth,5,13,yes
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Supplies,best-puppy-collars-uk,estimated,49,90,80.2,90.0,78.5,74.5,4102,high,yes,yes,yes,yes,13 FAQs; 10 H2s; 21 lists/tables; 19 links; solid depth,5,12,yes
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,best-cat-scratching-posts-uk,estimated,47,90.0,85,92,74.5,74.4,4266,high,yes,yes,yes,yes,10 FAQs; 14 H2s; 24 lists/tables; 37 links; solid depth,4,17,yes
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,best-cat-collars-uk,estimated,48,80.0,95.6,94,72.0,74.3,3784,high,yes,yes,yes,yes,17 FAQs; 14 H2s; 17 lists/tables; 27 links; solid depth,5,10,yes
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,dog-toy-rotation-guide,estimated,52,79.0,95,94.5,64.5,74.2,4935,high,yes,yes,yes,yes,19 FAQs; 13 H2s; 20 lists/tables; 42 links; solid depth,5,9,yes
4785,How to Wash and Maintain Your Dog's Bed,Dog Beds,how-to-wash-dog-bed,estimated,51,90,76.6,86.5,78.5,73.9,3781,high,yes,yes,yes,yes,15 FAQs; 13 H2s; 22 lists/tables; 27 links; solid depth,5,12,yes
4789,Best Types of Dog Toys for Different Play Styles,Dog Supplies,dog-toys-for-different-play-styles,estimated,49,90,79.2,94.5,69.5,73.9,3541,high,yes,yes,yes,yes,13 FAQs; 13 H2s; 18 lists/tables; 24 links; solid depth,5,11,yes
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,best-dog-collars-and-harnesses-uk,estimated,53,80,100,81.5,70.5,73.8,4036,high,yes,yes,yes,yes,17 FAQs; 13 H2s; 19 lists/tables; 32 links; solid depth,6,14,yes
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,puppy-development-stages-guide,estimated,54,85,95,87.0,59.0,73.7,5622,high,yes,yes,yes,yes,21 FAQs; 10 H2s; 20 lists/tables; 43 links; comprehensive depth,6,19,yes
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,pet-hydration-guide,estimated,46,85,85.0,93.5,76.5,73.7,3602,high,yes,yes,yes,yes,11 FAQs; 9 H2s; 19 lists/tables; 25 links; solid depth,6,13,yes
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,best-cat-gps-trackers-uk,estimated,44,83.0,99.0,86.5,78.5,73.7,3544,high,yes,yes,yes,yes,15 FAQs; 13 H2s; 18 lists/tables; 30 links; solid depth,6,11,yes
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,best-cat-litter-disposal-uk,estimated,45,79.0,100,94,70.0,73.6,4168,high,yes,yes,yes,yes,13 FAQs; 14 H2s; 22 lists/tables; 36 links; solid depth,5,18,yes
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,top-dog-toys-every-pet-owner-needs-in-2026,estimated,59,69.0,90,83,77.5,73.2,5721,high,yes,yes,yes,yes,9 FAQs; 15 H2s; 11 lists/tables; 181 links; comprehensive depth,5,162,yes
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,best-cat-trees-uk,estimated,49,81.5,91.2,86.5,75.0,73.2,3549,high,yes,yes,yes,yes,18 FAQs; 13 H2s; 19 lists/tables; 29 links; solid depth,5,11,yes
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,dog-health-terminology-understanding-common-veterinary-and-care-terms,estimated,46,90,85,75.5,90.0,73.2,4574,high,yes,yes,yes,yes,11 FAQs; 7 H2s; 23 lists/tables; 35 links; solid depth,6,18,no
4783,How to Choose the Right Dog Bed Size,Dog Beds,how-to-choose-dog-bed-size,estimated,53,90,74.2,83.0,76.5,73.1,3790,high,yes,yes,yes,yes,15 FAQs; 12 H2s; 23 lists/tables; 24 links; solid depth,5,8,yes
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,best-cat-beds-uk,estimated,43,81.5,99,91.0,71.0,72.9,4026,high,yes,yes,yes,yes,15 FAQs; 12 H2s; 19 lists/tables; 32 links; solid depth,5,14,yes
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,dog-bed-terminology-materials-types-and-sizing-terms-explained,estimated,51,90,75.8,80.5,79.5,72.7,4599,high,yes,yes,yes,yes,13 FAQs; 7 H2s; 20 lists/tables; 26 links; solid depth,5,14,no
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,best-cat-harnesses-uk,estimated,45,78.5,95.6,93.5,70.0,72.7,3645,high,yes,yes,yes,yes,18 FAQs; 13 H2s; 17 lists/tables; 27 links; solid depth,4,10,yes
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Supplies,aggressive-chewer-dog-toys,estimated,42,88.0,87.4,90.5,74.5,72.6,4197,high,yes,yes,yes,yes,12 FAQs; 11 H2s; 22 lists/tables; 28 links; solid depth,5,15,yes
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,best-cat-grooming-supplies-uk,estimated,48,77.5,100,85.5,70.0,72.5,3922,high,yes,yes,yes,yes,16 FAQs; 13 H2s; 22 lists/tables; 35 links; solid depth,5,17,yes
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,dog-boredom-prevention,estimated,48,76.0,100,95,59.0,72.5,4953,high,yes,yes,yes,yes,16 FAQs; 14 H2s; 20 lists/tables; 43 links; solid depth,5,8,yes
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Supplies,puppy-safe-dog-toys,estimated,43,90,76.0,93.0,76.5,72.4,4498,high,yes,yes,yes,yes,12 FAQs; 12 H2s; 20 lists/tables; 20 links; solid depth,5,12,yes
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,puppy-care-glossary-essential-terms-for-new-puppy-owners,estimated,46,87.5,85,75.5,87.0,72.2,4658,high,yes,yes,yes,yes,9 FAQs; 7 H2s; 21 lists/tables; 32 links; solid depth,5,14,no
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Care,dog-harnesses-complete-guide,estimated,44,83.5,100,85.0,68.5,72.2,3811,high,yes,yes,yes,yes,15 FAQs; 8 H2s; 20 lists/tables; 32 links; solid depth,5,21,yes
7341,First Week with a New Puppy: A Day-by-Day Guide,Dog Care,first-week-new-puppy-guide,estimated,53,90,75,78.5,75.0,72.1,4114,high,yes,yes,yes,yes,13 FAQs; 11 H2s; 32 lists/tables; 35 links; solid depth,6,22,no
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,cat-toy-types-glossary,estimated,49,85,95.8,78.0,69.5,72.1,3735,high,yes,yes,yes,yes,13 FAQs; 10 H2s; 17 lists/tables; 26 links; solid depth,6,11,yes
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,best-self-cleaning-litter-trays-uk,estimated,46,76.5,98.0,91.5,66.0,72.0,3737,high,yes,yes,yes,yes,18 FAQs; 13 H2s; 17 lists/tables; 30 links; solid depth,5,12,yes
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,best-cat-nail-clippers-uk,estimated,45,86.5,85.4,88.5,71.0,72.0,3595,high,yes,yes,yes,yes,20 FAQs; 11 H2s; 18 lists/tables; 23 links; solid depth,4,12,yes
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,best-wall-mounted-cat-scratchers-uk,estimated,45,78.0,100,91.5,64.0,72.0,3831,high,yes,yes,yes,yes,15 FAQs; 13 H2s; 19 lists/tables; 34 links; solid depth,5,15,yes
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Uncategorized,dog-behaviour-explained,estimated,49,79.0,95,91.5,59.0,71.9,5377,high,yes,yes,yes,yes,16 FAQs; 11 H2s; 22 lists/tables; 45 links; comprehensive depth,5,20,yes
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,mental-stimulation-toys-dogs,estimated,45,79.5,99.8,94.5,56.0,71.7,5154,high,yes,yes,yes,yes,15 FAQs; 13 H2s; 23 lists/tables; 31 links; comprehensive depth,5,13,yes
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,dog-harness-types-glossary,estimated,49,90,93.4,77.5,62.5,71.6,4899,high,yes,yes,yes,yes,16 FAQs; 5 H2s; 18 lists/tables; 23 links; solid depth,5,9,yes
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,best-no-pull-dog-harnesses-uk,estimated,46,80,99.8,83.5,67.5,71.6,3714,high,yes,yes,yes,yes,15 FAQs; 11 H2s; 18 lists/tables; 31 links; solid depth,5,14,yes
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,puppy-care-essentials-glossary,estimated,46,87.5,85,79.0,78.5,71.6,5537,high,yes,yes,yes,yes,9 FAQs; 6 H2s; 18 lists/tables; 44 links; comprehensive depth,6,23,yes
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,puppy-teething-guide-stages-signs,estimated,48,90,80,80.5,72.5,71.4,3832,high,yes,yes,yes,yes,14 FAQs; 11 H2s; 30 lists/tables; 35 links; solid depth,5,22,no
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,best-heated-cat-beds-uk,estimated,42,75.5,100,87.5,70.0,70.7,3650,high,yes,yes,yes,yes,15 FAQs; 11 H2s; 18 lists/tables; 33 links; solid depth,5,14,yes
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,best-cat-radiator-beds-uk,estimated,42,80.5,96,85.0,69.0,70.5,3566,high,yes,yes,yes,yes,15 FAQs; 12 H2s; 19 lists/tables; 32 links; solid depth,5,14,yes
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Supplies,dog-toy-cleaning-guide,estimated,39,85.0,76.0,99.5,69.0,70.3,4085,high,yes,yes,yes,yes,12 FAQs; 13 H2s; 20 lists/tables; 20 links; solid depth,5,12,yes
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,puppy-proofing-home-safety-guide,estimated,49,90,81,73.5,70.0,70.1,3652,high,yes,yes,yes,yes,12 FAQs; 9 H2s; 28 lists/tables; 36 links; solid depth,5,21,no
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,dog-food-glossary-understanding-ingredients-and-nutrition-labels,estimated,48,90,81.8,72.5,72.5,70.0,5112,high,yes,yes,yes,yes,11 FAQs; 5 H2s; 21 lists/tables; 21 links; comprehensive depth,6,7,no
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Supplies,best-cat-toys-indoor-cats-uk,estimated,42,85.0,83.6,90.0,66.0,70.0,3889,high,yes,yes,yes,yes,14 FAQs; 12 H2s; 19 lists/tables; 27 links; solid depth,5,10,yes
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Supplies,dog-toy-safety-guide,estimated,38,77.5,79.2,99.5,75.5,70.0,3351,high,yes,yes,yes,yes,12 FAQs; 13 H2s; 19 lists/tables; 24 links; moderate depth,5,11,yes
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,dog-toy-lifespan-replacement,estimated,43,83.0,93.2,91.5,54.0,69.9,5221,high,yes,yes,yes,yes,14 FAQs; 11 H2s; 26 lists/tables; 29 links; comprehensive depth,5,11,yes
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,best-cardboard-cat-scratchers-uk,estimated,42,81.0,96,90.5,57.0,69.8,3809,high,yes,yes,yes,yes,13 FAQs; 13 H2s; 19 lists/tables; 33 links; solid depth,5,15,yes
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,puppy-bed-training-guide,estimated,48,90,63.2,86.5,70.0,69.7,4046,high,yes,yes,yes,yes,11 FAQs; 11 H2s; 27 lists/tables; 24 links; solid depth,3,19,no
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,best-cat-shampoo-uk,estimated,41,82.5,93.2,82.0,70.0,69.7,3277,high,yes,yes,yes,yes,18 FAQs; 10 H2s; 18 lists/tables; 24 links; moderate depth,5,13,yes
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,dog-bed-safety-non-toxic-materials,estimated,51,90,57.4,85.0,70.0,69.4,3685,high,yes,yes,yes,yes,14 FAQs; 12 H2s; 28 lists/tables; 23 links; solid depth,5,17,no
