id,title,cluster,status,date_published,word_count,authority_score
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,publish,2026-05-27T01:20:00,1242,90.0
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,publish,2026-05-27T01:20:21,1017,90.0
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Uncategorized,publish,2026-05-27T01:20:40,1022,90.0
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,publish,2026-05-27T01:20:59,1078,90.0
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,publish,2026-05-27T22:58:13,1133,100.0
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,publish,2026-05-27T22:58:20,936,90.0
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,publish,2026-05-27T22:58:26,1104,100.0
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Dog Toys,publish,2026-05-27T22:58:33,1151,100.0
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,publish,2026-05-27T22:58:41,1252,100.0
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,publish,2026-05-27T22:58:47,948,90.0
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,publish,2026-05-27T22:58:52,988,90.0
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,publish,2026-05-27T22:58:58,1014,100.0
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Indoor Cats,publish,2026-05-27T22:59:21,1043,90.0
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,publish,2026-05-27T22:59:25,1132,100.0
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Grooming,publish,2026-05-27T23:11:19,1082,90.0
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,publish,2026-05-27T23:11:26,1189,100.0
4568,Dog Dental Health: A Practical Care Guide,Dog Health,publish,2026-05-27T23:11:32,1149,90.0
4571,Pet First Aid Basics: What Every Owner Should Know,Uncategorized,publish,2026-05-27T23:11:42,1020,90.0
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Educational,publish,2026-05-27T23:11:52,963,90.0
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Uncategorized,publish,2026-05-27T23:11:59,974,90.0
4570,First-Time Dog Owner Essentials: What You Need to Know,Uncategorized,publish,2026-05-27T23:13:26,1276,100.0
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Dog Care,publish,2026-05-27T23:13:30,966,90.0
4783,How to Choose the Right Dog Bed Size,Dog Beds,publish,2026-05-27T23:52:52,983,90.0
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,publish,2026-05-27T23:52:57,1097,100.0
4785,How to Wash and Maintain Your Dog's Bed,Uncategorized,publish,2026-05-27T23:53:02,1002,90.0
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Uncategorized,publish,2026-05-27T23:53:06,1036,85.0
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,publish,2026-05-27T23:53:11,1067,90.0
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Uncategorized,publish,2026-05-27T23:53:16,990,90.0
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,publish,2026-05-27T23:53:20,1189,90.0
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,publish,2026-05-27T23:53:24,1082,90.0
4791,How to Choose the Right Dog Training Treats,Dog Training,publish,2026-05-27T23:53:28,929,90.0
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Training,publish,2026-05-27T23:53:34,1266,90.0
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,publish,2026-05-28T17:33:51,1447,90.0
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Dog Toys,publish,2026-05-28T17:33:58,1738,100.0
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,publish,2026-05-28T17:34:05,1192,90.0
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Dog Training,publish,2026-05-28T17:34:12,910,100.0
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,publish,2026-05-28T17:34:18,884,90.0
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Indoor Cats,publish,2026-05-28T17:34:24,1330,90.0
5414,Cat Toy Types Explained: A Complete Glossary,Cat Toys,publish,2026-05-28T18:05:06,1041,90.0
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Dog Toys,publish,2026-05-28T18:07:23,1098,90.0
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,publish,2026-05-28T18:08:25,1954,100.0
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,publish,2026-05-28T18:11:56,1897,90.0
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,publish,2026-05-28T18:13:12,2075,100.0
5419,Cat Care Basics: A Glossary for New Cat Owners,Educational,publish,2026-05-28T18:14:28,2036,90.0
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,publish,2026-05-28T18:16:46,1882,100.0
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,publish,2026-05-28T18:18:02,1601,90.0
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,publish,2026-05-28T18:20:19,1556,100.0
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,publish,2026-05-28T18:21:48,1883,90.0
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,publish,2026-05-28T18:22:00,1798,90.0
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,publish,2026-05-28T18:22:11,1894,90.0
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Toys,publish,2026-05-28T18:31:36,2546,100.0
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Dog Food,publish,2026-05-28T18:31:54,2340,90.0
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,publish,2026-05-28T18:32:13,2548,90.0
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Grooming,publish,2026-05-28T18:32:32,2945,100.0
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Dog Food,publish,2026-05-28T18:32:53,3090,100.0
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,publish,2026-05-28T18:33:11,2672,100.0
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Dog Toys,publish,2026-05-28T18:33:30,2736,100.0
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,publish,2026-05-28T18:33:48,2754,100.0
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,publish,2026-05-28T18:34:07,2811,100.0
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,publish,2026-05-28T18:34:27,2999,100.0
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Care,publish,2026-05-28T18:41:03,3192,100.0
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Dog Toys,publish,2026-05-28T18:41:28,3339,100.0
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,publish,2026-05-28T18:41:52,3726,100.0
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Dog Toys,publish,2026-05-28T18:42:16,3255,100.0
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Dog Training,publish,2026-05-28T18:42:40,2678,90.0
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,publish,2026-05-28T18:52:30,3071,90.0
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,publish,2026-05-28T18:52:53,3021,95.0
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Dog Health,publish,2026-05-28T18:53:17,2938,90.0
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Beds,publish,2026-05-28T18:53:41,3793,100.0
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,publish,2026-05-28T18:54:06,2964,100.0
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,publish,2026-05-28T21:06:26,1080,97.0
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Toys,publish,2026-05-28T21:06:38,1060,90.0
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Toys,publish,2026-05-28T21:06:50,1010,87.0
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Toys,publish,2026-05-28T21:07:01,991,90.0
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Toys,publish,2026-05-28T21:07:13,1075,90.0
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,publish,2026-05-28T21:12:34,1187,90.0
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Toys,publish,2026-05-28T21:12:44,1145,90.0
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Toys,publish,2026-05-28T21:12:54,1226,90.0
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,publish,2026-05-28T21:13:04,1472,100.0
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,publish,2026-05-28T21:13:15,1458,100.0
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,publish,2026-05-28T21:47:29,1204,100.0
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Dog Toys,publish,2026-05-28T21:47:40,994,100.0
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,publish,2026-05-28T21:47:50,1169,100.0
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,publish,2026-05-28T21:48:01,1129,100.0
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,publish,2026-05-28T21:48:12,1184,100.0
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,publish,2026-05-28T21:48:33,1258,100.0
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,publish,2026-05-28T21:48:44,1110,100.0
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,publish,2026-05-28T21:48:54,1217,100.0
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,publish,2026-05-28T21:49:05,1128,100.0
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,publish,2026-05-28T21:49:15,1150,100.0
