id,title,cluster,has_about_guide,has_common_mistakes,has_what_to_expect,has_routine_checklist,has_practical_tips,has_safety_warning,has_beginner_guidance,humanization_intensity_score
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Educational,1,0,0,0,0,0,1,30
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,1,1,0,0,0,0,0,35
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,1,1,0,0,0,0,1,50
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,0,0,0,0,0,0,1,15
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,1,1,0,0,0,0,1,50
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,1,1,0,0,0,0,1,50
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Educational,0,0,0,0,0,0,0,0
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Grooming,0,0,0,0,0,0,0,0
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,0,0,0,0,0,0,1,15
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Educational,0,0,0,0,0,0,0,0
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Educational,0,0,0,0,0,1,0,10
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,0,0,0,0,0,0,1,15
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Educational,0,0,0,0,0,0,0,0
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,1,1,0,0,0,0,0,35
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,0,0,0,0,0,0,0,0
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,1,1,0,0,0,0,0,35
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,0,0,0,0,0,1,0,10
5419,Cat Care Basics: A Glossary for New Cat Owners,Uncategorized,0,0,0,0,0,0,1,15
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,0,0,0,0,0,0,0,0
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,0,1,0,0,0,0,1,35
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,0,0,0,0,0,0,0,0
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Educational,0,0,0,0,0,0,0,0
5414,Cat Toy Types Explained: A Complete Glossary,Cat Toys,0,0,0,0,0,0,0,0
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Cat Toys,0,0,0,0,0,1,0,10
5033,How to Choose the Right Cat Toy for Your Cat&#8217;s Personality,Cat Toys,0,0,0,0,0,0,0,0
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Educational,0,0,0,0,0,0,0,0
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,0,0,0,0,0,0,0,0
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Uncategorized,0,0,0,0,0,0,0,0
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,0,0,0,0,0,0,0,0
4792,Puppy Socialisation: A Complete Timeline Guide,Educational,0,0,0,0,0,0,1,15
4791,How to Choose the Right Dog Training Treats,Dog Training,0,0,0,0,0,0,0,0
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,0,0,0,0,0,0,1,15
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,0,1,0,0,0,0,1,35
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Uncategorized,0,0,0,0,0,0,0,0
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,0,0,0,1,0,0,1,30
4786,Where to Place Your Dog&#8217;s Bed: Location and Comfort Tips,Uncategorized,0,0,0,0,0,0,0,0
4785,How to Wash and Maintain Your Dog&#8217;s Bed,Educational,0,0,0,0,0,0,0,0
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,1,1,0,0,0,0,0,35
4783,How to Choose the Right Dog Bed Size,Dog Beds,0,0,0,0,0,0,0,0
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Uncategorized,0,0,0,0,0,0,0,0
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,0,1,0,0,0,0,1,35
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Uncategorized,0,1,0,0,0,0,0,20
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Educational,0,0,0,0,1,0,0,10
4571,Pet First Aid Basics: What Every Owner Should Know,Uncategorized,0,0,0,0,0,0,0,0
4568,Dog Dental Health: A Practical Care Guide,Dog Health,0,0,0,0,0,0,1,15
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,0,0,0,0,0,0,0,0
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Grooming,1,1,0,0,0,0,0,35
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,0,0,0,0,0,0,0,0
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,0,0,0,0,0,0,0,0
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,0,0,0,0,0,0,0,0
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,0,0,0,0,0,0,0,0
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,0,1,0,0,0,0,0,20
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,0,0,0,0,0,0,0,0
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Educational,0,0,0,0,0,0,0,0
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,0,0,0,0,0,0,0,0
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,0,0,0,0,0,0,0,0
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,0,0,0,0,0,0,0,0
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,0,0,0,1,1,0,0,25
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Uncategorized,0,0,0,0,1,0,0,10
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Cat Supplies,0,0,0,1,0,0,0,15
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,0,1,0,1,0,0,0,35
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,1,1,0,0,0,1,0,45
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,0,0,0,0,0,1,0,10
4293,Best Cat Trees UK (2026) – Climbing &#038; Scratching Towers,Cat Supplies,0,0,0,0,0,1,0,10
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,1,1,0,1,0,1,0,60
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,0,0,0,0,1,0,0,10
4272,Best Cat ID Tags UK (2026) – Identification Guide,Educational,0,0,0,0,1,0,0,10
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Educational,0,0,0,0,1,0,0,10
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,0,0,0,0,0,0,0,0
4251,Best Cat Shampoo UK (2026) – When &#038; How to Bathe,Educational,0,0,0,0,0,0,0,0
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Dog Grooming,0,0,0,0,0,0,0,0
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Educational,0,0,0,0,0,0,0,0
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,0,0,0,0,0,0,0,0
4223,Best Cat Window Perches UK (2026) – Sunning &#038; Bird Watching,Uncategorized,0,0,0,0,1,1,0,20
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Educational,0,0,0,0,0,0,0,0
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,0,0,0,0,0,0,0,0
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,0,0,0,0,0,0,0,0
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,0,0,0,0,0,0,0,0
4188,Best Catnip Toys UK (2026) – What Works and Why,Uncategorized,1,1,1,0,0,0,0,50
4181,Best Interactive Cat Toys UK (2026) – Wand &#038; Puzzle Guide,Cat Toys,1,1,1,0,0,0,0,50
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,1,1,1,1,0,0,1,80
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Educational,0,0,0,0,1,0,0,10
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Educational,0,0,0,0,0,0,0,0
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Uncategorized,0,0,0,0,0,0,0,0
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Educational,1,0,0,0,0,0,0,15
4139,Best Dog Training Leads UK (2026) – Long Lines &#038; Harnesses,Dog Harnesses,0,0,0,0,0,1,0,10
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Training,1,0,1,0,0,1,1,55
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,0,0,0,0,0,1,0,10
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,1,0,1,1,0,1,1,70
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Educational,0,0,0,1,0,1,0,25
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,0,0,0,1,0,1,0,25
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,0,0,0,1,0,1,1,40
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,1,0,1,1,0,1,0,55
4078,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding Guide,Dog Grooming,1,1,0,1,0,0,0,50
4071,Best Dog Shampoo UK (2026) – Ingredients &#038; Safety Guide,Dog Grooming,1,1,1,1,0,0,0,65
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Grooming,1,1,1,1,0,1,0,75
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,1,1,1,1,0,0,1,80
4049,Best Puppy Collars UK (2026) – First Collar &#038; Harness Guide,Dog Harnesses,0,0,0,0,1,0,0,10
4042,Best Dog Leads UK (2026) – Walking &#038; Training Lead Guide,Dog Training,0,0,0,0,0,1,0,10
4034,Best No-Pull Dog Harnesses UK (2026) – Training &#038; Comfort Guide,Dog Harnesses,0,0,0,0,0,1,0,10
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,0,0,0,0,0,0,0,0
4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,Dog Training,1,1,0,0,1,0,0,45
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,1,1,1,0,0,0,0,50
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,1,1,1,0,0,0,0,50
3996,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Reviews,Dog Beds,1,1,1,0,0,0,0,50
3960,Best Puppy Toys UK (2026) – Teething &#038; First Toys Guide,Dog Toys,0,0,0,0,1,1,1,35
3959,Best Interactive Dog Toys UK (2026) – Puzzle &#038; Enrichment Guide,Dog Toys,1,1,1,0,0,1,1,75
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,1,1,1,0,0,0,1,65
3956,Best Dog Toys UK (2026) – Complete Guide &#038; Honest Reviews,Dog Toys,1,1,1,0,0,0,0,50
3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,Educational,0,0,0,0,1,0,0,10
3838,Dry vs Wet Dog Food UK &#8211; An Honest Comparison Guide,Dog Food,0,0,0,0,0,0,0,0
3837,Best Dry Dog Food UK (2026) &#8211; Evidence-Based Guide,Dog Food,0,1,1,0,0,1,0,45
3836,Best Dog Food UK (2026) &#8211; Complete Buying Guide,Dog Food,0,0,0,0,0,0,0,0
696,Essential Cat Supplies for Cat Owners &#8211; Number 1 Must-Haves,Cat Supplies,0,0,0,0,0,0,0,0
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,0,0,0,0,0,0,1,15
