source_id,source_title,target_id,target_title,corridor,anchor_text,status
3837,Best Dry Dog Food UK (2026) &#8211; Evidence-Based Guide,5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Dog Food -> Puppy Care,Puppy Development Stages: A Complete Guide from Birth to Maturity,INSERTED
4568,Dog Dental Health: A Practical Care Guide,3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,Dog Health -> Dog Food,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,INSERTED
4568,Dog Dental Health: A Practical Care Guide,5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Health -> Dog Beds,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",INSERTED
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,Dog Health -> Dog Food,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,INSERTED
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Health -> Dog Beds,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",INSERTED
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Guide,Dog Health -> Dog Food,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,INSERTED
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Health -> Dog Beds,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,INSERTED
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Puppy Care -> Dog Training,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",INSERTED
3960,Best Puppy Toys UK (2026) – Teething &#038; First Toys Guide,5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Puppy Care -> Dog Training,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",INSERTED
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Puppy Care -> Dog Training,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",INSERTED
5462,Dog Training Terminology Explained: Key Concepts for New Owners,5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Dog Training -> Puppy Care,Puppy Development Stages: A Complete Guide from Birth to Maturity,INSERTED
4139,Best Dog Training Leads UK (2026) – Long Lines &#038; Harnesses,5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Dog Training -> Puppy Care,Puppy Development Stages: A Complete Guide from Birth to Maturity,INSERTED
4791,How to Choose the Right Dog Training Treats,5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Dog Training -> Puppy Care,Puppy Development Stages: A Complete Guide from Birth to Maturity,INSERTED
4223,Best Cat Window Perches UK (2026) – Sunning &#038; Bird Watching,5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Indoor Cats -> Cat Supplies,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,INSERTED
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Indoor Cats -> Cat Supplies,Understanding Cat Play Behaviour: What Different Play Styles Mean,INSERTED
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Indoor Cats -> Cat Supplies,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,INSERTED
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,4568,Dog Dental Health: A Practical Care Guide,Dog Beds -> Dog Health,Dog Dental Health: A Practical Care Guide,INSERTED
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Beds -> Dog Health,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",INSERTED
5416,Dog Bed Types Explained: A Complete Glossary,5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Beds -> Dog Health,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",INSERTED
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Toys -> Dog Training,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",INSERTED
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Toys -> Dog Training,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",INSERTED
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Toys -> Dog Training,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",INSERTED
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys -> Indoor Cats,Cat Enrichment Beyond Toys: Creating a Stimulating Home,INSERTED
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Cat Toys -> Indoor Cats,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,INSERTED
4408,How Often Should You Replace Cat Toys? A Practical Guide,5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Cat Toys -> Indoor Cats,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,INSERTED
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Supplies (same-cluster),Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,INSERTED
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Supplies (same-cluster),Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,INSERTED
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Supplies (same-cluster),Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,INSERTED
6042,Enrichment by Breed Group: Tailoring Play to Your Dog&#8217;s Instincts,6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Supplies (same-cluster),Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,INSERTED
6042,Enrichment by Breed Group: Tailoring Play to Your Dog&#8217;s Instincts,6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Supplies (same-cluster),Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,INSERTED
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Other (same-cluster),"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",INSERTED
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Other (same-cluster),"Pet Toy Safety: Understanding Materials, Hazards, and Standards",INSERTED
4571,Pet First Aid Basics: What Every Owner Should Know,5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Other (same-cluster),"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",INSERTED
4571,Pet First Aid Basics: What Every Owner Should Know,5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Other (same-cluster),"Pet Toy Safety: Understanding Materials, Hazards, and Standards",INSERTED
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Other (same-cluster),"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",INSERTED
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Glossary (same-cluster),Pet Health Terminology: A Guide to Common Veterinary Terms,INSERTED
