id,title,cluster,about_guide,common_mistakes,suitability,what_to_expect,routine,pros_cons,status
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,True,True,True,False,False,False,UPDATED
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,True,True,True,False,True,False,UPDATED
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,True,True,True,False,False,False,UPDATED
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,True,True,True,False,False,False,UPDATED
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Cat Toys,True,True,True,True,False,False,UPDATED
5414,Cat Toy Types Explained: A Complete Glossary,Cat Toys,True,True,True,False,False,False,UPDATED
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Educational,True,True,True,False,False,False,UPDATED
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,True,True,True,False,False,False,UPDATED
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,True,True,True,False,False,False,UPDATED
5419,Cat Care Basics: A Glossary for New Cat Owners,Educational,True,True,True,False,False,False,UPDATED
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Toys,True,True,True,False,False,False,UPDATED
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Educational,False,False,False,False,False,False,ALREADY_COMPLETE
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Educational,True,True,True,False,False,False,UPDATED
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,True,True,True,False,False,False,UPDATED
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Educational,True,True,True,False,False,False,UPDATED
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Educational,False,True,False,False,False,False,UPDATED
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,True,True,True,True,True,True,UPDATED
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Beds,False,False,False,False,False,False,ALREADY_COMPLETE
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Educational,False,False,False,False,False,False,ALREADY_COMPLETE
