id,title,cluster,glossary_moat,trust_moat,comparison_moat,practical_moat,educational_moat,citation_moat,structural_moat,authority_moat_v2
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,72,54,56,53,90,75,100,71.4
4786,Where to Place Your Dog’s Bed: Location and Comfort Tips,Dog Beds,72,79,80,18,90,60,100,71.3
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,72,58,54,45,90,80,100,71.3
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,100,63,56,24,90,65,100,71.1
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,100,60,47,35,90,75,90,71.0
4791,How to Choose the Right Dog Training Treats,Training Supplies,100,54,60,18,90,75,100,71.0
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,100,64,42,30,90,71,100,71.0
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,90,51,75,53,75,55,98,71.0
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,72,64,47,48,90,74,100,70.7
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,100,68,51,21,90,71,93,70.6
5033,How to Choose the Right Cat Toy for Your Cat’s Personality,Cat Toys,72,60,54,43,90,75,100,70.6
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,72,59,54,38,90,80,100,70.4
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,100,68,49,21,90,68,95,70.1
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,88,78,44,23,90,68,100,70.1
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,72,64,54,35,90,75,100,70.0
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,100,68,46,21,90,71,93,69.9
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,64,64,58,41,90,74,98,69.9
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,72,54,54,39,90,79,100,69.7
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,72,54,54,38,90,80,100,69.7
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,72,68,49,33,90,75,100,69.6
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,92,57,56,27,90,74,89,69.3
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,96,59,44,32,90,68,95,69.1
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,92,53,75,50,65,48,100,69.0
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,100,64,46,18,90,71,93,68.9
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,62,72,42,41,90,75,100,68.9
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,72,67,80,44,75,48,95,68.7
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,100,55,51,15,90,65,100,68.0
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,98,58,49,35,65,68,100,67.6
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Training Supplies,72,58,47,42,90,64,100,67.6
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,60,64,47,38,90,74,98,67.3
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,64,54,78,62,75,36,100,67.0
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,72,56,56,21,90,81,92,66.9
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,100,49,54,36,90,44,95,66.9
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,64,64,52,24,90,74,98,66.6
8172,Our Research Standards,Uncategorized,56,91,49,20,65,81,95,65.3
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,80,60,44,15,90,68,100,65.3
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,100,45,46,33,90,40,95,64.1
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,92,49,56,30,40,71,95,61.9
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,92,55,44,21,65,49,100,60.9
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,92,53,44,21,65,48,100,60.4
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,34,51,71,59,75,32,100,60.3
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,74,59,56,20,65,48,100,60.3
8171,Why PetHub Online Exists,Uncategorized,12,78,49,12,65,71,93,54.3
