rank,id,title,cluster,citation_score,moat_score,upgrade_potential,weakest_citation_dim,weakest_moat_dim,recommended_action_1,recommended_action_2,recommended_action_3
42,5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,59.7,72.4,23.9,practical_specificity (8.0),practical_moat (22.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
43,4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,66.2,69.7,23.6,practical_specificity (32.0),practical_moat (38.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
44,4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,66.5,69.7,23.5,practical_specificity (36.0),practical_moat (39.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
45,4786,Where to Place Your Dog’s Bed: Location and Comfort Tips,Dog Beds,61.5,71.3,23.5,practical_specificity (7.0),practical_moat (18.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add citation-ready reference blocks
46,7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,63.8,73.6,23.4,practical_specificity (25.0),practical_moat (32.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
47,7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,63.6,74.0,23.4,practical_specificity (28.0),practical_moat (43.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
48,4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,64.4,73.1,23.3,practical_specificity (29.0),practical_moat (36.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
49,6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,63.7,68.9,23.3,practical_specificity (34.0),practical_moat (41.0),Add practical step-by-step guide blocks,Add structured comparison tables,Add practical how-to guide blocks
50,5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,63.4,69.6,23.3,practical_specificity (27.0),practical_moat (33.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
51,5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,62.6,71.0,23.2,practical_specificity (28.0),practical_moat (35.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
52,5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,60.9,73.3,23.2,practical_specificity (7.0),practical_moat (18.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
53,5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,66.8,74.1,23.1,reference_quality (50.0),citation_moat (48.0),Add citation-ready reference blocks,Add authoritative UK source references,Add practical step-by-step guide blocks
54,5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,63.6,70.0,23.1,practical_specificity (28.0),practical_moat (35.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
55,7341,First Week with a New Puppy: A Day-by-Day Guide,Dog Care,64.0,74.7,23.0,practical_specificity (25.0),practical_moat (40.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
56,5033,How to Choose the Right Cat Toy for Your Cat’s Personality,Cat Toys,63.2,70.6,23.0,practical_specificity (28.0),practical_moat (43.0),Add practical step-by-step guide blocks,Add structured comparison tables,Add practical how-to guide blocks
57,5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,65.8,72.6,22.9,comparison_usefulness (42.0),practical_moat (47.0),Add structured comparison tables,Add practical step-by-step guide blocks,Add practical how-to guide blocks
58,7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Dog Care,64.2,74.9,22.8,practical_specificity (28.0),practical_moat (43.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
59,6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,63.1,71.7,22.8,practical_specificity (28.0),practical_moat (33.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
60,5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,63.0,72.0,22.7,practical_specificity (25.0),practical_moat (32.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
61,4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,64.3,71.0,22.5,practical_specificity (34.0),practical_moat (30.0),Add practical how-to guide blocks,Add practical step-by-step guide blocks,Add structured comparison tables
62,5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,62.5,73.4,22.5,practical_specificity (8.0),practical_moat (18.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
63,4785,How to Wash and Maintain Your Dog’s Bed,Dog Beds,67.0,72.7,22.4,practical_specificity (29.0),practical_moat (35.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
64,4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Training Supplies,71.0,73.4,22.1,practical_specificity (53.0),comparison_moat (47.0),Add comparison tables and pros/cons,Add practical step-by-step guide blocks,Add practical how-to guide blocks
65,3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,68.2,72.0,22.1,practical_specificity (48.0),practical_moat (36.0),Add practical how-to guide blocks,Add practical step-by-step guide blocks,Add UK expert trust references
66,4568,Dog Dental Health: A Practical Care Guide,Dog Health,66.2,74.6,22.1,practical_specificity (32.0),practical_moat (38.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
67,6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,65.9,75.3,22.0,practical_specificity (25.0),practical_moat (32.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
68,4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,63.8,73.4,22.0,practical_specificity (27.0),practical_moat (41.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
69,4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,69.3,71.3,21.9,practical_specificity (44.0),practical_moat (45.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add comparison tables and pros/cons
70,7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,65.1,72.3,21.8,practical_specificity (37.0),practical_moat (44.0),Add practical step-by-step guide blocks,Add structured comparison tables,Add practical how-to guide blocks
71,4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,64.4,73.1,21.8,practical_specificity (28.0),practical_moat (35.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
72,6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,63.4,74.6,21.8,practical_specificity (25.0),practical_moat (40.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
73,6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,67.5,74.7,21.6,practical_specificity (37.0),practical_moat (41.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
74,5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,63.8,75.0,21.5,practical_specificity (28.0),practical_moat (43.0),Add practical step-by-step guide blocks,Add structured comparison tables,Add practical how-to guide blocks
75,4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,70.5,71.4,21.4,practical_specificity (53.0),practical_moat (53.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
76,4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,67.4,70.4,21.4,practical_specificity (33.0),practical_moat (38.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add comparison tables and pros/cons
77,4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,65.1,73.6,21.4,practical_specificity (33.0),practical_moat (38.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
78,4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,64.8,73.9,21.4,practical_specificity (32.0),practical_moat (38.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
79,5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,64.2,74.7,21.4,practical_specificity (32.0),practical_moat (38.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
80,3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,73.2,75.4,21.1,reference_quality (60.0),practical_moat (50.0),Add practical how-to guide blocks,Add comparison tables and pros/cons,Add authoritative UK source references
81,4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,70.5,74.0,21.1,practical_specificity (53.0),trust_moat (50.0),Add UK expert trust references,Add practical step-by-step guide blocks,Add practical how-to guide blocks
82,6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,64.8,74.9,21.1,practical_specificity (25.0),practical_moat (32.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add authoritative UK source references
83,3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,66.2,73.4,21.0,practical_specificity (31.0),practical_moat (27.0),Add practical how-to guide blocks,Add practical step-by-step guide blocks,Add structured comparison tables
84,4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,66.4,73.6,20.9,practical_specificity (32.0),practical_moat (38.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
85,5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,61.4,75.0,20.9,practical_specificity (17.0),practical_moat (27.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
86,5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,63.6,72.4,20.8,practical_specificity (22.0),practical_moat (30.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
87,5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,65.8,75.1,20.7,practical_specificity (34.0),practical_moat (41.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
88,5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,66.2,75.1,20.5,practical_specificity (34.0),practical_moat (41.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
89,6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,66.6,75.0,20.4,practical_specificity (25.0),practical_moat (32.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
90,4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,71.9,74.7,20.3,practical_specificity (53.0),trust_moat (55.0),Add practical step-by-step guide blocks,Add UK expert trust references,Add practical how-to guide blocks
91,6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Uncategorized,66.6,75.1,20.3,practical_specificity (33.0),practical_moat (38.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
92,4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,70.5,70.7,20.1,practical_specificity (46.0),comparison_moat (47.0),Add practical step-by-step guide blocks,Add comparison tables and pros/cons,Add practical how-to guide blocks
93,5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,66.3,72.1,19.9,practical_specificity (28.0),practical_moat (35.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
94,5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,66.8,76.7,19.8,practical_specificity (28.0),practical_moat (43.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
95,4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,70.9,71.7,19.6,practical_specificity (45.0),comparison_moat (47.0),Add practical step-by-step guide blocks,Add comparison tables and pros/cons,Add practical how-to guide blocks
96,4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,70.7,72.0,19.6,practical_specificity (43.0),practical_moat (47.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add comparison tables and pros/cons
97,7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,75.1,73.3,19.5,practical_specificity (64.0),trust_moat (54.0),Add UK expert trust references,Add practical step-by-step guide blocks,Add Key Terms / glossary block
98,4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,74.0,72.9,19.5,practical_specificity (56.0),comparison_moat (54.0),Add comparison tables and pros/cons,Add practical step-by-step guide blocks,Add practical how-to guide blocks
99,4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,72.2,76.0,19.3,practical_specificity (57.0),comparison_moat (54.0),Add comparison tables and pros/cons,Add UK expert trust references,Add practical step-by-step guide blocks
100,5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,69.9,74.1,19.3,comparison_usefulness (36.0),comparison_moat (42.0),Add structured comparison tables,Add comparison tables and pros/cons,Add practical step-by-step guide blocks
101,7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,69.3,74.9,19.3,comparison_usefulness (44.0),practical_moat (47.0),Add structured comparison tables,Add practical step-by-step guide blocks,Add practical how-to guide blocks
102,5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,67.0,78.0,19.3,practical_specificity (29.0),practical_moat (43.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
103,5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,65.9,74.4,19.3,practical_specificity (31.0),practical_moat (38.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
104,5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,74.6,73.1,19.2,comparison_usefulness (51.0),comparison_moat (54.0),Add structured comparison tables,Add comparison tables and pros/cons,Add Key Terms / glossary block
105,5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,67.2,73.3,19.1,practical_specificity (25.0),practical_moat (33.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
106,4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,73.3,75.7,19.0,practical_specificity (57.0),comparison_moat (56.0),Add comparison tables and pros/cons,Add practical step-by-step guide blocks,Add practical how-to guide blocks
107,5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,67.0,74.3,18.9,practical_specificity (25.0),practical_moat (32.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
108,4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,72.0,72.9,18.8,practical_specificity (44.0),practical_moat (47.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add comparison tables and pros/cons
109,5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,65.0,77.7,18.7,practical_specificity (25.0),practical_moat (33.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
110,4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,71.0,75.3,18.5,practical_specificity (50.0),practical_moat (53.0),Add practical step-by-step guide blocks,Add authoritative UK source references,Add practical how-to guide blocks
111,4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,68.1,74.1,18.5,practical_specificity (25.0),practical_moat (32.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add authoritative UK source references
112,5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,66.7,77.1,18.2,practical_specificity (34.0),practical_moat (41.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
113,4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,74.2,72.4,18.1,comparison_usefulness (58.0),comparison_moat (47.0),Add comparison tables and pros/cons,Add structured comparison tables,Add practical how-to guide blocks
114,4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,73.5,73.4,18.1,practical_specificity (57.0),comparison_moat (52.0),Add comparison tables and pros/cons,Add practical step-by-step guide blocks,Add practical how-to guide blocks
115,4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,72.1,78.4,18.1,reference_quality (50.0),citation_moat (48.0),Add citation-ready reference blocks,Add authoritative UK source references,Add structured comparison tables
116,4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,72.4,75.4,17.9,practical_specificity (49.0),practical_moat (50.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
117,4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,73.3,74.6,17.8,practical_specificity (53.0),practical_moat (43.0),Add practical how-to guide blocks,Add comparison tables and pros/cons,Add practical step-by-step guide blocks
118,4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,74.8,76.7,17.6,reference_quality (53.0),trust_moat (54.0),Add authoritative UK source references,Add UK expert trust references,Add citation-ready reference blocks
119,6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,68.3,77.1,17.6,practical_specificity (31.0),practical_moat (46.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
120,4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,73.9,76.4,17.5,practical_specificity (56.0),trust_moat (55.0),Add UK expert trust references,Add practical step-by-step guide blocks,Add practical how-to guide blocks
121,4125,Best Dog Training Treats UK (2026) – Reward Guide,Training Supplies,69.2,76.1,17.5,practical_specificity (32.0),practical_moat (36.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
122,4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,73.2,75.9,17.4,practical_specificity (52.0),comparison_moat (49.0),Add comparison tables and pros/cons,Add practical step-by-step guide blocks,Add practical how-to guide blocks
123,4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,75.5,74.1,17.1,practical_specificity (52.0),practical_moat (41.0),Add practical how-to guide blocks,Add practical step-by-step guide blocks,Add UK expert trust references
124,5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,69.0,77.7,17.1,practical_specificity (31.0),practical_moat (38.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
