id,title,cluster,practical_guide_added,decision_pathway_added,comparison_tables_added,status
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Supplies,added,added,0,updated
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Supplies,added,added,0,updated
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Supplies,added,added,0,updated
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Supplies,added,added,0,updated
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Supplies,added,added,0,updated
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Supplies,added,added,0,updated
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Supplies,added,added,1,updated
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Supplies,added,added,1,updated
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Supplies,added,added,0,updated
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Supplies,added,added,0,updated
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Supplies,added,added,0,updated
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Supplies,added,added,0,updated
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Supplies,added,added,0,updated
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Supplies,added,added,1,updated
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Supplies,added,added,0,updated
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Supplies,added,added,0,updated
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,added,added,0,updated
