opportunity_title,cluster,intent_type,search_volume_est,competition_est,authority_fit,cluster_contribution,ai_answer_potential,priority_score,recommended_format
dog first aid supplies UK emergency kit list,Dog Supplies,informational,low,low,95,80,65,71.8,guide
dog toy subscription boxes UK comparison,Dog Toys,informational,medium,medium,100,50,80,71.5,comparison
Butternut Box vs tails.com honest comparison,Dog Food,commercial,medium,medium,90,60,75,70.5,comparison
cold pressed vs extruded kibble comparison,Dog Food,comparison,medium,medium,90,60,75,70.5,comparison
cat tree vs cat shelves comparison space saving,Cat Supplies,comparison,medium,medium,90,60,75,70.5,comparison
Kong vs West Paw vs Nylabone comparison UK,Dog Toys,comparison,medium,medium,95,50,80,70.2,comparison
manual vs electric dog nail clippers comparison,Dog Care,comparison,medium,medium,95,50,75,69.2,comparison
pet memorial ideas UK remembering your pet,Uncategorized,informational,low,low,95,70,65,69.2,guide
pet-friendly garden design UK plants and layout,Uncategorized,informational,low,low,95,70,65,69.2,guide
dog agility course kit UK garden setup,Training Supplies,commercial,low,low,100,60,65,68.0,comparison
