post_id,title,cluster,had_comparison,action_taken,table_topic,status
4790,DIY Dog Toys: Safe Homemade Options,Dog Supplies,yes,skipped_strong,,skipped
4789,Best Types of Dog Toys for Different Play Styles,Dog Supplies,yes,skipped_strong,,skipped
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Supplies,yes,skipped_strong,,skipped
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Supplies,yes,skipped_strong,,skipped
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Supplies,yes,skipped_strong,,skipped
4785,How to Wash and Maintain Your Dog's Bed,Dog Supplies,yes,skipped_strong,,skipped
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Supplies,yes,skipped_strong,,skipped
4783,How to Choose the Right Dog Bed Size,Dog Supplies,yes,skipped_strong,,skipped
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Supplies,yes,skipped_strong,,skipped
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,yes,skipped_strong,,skipped
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,yes,skipped_strong,,skipped
4568,Dog Dental Health: A Practical Care Guide,Dog Supplies,yes,skipped_strong,,skipped
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Supplies,yes,skipped_strong,,skipped
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Supplies,yes,skipped_strong,,skipped
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,yes,skipped_strong,,skipped
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,yes,skipped_strong,,skipped
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,false,added_comparison,Travel Water Solutions for Dogs,success
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,yes,skipped_strong,,skipped
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Supplies,yes,skipped_strong,,skipped
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Supplies,yes,skipped_strong,,skipped
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Supplies,yes,skipped_strong,,skipped
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Supplies,yes,skipped_strong,,skipped
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Supplies,yes,skipped_strong,,skipped
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Supplies,yes,skipped_strong,,skipped
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Supplies,yes,skipped_strong,,skipped
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Supplies,yes,skipped_strong,,skipped
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Supplies,yes,skipped_strong,,skipped
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Supplies,yes,skipped_strong,,skipped
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Supplies,yes,skipped_strong,,skipped
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Supplies,yes,skipped_strong,,skipped
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Supplies,yes,skipped_strong,,skipped
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Supplies,yes,skipped_strong,,skipped
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Supplies,yes,skipped_strong,,skipped
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Supplies,yes,skipped_strong,,skipped
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Supplies,yes,skipped_strong,,skipped
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Supplies,yes,skipped_strong,,skipped
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Supplies,yes,skipped_strong,,skipped
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Supplies,yes,skipped_strong,,skipped
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Supplies,yes,skipped_strong,,skipped
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Supplies,yes,skipped_strong,,skipped
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,yes,skipped_strong,,skipped
8172,Our Research Standards,Uncategorized,yes,skipped_strong,,skipped
8171,Why PetHub Online Exists,Uncategorized,yes,skipped_strong,,skipped
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,yes,skipped_strong,,skipped
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,yes,skipped_strong,,skipped
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,yes,skipped_strong,,skipped
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,yes,skipped_strong,,skipped
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,yes,skipped_strong,,skipped
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,yes,skipped_strong,,skipped
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,yes,skipped_strong,,skipped
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,yes,skipped_strong,,skipped
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Uncategorized,yes,skipped_strong,,skipped
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,yes,skipped_strong,,skipped
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,yes,skipped_strong,,skipped
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,yes,skipped_strong,,skipped
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,yes,skipped_strong,,skipped
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,yes,skipped_strong,,skipped
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,yes,skipped_strong,,skipped
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,yes,skipped_strong,,skipped
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,yes,skipped_strong,,skipped
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,yes,skipped_strong,,skipped
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,yes,skipped_strong,,skipped
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,yes,skipped_strong,,skipped
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,yes,skipped_strong,,skipped
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,yes,skipped_strong,,skipped
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,yes,skipped_strong,,skipped
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,yes,skipped_strong,,skipped
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,yes,skipped_strong,,skipped
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Uncategorized,yes,skipped_strong,,skipped
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,yes,skipped_strong,,skipped
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,yes,skipped_strong,,skipped
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,yes,skipped_strong,,skipped
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,yes,skipped_strong,,skipped
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,yes,skipped_strong,,skipped
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,yes,skipped_strong,,skipped
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,yes,skipped_strong,,skipped
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,yes,skipped_strong,,skipped
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,yes,skipped_strong,,skipped
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,yes,skipped_strong,,skipped
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,yes,skipped_strong,,skipped
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,yes,skipped_strong,,skipped
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,yes,skipped_strong,,skipped
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,yes,skipped_strong,,skipped
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,yes,skipped_strong,,skipped
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,yes,skipped_strong,,skipped
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,yes,skipped_strong,,skipped
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,yes,skipped_strong,,skipped
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,yes,skipped_strong,,skipped
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,yes,skipped_strong,,skipped
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,yes,skipped_strong,,skipped
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,yes,skipped_strong,,skipped
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,yes,skipped_strong,,skipped
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,yes,skipped_strong,,skipped
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,yes,skipped_strong,,skipped
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,false,added_comparison,Wand Toys vs Ball Toys vs Puzzle Toys for Cats,success
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,false,added_comparison,Wand Toys vs Ball Toys vs Puzzle Toys for Cats,success
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,yes,skipped_strong,,skipped
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,false,added_comparison,Wand Toys vs Ball Toys vs Puzzle Toys for Cats,success
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,yes,skipped_strong,,skipped
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,yes,skipped_strong,,skipped
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,yes,skipped_strong,,skipped
7341,First Week with a New Puppy: A Day-by-Day Guide,Pet Care,yes,skipped_strong,,skipped
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Pet Care,yes,skipped_strong,,skipped
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Pet Care,yes,skipped_strong,,skipped
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Pet Care,yes,skipped_strong,,skipped
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Pet Care,yes,skipped_strong,,skipped
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Pet Care,yes,skipped_strong,,skipped
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Pet Care,yes,skipped_strong,,skipped
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Pet Care,yes,skipped_strong,,skipped
7332,How to Wash and Dry a Dog Bed Safely,Pet Care,yes,skipped_strong,,skipped
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Pet Care,yes,skipped_strong,,skipped
5419,Cat Care Basics: A Glossary for New Cat Owners,Pet Care,yes,skipped_strong,,skipped
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,yes,skipped_strong,,skipped
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,yes,skipped_strong,,skipped
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Pet Care,yes,skipped_strong,,skipped
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Pet Care,false,added_comparison,Multi-Pet Household vs Single-Pet Care Approaches,success
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Pet Care,yes,skipped_strong,,skipped
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Pet Care,yes,skipped_strong,,skipped
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Pet Care,yes,skipped_strong,,skipped
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Pet Care,false,added_comparison,Multi-Pet Household vs Single-Pet Care Approaches,success
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Pet Care,yes,skipped_strong,,skipped
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Pet Care,yes,skipped_strong,,skipped
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Pet Care,yes,skipped_strong,,skipped
4272,Best Cat ID Tags UK (2026) – Identification Guide,Pet Care,yes,skipped_strong,,skipped
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Pet Care,yes,skipped_strong,,skipped
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Pet Care,yes,skipped_strong,,skipped
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Pet Care,yes,skipped_strong,,skipped
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Pet Care,yes,skipped_strong,,skipped
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Pet Care,yes,skipped_strong,,skipped
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Pet Care,false,added_comparison,Multi-Pet Household vs Single-Pet Care Approaches,success
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,yes,skipped_strong,,skipped
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,yes,skipped_strong,,skipped
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,yes,skipped_strong,,skipped
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,yes,skipped_strong,,skipped
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,yes,skipped_strong,,skipped
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,yes,skipped_strong,,skipped
