query,cluster,chatgpt_score,chatgpt_tier,perplexity_score,perplexity_tier,gemini_score,gemini_tier,ai_overviews_score,ai_overviews_tier,copilot_score,copilot_tier
dog grooming guide for beginners UK,Dog Care,74.7,ESTIMATED,72.8,ESTIMATED,80.7,ESTIMATED,78.1,ESTIMATED,74.3,ESTIMATED
how to trim dog nails safely at home,Dog Care,91.6,ESTIMATED,82.1,ESTIMATED,95.4,ESTIMATED,100,ESTIMATED,93.1,ESTIMATED
seasonal dog care tips UK weather,Dog Care,100,ESTIMATED,98.0,ESTIMATED,95.8,ESTIMATED,91.2,ESTIMATED,92.2,ESTIMATED
first time dog owner essentials checklist,Dog Care,95.2,ESTIMATED,89.9,ESTIMATED,100,ESTIMATED,99.1,ESTIMATED,95.8,ESTIMATED
puppy vaccination schedule UK NHS recommended,Dog Health,98.4,ESTIMATED,93.4,ESTIMATED,94.5,ESTIMATED,88.3,ESTIMATED,91.4,ESTIMATED
dog joint supplement ingredients that actually work,Dog Health,100,ESTIMATED,100,ESTIMATED,100,ESTIMATED,99.7,ESTIMATED,99.8,ESTIMATED
how to spot dental disease in dogs early,Dog Health,80.2,ESTIMATED,72.9,ESTIMATED,83.6,ESTIMATED,90.4,ESTIMATED,80.1,ESTIMATED
puppy teething timeline stages and relief,Dog Health,91.9,ESTIMATED,83.8,ESTIMATED,100,ESTIMATED,95.0,ESTIMATED,93.1,ESTIMATED
indestructible dog toys for heavy chewers UK,Dog Toys,89.0,ESTIMATED,90.5,ESTIMATED,93.3,ESTIMATED,99.6,ESTIMATED,100,ESTIMATED
puzzle toys for dogs mental stimulation benefits,Dog Toys,100,ESTIMATED,96.5,ESTIMATED,96.6,ESTIMATED,91.4,ESTIMATED,93.7,ESTIMATED
dog toy safety which materials to avoid,Dog Toys,96.6,ESTIMATED,90.9,ESTIMATED,92.6,ESTIMATED,88.8,ESTIMATED,90.3,ESTIMATED
how to rotate dog toys to keep interest,Dog Toys,86.4,ESTIMATED,73.0,ESTIMATED,90.3,ESTIMATED,98.9,ESTIMATED,88.6,ESTIMATED
interactive cat toys for indoor cats UK,Cat Toys,86.1,ESTIMATED,88.4,ESTIMATED,90.0,ESTIMATED,92.8,ESTIMATED,98.8,ESTIMATED
are catnip toys safe for kittens,Cat Toys,91.8,ESTIMATED,88.6,ESTIMATED,88.3,ESTIMATED,84.9,ESTIMATED,86.1,ESTIMATED
how to choose cat toys by play personality,Cat Toys,88.6,ESTIMATED,77.1,ESTIMATED,93.1,ESTIMATED,100,ESTIMATED,91.1,ESTIMATED
DIY cat toys safe homemade options,Cat Toys,84.2,ESTIMATED,78.0,ESTIMATED,92.2,ESTIMATED,88.8,ESTIMATED,86.1,ESTIMATED
best puppy training treats UK low calorie,Training Supplies,87.5,ESTIMATED,89.9,ESTIMATED,91.9,ESTIMATED,96.3,ESTIMATED,100,ESTIMATED
positive reinforcement vs correction training comparison,Training Supplies,81.4,ESTIMATED,73.1,ESTIMATED,78.1,ESTIMATED,85.4,ESTIMATED,82.7,ESTIMATED
types of dog leads and when to use each,Training Supplies,96.3,ESTIMATED,92.1,ESTIMATED,100,ESTIMATED,100,ESTIMATED,97.6,ESTIMATED
how to choose the right training treats for your dog,Training Supplies,91.6,ESTIMATED,82.1,ESTIMATED,96.0,ESTIMATED,100,ESTIMATED,93.1,ESTIMATED
indoor cat exercise ideas to prevent obesity,Indoor Cats,90.4,ESTIMATED,82.1,ESTIMATED,95.4,ESTIMATED,100,ESTIMATED,92.0,ESTIMATED
indoor cat enrichment beyond toys,Indoor Cats,93.0,ESTIMATED,87.7,ESTIMATED,100,ESTIMATED,95.7,ESTIMATED,93.6,ESTIMATED
indoor vs outdoor cat lifespan and health comparison,Indoor Cats,94.5,ESTIMATED,86.0,ESTIMATED,91.3,ESTIMATED,97.3,ESTIMATED,96.1,ESTIMATED
common indoor cat behaviour problems and solutions,Indoor Cats,100,ESTIMATED,100,ESTIMATED,96.8,ESTIMATED,90.3,ESTIMATED,93.1,ESTIMATED
