post_id,title,cluster,uk_authority,content_depth,structure_quality,evidence_strength,freshness,dominance_index,competitive_position
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,11.1,25,14.2,3.0,9,62.3,STRONG COMPETITIVE
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,11.0,25,14.2,3.0,9,62.2,STRONG COMPETITIVE
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,11.2,25.0,14.2,5.8,9,65.2,STRONG COMPETITIVE
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,11.2,25.0,14.2,4.5,9,63.9,STRONG COMPETITIVE
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,11.3,25,14.2,4.0,9,63.5,STRONG COMPETITIVE
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,11.1,25.0,14.2,4.2,9,63.5,STRONG COMPETITIVE
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,11.1,25,14.2,3.0,9,62.3,STRONG COMPETITIVE
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Supplies,11.2,25.0,14.2,4.5,9,63.9,STRONG COMPETITIVE
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Supplies,11.0,25,14.2,7.0,9,66.2,STRONG COMPETITIVE
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Supplies,11.0,25.0,14.2,3.0,9,62.2,STRONG COMPETITIVE
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Supplies,12.0,25,14.2,3.5,9,63.7,STRONG COMPETITIVE
696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,Cat Supplies,15.0,25.0,8.0,4.2,9,61.2,STRONG COMPETITIVE
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,11.0,25,14.0,6.0,4,60.0,STRONG COMPETITIVE
5033,How to Choose the Right Cat Toy for Your Cat’s Personality,Cat Toys,11.1,25.0,12.0,3.0,9,60.1,STRONG COMPETITIVE
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,11.2,25,12.0,3.0,9,60.2,STRONG COMPETITIVE
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,11.1,25.0,10.0,3.5,9,58.6,STRONG COMPETITIVE
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,11.0,25.0,12.0,8.0,9,65.0,STRONG COMPETITIVE
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,11.1,25.0,12.0,3.8,9,60.9,STRONG COMPETITIVE
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,11.2,25,12.0,3.5,9,60.7,STRONG COMPETITIVE
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,13.8,25.0,12.0,4.8,9,64.6,STRONG COMPETITIVE
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,11.4,23.0,12.0,3.5,9,58.9,STRONG COMPETITIVE
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,11.2,25.0,12.0,3.0,9,60.2,STRONG COMPETITIVE
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,11.2,25.0,12.0,3.0,9,60.2,STRONG COMPETITIVE
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,11.1,25.0,12.0,3.0,9,60.1,STRONG COMPETITIVE
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,11.2,25.0,14.2,4.5,9,63.9,STRONG COMPETITIVE
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,11.0,25,14.2,7.0,9,66.2,STRONG COMPETITIVE
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,11.0,25.0,14.2,3.0,9,62.2,STRONG COMPETITIVE
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,12.0,25,14.2,3.5,9,63.7,STRONG COMPETITIVE
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,12.0,23,14.0,7.0,4,60.0,STRONG COMPETITIVE
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,10.6,23,14.0,4.0,4,55.6,STRONG COMPETITIVE
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,10.6,23,14.0,4.0,4,55.6,STRONG COMPETITIVE
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,11.7,23,14.0,3.5,4,56.2,STRONG COMPETITIVE
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,10.5,23,14.0,4.0,4,55.5,STRONG COMPETITIVE
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,12.3,25,14.0,3.5,4,58.8,STRONG COMPETITIVE
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Indoor Cats,11.2,25.0,14.2,4.5,9,63.9,STRONG COMPETITIVE
