post_id,title,cluster,links_added,links_before,links_after,action_taken
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,2,40,42,added_2_links
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Supplies,5,7,12,added_5_links
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Supplies,5,7,12,added_5_links
5425,Dog Toys FAQ: Common Questions Answered,Dog Supplies,0,19,19,no_changes
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Supplies,0,17,17,no_changes
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Supplies,0,15,15,no_changes
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Supplies,0,17,17,no_changes
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Supplies,0,12,12,no_changes
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Supplies,0,12,12,no_changes
5416,Dog Bed Types Explained: A Complete Glossary,Dog Supplies,0,14,14,no_changes
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Supplies,0,28,28,no_changes
4791,How to Choose the Right Dog Training Treats,Dog Supplies,0,23,23,no_changes
4790,DIY Dog Toys: Safe Homemade Options,Dog Supplies,0,16,16,no_changes
4789,Best Types of Dog Toys for Different Play Styles,Dog Supplies,0,16,16,no_changes
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Supplies,0,14,14,no_changes
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Supplies,0,16,16,no_changes
4786,Where to Place Your Dog&#8217;s Bed: Location and Comfort Tips,Dog Supplies,0,18,18,no_changes
4785,How to Wash and Maintain Your Dog&#8217;s Bed,Dog Supplies,0,17,17,no_changes
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Supplies,0,21,21,no_changes
4783,How to Choose the Right Dog Bed Size,Dog Supplies,0,14,14,no_changes
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Supplies,0,16,16,no_changes
4568,Dog Dental Health: A Practical Care Guide,Dog Supplies,0,11,11,no_changes
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Supplies,0,11,11,no_changes
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Supplies,0,6,6,no_changes
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Supplies,0,21,21,no_changes
3956,Best Dog Toys UK (2026) – Complete Guide &#038; Honest Reviews,Dog Supplies,0,27,27,no_changes
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,1,162,163,added_1_links
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,0,20,20,no_changes
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,9,40,49,hub_added_9_spoke_links
4571,Pet First Aid Basics: What Every Owner Should Know,Pet Care,0,18,18,no_changes
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,2,162,164,hub_added_2_spoke_links
