cluster,action_type,target,description,priority,expected_impact
Cat Toys,exploit,UK cat toy safety standards (CE/UKCA marking),UK-exclusive angle Cats.com cannot replicate: UK cat toy safety standards (CE/UKCA marking),HIGH,Unique UK authority that Cats.com cannot match from US base
Cat Toys,exploit,UK-made cat toys and sustainable brands,UK-exclusive angle Cats.com cannot replicate: UK-made cat toys and sustainable brands,HIGH,Unique UK authority that Cats.com cannot match from US base
Cat Toys,exploit,Indoor enrichment for UK flat-dwelling cats,UK-exclusive angle Cats.com cannot replicate: Indoor enrichment for UK flat-dwelling cats,HIGH,Unique UK authority that Cats.com cannot match from US base
Cat Toys,exploit,"Seasonal UK cat toys (bonfire night, Christmas)","UK-exclusive angle Cats.com cannot replicate: Seasonal UK cat toys (bonfire night, Christmas)",HIGH,Unique UK authority that Cats.com cannot match from US base
Cat Toys,exploit,UK charity shop cat toy finds and DIY UK materials,UK-exclusive angle Cats.com cannot replicate: UK charity shop cat toy finds and DIY UK materials,HIGH,Unique UK authority that Cats.com cannot match from US base
Indoor Cats,strengthen,Post 7346: Indoor Cat Diet and Nutrition: Feeding Guidelines for House ,"Strengthen evidence: add source citations, data points, expert references; Update freshness: add 2026 dates, current pricing, seasonal content",MEDIUM,Could raise dominance from 60.0 to 85.0
Indoor Cats,strengthen,Post 7345: Indoor Cat Behaviour: Understanding and Managing Common Issu,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references; Update freshness: add 2026 dates, current pricing, seasonal content",MEDIUM,Could raise dominance from 55.6 to 80.6
Indoor Cats,strengthen,Post 7344: Creating a Cat-Friendly Home: Environmental Enrichment for I,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references; Update freshness: add 2026 dates, current pricing, seasonal content",MEDIUM,Could raise dominance from 55.6 to 80.6
Indoor Cats,strengthen,Post 7343: Indoor Cat Safety: Common Household Hazards for Cats,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references; Update freshness: add 2026 dates, current pricing, seasonal content",MEDIUM,Could raise dominance from 56.2 to 81.2
Indoor Cats,strengthen,Post 7342: Indoor Cat Exercise: Keeping House Cats Active and Healthy,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references; Update freshness: add 2026 dates, current pricing, seasonal content",MEDIUM,Could raise dominance from 55.5 to 80.5
Indoor Cats,strengthen,Post 7167: Indoor Cat Terminology: A Complete Glossary for Cat Owners,"Strengthen evidence: add source citations, data points, expert references; Update freshness: add 2026 dates, current pricing, seasonal content",MEDIUM,Could raise dominance from 58.8 to 83.8
Indoor Cats,strengthen,Post 4195: Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,"Add UK org citations (RSPCA/PDSA/BVA), UK brand mentions, UK regulations; Strengthen evidence: add source citations, data points, expert references",MEDIUM,Could raise dominance from 63.9 to 85
Indoor Cats,create,Cat-Proofing Your Home,"New guide: 'cat-proofing your home' with UK-specific angle, comparison tables, FAQ section, RSPCA/BVA citations",HIGH,"Fills topic gap vs Cats.com, adds UK authority"
Indoor Cats,create,Indoor Vs Outdoor Cats Debate,"New guide: 'indoor vs outdoor cats debate' with UK-specific angle, comparison tables, FAQ section, RSPCA/BVA citations",HIGH,"Fills topic gap vs Cats.com, adds UK authority"
Indoor Cats,create,Catio Building Guide,"New guide: 'catio building guide' with UK-specific angle, comparison tables, FAQ section, RSPCA/BVA citations",HIGH,"Fills topic gap vs Cats.com, adds UK authority"
Indoor Cats,create,Transitioning Outdoor Cat Indoors,"New guide: 'transitioning outdoor cat indoors' with UK-specific angle, comparison tables, FAQ section, RSPCA/BVA citations",HIGH,"Fills topic gap vs Cats.com, adds UK authority"
Indoor Cats,exploit,Indoor cats in UK flats - space-efficient solutions,UK-exclusive angle Cats.com cannot replicate: Indoor cats in UK flats - space-efficient solutions,HIGH,Unique UK authority that Cats.com cannot match from US base
Indoor Cats,exploit,UK weather and keeping cats indoors safely,UK-exclusive angle Cats.com cannot replicate: UK weather and keeping cats indoors safely,HIGH,Unique UK authority that Cats.com cannot match from US base
Indoor Cats,exploit,Cats Protection indoor cat guidelines,UK-exclusive angle Cats.com cannot replicate: Cats Protection indoor cat guidelines,HIGH,Unique UK authority that Cats.com cannot match from US base
Indoor Cats,exploit,UK rental properties and indoor cat policies,UK-exclusive angle Cats.com cannot replicate: UK rental properties and indoor cat policies,HIGH,Unique UK authority that Cats.com cannot match from US base
Indoor Cats,exploit,Indoor cats and UK microchipping law compliance,UK-exclusive angle Cats.com cannot replicate: Indoor cats and UK microchipping law compliance,HIGH,Unique UK authority that Cats.com cannot match from US base
