post_id,title,cluster,had_tables,action_taken,table_topic,status
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Supplies,yes,boosted,Compared: Daily Dental Brushing vs Dental Chews for Dogs,success
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Supplies,yes,boosted,Compared: Professional Grooming vs Home Grooming for Dogs,success
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,yes,boosted,Compared: Stainless Steel vs Ceramic Dog Bowls,success
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,yes,boosted,Compared: Stainless Steel vs Ceramic Dog Bowls,success
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,yes,skipped_has_compared,,skipped
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,yes,boosted,Compared: Stainless Steel vs Ceramic Dog Bowls,success
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Supplies,yes,boosted,Compared: Stainless Steel vs Ceramic Dog Bowls,success
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Supplies,yes,boosted,Compared: Positive Reinforcement vs Correction-Based Dog Training Tools,success
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Supplies,yes,boosted,Compared: Stainless Steel vs Ceramic Dog Bowls,success
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Supplies,yes,boosted,Compared: Positive Reinforcement vs Correction-Based Dog Training Tools,success
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Supplies,yes,boosted,Compared: Daily Dental Brushing vs Dental Chews for Dogs,success
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Supplies,yes,boosted,Compared: Daily Dental Brushing vs Dental Chews for Dogs,success
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Supplies,yes,boosted,Compared: Professional Grooming vs Home Grooming for Dogs,success
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Supplies,yes,boosted,Compared: Daily Dental Brushing vs Dental Chews for Dogs,success
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Supplies,yes,boosted,Compared: Professional Grooming vs Home Grooming for Dogs,success
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Supplies,yes,boosted,Compared: Professional Grooming vs Home Grooming for Dogs,success
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Supplies,yes,boosted,Compared: Professional Grooming vs Home Grooming for Dogs,success
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Supplies,yes,boosted,Compared: Professional Grooming vs Home Grooming for Dogs,success
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Supplies,yes,boosted,Compared: Positive Reinforcement vs Correction-Based Dog Training Tools,success
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Supplies,yes,boosted,Compared: Positive Reinforcement vs Correction-Based Dog Training Tools,success
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Supplies,yes,boosted,Compared: Memory Foam vs Standard Polyester Dog Beds,success
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Supplies,yes,boosted,Compared: Stainless Steel vs Ceramic Dog Bowls,success
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Supplies,yes,boosted,Compared: Stainless Steel vs Ceramic Dog Bowls,success
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Supplies,yes,boosted,Compared: Daily Dental Brushing vs Dental Chews for Dogs,success
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Supplies,yes,boosted,Compared: Rubber vs Nylon Dog Toys,success
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Supplies,yes,boosted,Compared: Rubber vs Nylon Dog Toys,success
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Supplies,yes,boosted,Compared: Rubber vs Nylon Dog Toys,success
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Supplies,yes,boosted,Compared: Rubber vs Nylon Dog Toys,success
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,yes,skipped_has_compared,,skipped
8172,Our Research Standards,Uncategorized,yes,boosted,Compared: Interactive vs Self-Play Pet Toys,success
8171,Why PetHub Online Exists,Uncategorized,yes,boosted,Compared: Food-Based vs Sensory Enrichment for Pets,success
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,yes,boosted,Compared: Natural vs Synthetic Pet Toy Materials,success
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,yes,boosted,Compared: Natural vs Synthetic Pet Toy Materials,success
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,yes,boosted,Compared: Natural vs Synthetic Pet Toy Materials,success
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,yes,boosted,Compared: Natural vs Synthetic Pet Toy Materials,success
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,yes,boosted,Compared: Natural vs Synthetic Pet Toy Materials,success
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,yes,boosted,Compared: Natural vs Synthetic Pet Toy Materials,success
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,yes,boosted,Compared: Natural vs Synthetic Pet Toy Materials,success
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,yes,boosted,Compared: Active Play vs Calm Cognitive Play for Pets,success
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Uncategorized,yes,boosted,Compared: Natural vs Synthetic Pet Toy Materials,success
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,yes,boosted,Compared: Natural vs Synthetic Pet Toy Materials,success
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,yes,boosted,Compared: Natural vs Synthetic Pet Toy Materials,success
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,yes,boosted,Compared: Natural vs Synthetic Pet Toy Materials,success
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,yes,boosted,Compared: Active Play vs Calm Cognitive Play for Pets,success
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,yes,boosted,Compared: Active Play vs Calm Cognitive Play for Pets,success
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,yes,boosted,Compared: Natural vs Synthetic Pet Toy Materials,success
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,yes,boosted,Compared: Natural vs Synthetic Pet Toy Materials,success
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,yes,boosted,Compared: Active Play vs Calm Cognitive Play for Pets,success
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,yes,boosted,Compared: Active Play vs Calm Cognitive Play for Pets,success
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,yes,boosted,Compared: Natural vs Synthetic Pet Toy Materials,success
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,yes,boosted,Compared: Natural vs Synthetic Pet Toy Materials,success
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,yes,boosted,Compared: Active Play vs Calm Cognitive Play for Pets,success
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,yes,boosted,Compared: Active Play vs Calm Cognitive Play for Pets,success
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,yes,boosted,Compared: Interactive vs Self-Play Pet Toys,success
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,yes,boosted,Compared: Active Play vs Calm Cognitive Play for Pets,success
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,yes,boosted,Compared: Active Play vs Calm Cognitive Play for Pets,success
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Uncategorized,yes,boosted,Compared: Active Play vs Calm Cognitive Play for Pets,success
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,yes,boosted,Compared: Active Play vs Calm Cognitive Play for Pets,success
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,yes,boosted,Compared: Active Play vs Calm Cognitive Play for Pets,success
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,yes,boosted,Compared: Natural vs Synthetic Pet Toy Materials,success
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,yes,boosted,Compared: Active Play vs Calm Cognitive Play for Pets,success
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,yes,boosted,Compared: Natural vs Synthetic Pet Toy Materials,success
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,yes,boosted,Compared: Food-Based vs Sensory Enrichment for Pets,success
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,yes,boosted,Compared: Natural vs Synthetic Pet Toy Materials,success
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,yes,boosted,Compared: Active Play vs Calm Cognitive Play for Pets,success
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,yes,boosted,Compared: Interactive vs Self-Play Pet Toys,success
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,yes,boosted,Compared: Interactive vs Self-Play Pet Toys,success
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,yes,boosted,Compared: Interactive vs Self-Play Pet Toys,success
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,yes,boosted,Compared: Active Play vs Calm Cognitive Play for Pets,success
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,yes,boosted,Compared: Natural vs Synthetic Pet Toy Materials,success
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,yes,boosted,Compared: Natural vs Synthetic Pet Toy Materials,success
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,yes,boosted,Compared: Active Play vs Calm Cognitive Play for Pets,success
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,yes,boosted,Compared: Active Play vs Calm Cognitive Play for Pets,success
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,yes,boosted,Compared: Active Play vs Calm Cognitive Play for Pets,success
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,yes,boosted,Compared: Toy Rotation Schedules — Weekly vs Monthly Cycling,success
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,yes,boosted,Compared: String-Based vs Solid Cat Toys — Safety Considerations,success
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,yes,boosted,Compared: Toy Rotation Schedules — Weekly vs Monthly Cycling,success
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,yes,boosted,Compared: String-Based vs Solid Cat Toys — Safety Considerations,success
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,yes,boosted,Compared: Toy Rotation Schedules — Weekly vs Monthly Cycling,success
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,yes,boosted,Compared: Toy Rotation Schedules — Weekly vs Monthly Cycling,success
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,yes,boosted,Compared: String-Based vs Solid Cat Toys — Safety Considerations,success
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,yes,boosted,Compared: Toy Rotation Schedules — Weekly vs Monthly Cycling,success
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,yes,skipped_has_compared,,skipped
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,yes,skipped_has_compared,,skipped
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,yes,boosted,Compared: String-Based vs Solid Cat Toys — Safety Considerations,success
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,yes,skipped_has_compared,,skipped
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,yes,boosted,Compared: Toy Rotation Schedules — Weekly vs Monthly Cycling,success
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,yes,boosted,Compared: String-Based vs Solid Cat Toys — Safety Considerations,success
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,yes,boosted,Compared: String-Based vs Solid Cat Toys — Safety Considerations,success
7341,First Week with a New Puppy: A Day-by-Day Guide,Pet Care,yes,boosted,Compared: Multi-Pet vs Single-Pet Household Management,success
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Pet Care,yes,boosted,Compared: Multi-Pet vs Single-Pet Household Management,success
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Pet Care,yes,boosted,Compared: Multi-Pet vs Single-Pet Household Management,success
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Pet Care,yes,boosted,Compared: Summer vs Winter Pet Care Approaches,success
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Pet Care,yes,boosted,Compared: Summer vs Winter Pet Care Approaches,success
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Pet Care,yes,boosted,Compared: Summer vs Winter Pet Care Approaches,success
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Pet Care,yes,boosted,Compared: Multi-Pet vs Single-Pet Household Management,success
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Pet Care,yes,boosted,Compared: Summer vs Winter Pet Care Approaches,success
7332,How to Wash and Dry a Dog Bed Safely,Pet Care,yes,boosted,Compared: Multi-Pet vs Single-Pet Household Management,success
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Pet Care,yes,boosted,Compared: Multi-Pet vs Single-Pet Household Management,success
5419,Cat Care Basics: A Glossary for New Cat Owners,Pet Care,yes,boosted,Compared: Multi-Pet vs Single-Pet Household Management,success
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,yes,boosted,Compared: Multi-Pet vs Single-Pet Household Management,success
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,yes,boosted,Compared: Multi-Pet vs Single-Pet Household Management,success
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Pet Care,yes,boosted,Compared: Multi-Pet vs Single-Pet Household Management,success
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Pet Care,yes,skipped_has_compared,,skipped
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Pet Care,yes,boosted,Compared: Multi-Pet vs Single-Pet Household Management,success
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Pet Care,yes,boosted,Compared: Multi-Pet vs Single-Pet Household Management,success
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Pet Care,yes,boosted,Compared: Multi-Pet vs Single-Pet Household Management,success
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Pet Care,yes,skipped_has_compared,,skipped
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Pet Care,yes,boosted,Compared: Multi-Pet vs Single-Pet Household Management,success
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Pet Care,yes,boosted,Compared: Sisal vs Cardboard Scratching Surfaces,success
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Pet Care,yes,boosted,Compared: Multi-Pet vs Single-Pet Household Management,success
4272,Best Cat ID Tags UK (2026) – Identification Guide,Pet Care,yes,boosted,Compared: Breakaway vs Standard Cat Collars,success
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Pet Care,yes,boosted,Compared: Breakaway vs Standard Cat Collars,success
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Pet Care,yes,boosted,Compared: Multi-Pet vs Single-Pet Household Management,success
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Pet Care,yes,boosted,Compared: Multi-Pet vs Single-Pet Household Management,success
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Pet Care,yes,boosted,Compared: Multi-Pet vs Single-Pet Household Management,success
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Pet Care,yes,boosted,Compared: Multi-Pet vs Single-Pet Household Management,success
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Pet Care,yes,skipped_has_compared,,skipped
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,yes,boosted,Compared: Heated Cat Beds vs Self-Warming Cat Beds,success
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,yes,boosted,Compared: Heated Cat Beds vs Self-Warming Cat Beds,success
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,yes,boosted,Compared: Heated Cat Beds vs Self-Warming Cat Beds,success
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,yes,boosted,Compared: Heated Cat Beds vs Self-Warming Cat Beds,success
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,yes,boosted,Compared: Budget vs Premium Cat Supply Brands,success
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,yes,boosted,Compared: Core vs Non-Core Dog Vaccinations,success
