post_id,title,cluster,structure_score,depth_score,uk_score,freshness_score,evidence_score,overall_readiness,chatgpt_readiness,perplexity_readiness,gemini_readiness,ai_overviews_readiness,copilot_readiness
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,90,90,95,93,68,87.2,85.3,82.2,85.3,86.9,86.6
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,100,90,90,93,63,87.2,86.0,81.2,86.5,88.2,88.6
4125,Best Dog Training Treats UK (2026) – Reward Guide,Training Supplies,90,95,90,93,68,87.2,86.3,82.7,86.0,86.9,87.1
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,95,95,90,93,63,87.2,86.3,81.4,86.3,87.4,87.8
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,95,95,90,93,63,87.2,86.3,81.4,86.3,87.4,87.8
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,95,95,90,93,63,87.2,86.3,81.4,86.3,87.4,87.8
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,100,95,90,78,70,86.6,87.8,82.7,88.0,87.3,88.7
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,100,100,95,78,60,86.6,87.3,80.2,87.3,86.8,88.2
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,95,95,95,93,55,86.6,84.8,78.7,84.8,86.6,86.7
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,100,95,90,78,68,86.2,87.3,81.9,87.5,86.9,88.3
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,95,95,95,78,68,86.2,86.5,81.7,86.5,86.2,87.1
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,95,90,90,93,63,86.2,84.8,80.4,85.0,86.7,86.8
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,95,90,90,93,63,86.2,84.8,80.4,85.0,86.7,86.8
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,95,90,90,93,63,86.2,84.8,80.4,85.0,86.7,86.8
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,90,95,90,93,63,86.2,85.0,80.7,84.8,85.9,86.1
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,95,90,90,93,63,86.2,84.8,80.4,85.0,86.7,86.8
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,95,90,90,93,63,86.2,84.8,80.4,85.0,86.7,86.8
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,95,90,90,93,63,86.2,84.8,80.4,85.0,86.7,86.8
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,95,95,90,93,58,86.2,85.0,79.4,85.0,86.4,86.8
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,90,90,90,93,68,86.2,84.8,81.7,84.8,86.2,86.1
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Training Supplies,90,95,90,93,63,86.2,85.0,80.7,84.8,85.9,86.1
4568,Dog Dental Health: A Practical Care Guide,Dog Health,90,95,95,78,70,85.6,85.8,81.7,85.5,85.1,85.7
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Cat Supplies,95,95,90,93,55,85.6,84.3,78.2,84.3,85.8,86.2
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,95,95,90,93,55,85.6,84.3,78.2,84.3,85.8,86.2
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,90,90,85,93,70,85.6,84.8,82.0,84.8,85.8,86.0
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,85,90,95,93,65,85.6,83.3,80.2,83.0,84.8,84.2
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,95,95,95,93,50,85.6,83.5,76.7,83.5,85.6,85.7
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,100,100,90,78,58,85.2,86.3,78.9,86.3,85.7,87.3
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,95,95,95,78,63,85.2,85.3,79.7,85.3,85.2,86.1
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Training Supplies,90,95,85,93,63,85.2,84.5,80.2,84.3,85.2,85.6
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,85,95,85,95,65,85,84.0,80.5,83.5,84.5,84.5
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,100,100,75,78,70,84.6,87.8,82.2,87.8,85.8,88.2
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,95,95,90,93,50,84.6,83.0,76.2,83.0,84.8,85.2
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,95,95,90,93,50,84.6,83.0,76.2,83.0,84.8,85.2
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,100,95,90,78,58,84.2,84.8,77.9,85.0,84.9,86.3
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,100,95,83,78,65,84.2,85.8,80.0,86.1,85.3,87.0
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,95,95,95,78,58,84.2,84.0,77.7,84.0,84.2,85.1
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,95,95,90,78,63,84.2,84.8,79.2,84.8,84.4,85.6
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,85,90,90,93,63,84.2,82.3,78.9,82.0,83.7,83.3
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,85,95,90,93,58,84.2,82.5,77.9,82.0,83.4,83.3
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,85,90,90,93,63,84.2,82.3,78.9,82.0,83.7,83.3
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,100,90,85,93,53,84.2,83.0,76.7,83.5,85.4,86.1
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,100,90,85,93,53,84.2,83.0,76.7,83.5,85.4,86.1
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,85,90,90,93,63,84.2,82.3,78.9,82.0,83.7,83.3
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,90,95,85,93,58,84.2,83.3,78.2,83.0,84.2,84.6
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,95,95,75,93,63,84.2,84.8,79.9,84.8,85.2,86.3
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,95,95,80,93,58,84.2,84.0,78.4,84.0,84.9,85.8
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,85,100,90,78,68,84.2,85.0,80.7,84.3,83.2,84.1
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,100,100,75,78,65,83.6,86.5,80.2,86.5,84.8,87.2
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,100,95,80,78,65,83.6,85.5,79.7,85.8,84.8,86.7
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,90,90,90,78,70,83.6,83.8,80.2,83.8,83.6,84.2
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,90,90,90,93,55,83.6,81.5,76.5,81.5,83.6,83.5
4791,How to Choose the Right Dog Training Treats,Training Supplies,95,90,90,78,63,83.2,83.3,78.2,83.5,83.7,84.6
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,90,95,90,78,63,83.2,83.5,78.4,83.3,82.9,83.8
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,85,90,90,93,58,83.2,81.0,76.9,80.8,82.7,82.3
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,90,95,80,93,58,83.2,82.8,77.7,82.5,83.4,84.1
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,95,95,85,70,70,83,85.2,80.2,85.2,83.5,85.2
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,95,85,80,78,75,82.6,83.8,81.0,84.3,83.8,85.0
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,100,95,80,78,60,82.6,84.3,77.7,84.5,83.8,85.7
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,100,95,75,78,65,82.6,85.0,79.2,85.3,84.1,86.2
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,85,95,95,78,60,82.6,82.0,77.0,81.5,81.6,82.0
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,95,90,80,78,70,82.6,84.0,80.0,84.3,83.6,85.0
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,100,100,75,78,58,82.2,84.8,77.4,84.8,83.4,85.8
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,95,95,90,78,53,82.2,82.3,75.2,82.3,82.4,83.6
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,85,100,90,78,58,82.2,82.5,76.7,81.8,81.2,82.1
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,95,95,75,78,68,82.2,84.5,79.7,84.5,83.2,85.1
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,100,95,80,78,58,82.2,83.8,76.9,84.0,83.4,85.3
4783,How to Choose the Right Dog Bed Size,Dog Beds,95,90,85,78,63,82.2,82.8,77.7,83.0,82.9,84.1
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,85,85,95,78,68,82.2,81.0,78.2,81.0,81.7,81.6
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,100,85,60,70,95,82,87.2,86.5,88.0,84.8,87.5
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,100,95,85,70,58,81.6,83.5,76.2,83.8,82.6,84.6
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,100,95,75,78,60,81.6,83.8,77.2,84.0,83.1,85.2
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,85,90,80,93,60,81.6,80.5,76.7,80.3,81.6,81.7
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Uncategorized,90,90,75,78,73,81.2,83.0,79.9,83.0,81.9,83.3
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Uncategorized,100,100,75,78,53,81.2,83.5,75.4,83.5,82.4,84.8
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,95,95,90,78,48,81.2,81.0,73.2,81.0,81.4,82.6
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,100,95,75,70,65,81,84.2,78.0,84.5,82.5,85.0
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,100,95,70,70,70,81,85.0,79.5,85.2,82.8,85.5
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,95,90,90,70,60,81,81.8,75.8,82.0,81.5,82.8
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,100,90,83,78,53,80.8,81.3,74.2,81.8,82.2,83.6
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,95,90,75,78,65,80.6,82.3,77.5,82.5,81.8,83.5
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,95,90,75,78,65,80.6,82.3,77.5,82.5,81.8,83.5
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,100,90,65,78,70,80.6,83.8,79.2,84.3,82.8,85.2
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,100,90,75,78,60,80.6,82.3,76.2,82.8,82.3,84.2
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,100,90,75,78,60,80.6,82.3,76.2,82.8,82.3,84.2
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,85,85,90,78,65,80.6,79.8,76.5,79.8,80.3,80.5
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,100,95,75,78,53,80.2,82.0,74.4,82.3,81.7,83.8
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,100,85,80,78,58,80.2,80.8,74.9,81.5,81.9,83.3
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,95,95,85,78,48,80.2,80.5,72.7,80.5,80.7,82.1
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,85,95,80,78,63,80.2,81.3,76.7,80.8,79.9,81.1
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,100,90,75,78,58,80.2,81.8,75.4,82.3,81.9,83.8
4785,How to Wash and Maintain Your Dog's Bed,Dog Beds,95,90,80,78,58,80.2,81.0,75.2,81.3,81.2,82.6
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,90,95,75,78,63,80.2,82.0,76.9,81.8,80.7,82.3
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,85,90,90,78,58,80.2,79.5,74.7,79.3,79.7,80.1
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,85,90,80,70,75,80,82.0,79.2,81.8,80.0,81.2
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,100,85,65,70,78,79.6,83.5,80.2,84.2,82.1,84.6
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,95,90,75,78,60,79.6,81.0,75.5,81.3,80.8,82.5
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,95,85,95,78,45,79.6,77.8,70.5,78.3,80.1,80.5
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,95,90,75,78,58,79.2,80.5,74.7,80.8,80.4,82.1
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,95,90,75,78,58,79.2,80.5,74.7,80.8,80.4,82.1
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,100,90,75,78,53,79.2,80.5,73.4,81.0,80.9,82.8
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,100,90,75,78,53,79.2,80.5,73.4,81.0,80.9,82.8
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,70,95,90,78,63,79.2,78.5,75.4,77.3,76.9,76.8
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,100,90,75,78,53,79.2,80.5,73.4,81.0,80.9,82.8
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,95,90,75,78,58,79.2,80.5,74.7,80.8,80.4,82.1
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,100,90,85,70,50,79,80.0,72.0,80.5,80.2,82.0
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,100,85,70,70,70,79,82.0,77.5,82.8,81.2,83.5
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,100,85,65,70,73,78.6,82.2,78.2,83.0,81.1,83.6
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,100,85,60,70,78,78.6,83.0,79.7,83.8,81.3,84.1
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,100,85,65,70,73,78.6,82.2,78.2,83.0,81.1,83.6
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,100,95,70,70,58,78.6,82.0,74.7,82.2,80.3,83.1
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,100,95,65,70,63,78.6,82.8,76.2,83.0,80.6,83.6
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,95,95,70,70,63,78.6,82.0,76.0,82.0,79.8,82.3
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,95,90,65,78,65,78.6,81.3,76.5,81.5,80.3,82.5
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,95,90,65,78,65,78.6,81.3,76.5,81.5,80.3,82.5
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,95,85,75,78,60,78.6,79.5,74.5,80.0,80.1,81.5
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,95,85,75,78,60,78.6,79.5,74.5,80.0,80.1,81.5
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,95,95,85,78,40,78.6,78.5,69.5,78.5,79.1,80.5
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,85,80,85,78,65,78.6,77.8,75.0,78.0,78.8,79.0
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,95,90,75,78,53,78.2,79.3,72.7,79.5,79.4,81.1
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,95,85,80,78,53,78.2,78.3,72.2,78.8,79.4,80.6
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,90,90,75,78,58,78.2,79.3,73.9,79.3,78.9,80.3
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,85,80,90,78,58,78.2,76.5,72.7,76.8,78.2,78.1
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,95,85,75,78,58,78.2,79.0,73.7,79.5,79.7,81.1
7341,First Week with a New Puppy: A Day-by-Day Guide,Dog Care,100,90,80,70,50,78,79.5,71.5,80.0,79.5,81.5
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,85,80,95,80,50,78,75.2,70.2,75.5,77.8,77.2
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,100,95,70,70,53,77.6,80.8,72.7,81.0,79.3,82.1
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,85,90,95,78,40,77.6,75.5,68.0,75.3,76.8,77.0
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,90,85,75,78,60,77.6,78.3,73.7,78.5,78.6,79.7
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,95,85,75,78,53,77.2,77.8,71.7,78.3,78.7,80.1
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,90,90,70,78,58,77.2,78.8,73.4,78.8,78.2,79.8
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Dog Care,100,90,80,70,45,77,78.2,69.5,78.8,78.5,80.5
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,95,85,70,70,65,77,79.5,74.8,80.0,78.8,80.8
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,95,85,70,70,65,77,79.5,74.8,80.0,78.8,80.8
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,90,77,80,78,60,77,76.4,72.6,77.0,78.2,78.6
8172,Our Research Standards,Uncategorized,100,85,73,70,55,76.6,78.5,71.8,79.3,78.7,80.8
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,95,85,65,78,58,76.2,78.0,72.7,78.5,78.2,80.1
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,90,85,75,78,53,76.2,76.5,70.9,76.8,77.2,78.3
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,90,85,75,78,53,76.2,76.5,70.9,76.8,77.2,78.3
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,95,90,65,70,58,75.6,78.8,72.5,79.0,77.3,79.8
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,85,85,75,78,55,75.6,75.8,71.0,75.8,76.1,77.0
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,95,90,80,78,35,75.6,75.3,66.0,75.5,76.6,78.0
8171,Why PetHub Online Exists,Uncategorized,95,77,70,70,65,75.4,77.1,73.2,78.0,77.5,79.2
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,90,85,65,78,58,75.2,76.8,71.9,77.0,76.7,78.3
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,85,77,70,78,60,74,74.1,70.8,74.5,75.2,75.8
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,65,80,75,78,58,71.2,70.0,68.2,69.3,70.0,69.6
