post_id,title,cluster,commercial_intent,citation_score,moat_score,ownership_score,ai_readiness,content_maturity,overall_readiness,readiness_tier,monetization_fit
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,43.9,95.0,83.6,100.0,92.3,97.7,78.5,NEAR-READY,Display Ads
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,41.0,95.0,85.0,100.0,93.7,100,78.4,NEAR-READY,Affiliate; Display Ads
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,43.9,91.7,83.6,100.0,92.3,100,78.3,NEAR-READY,Display Ads
4786,Where to Place Your Dog&#8217;s Bed: Location and Comfort Tips,Dog Beds,39.4,96.7,85.0,100.0,94.3,100,78.2,DEVELOPING,Display Ads
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,39.6,96.7,83.6,100.0,94.3,100,78.1,DEVELOPING,Display Ads
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,58.9,86.7,76.4,100.0,85.7,87.7,78.1,NEAR-READY,Affiliate; Display Ads
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,43.2,95.0,80.7,100.0,92.3,97.7,77.8,NEAR-READY (BLOCKED),Blocked (pending evidence)
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,39.7,95.0,83.6,100.0,94.3,100,77.8,DEVELOPING,Display Ads
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,46.6,91.7,82.1,100.0,89.7,94.3,77.6,NEAR-READY,Affiliate; Display Ads
4783,How to Choose the Right Dog Bed Size,Dog Beds,42.4,94.2,83.6,100.0,91.3,96.0,77.5,NEAR-READY,Display Ads
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Training Supplies,35.0,96.7,87.1,100.0,94.3,100,77.2,DEVELOPING,Affiliate
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,45.4,90.0,79.3,100.0,89.7,97.7,77.1,NEAR-READY,Affiliate; Display Ads
4785,How to Wash and Maintain Your Dog&#8217;s Bed,Dog Beds,37.3,95.0,83.6,100.0,94.3,100,77.1,DEVELOPING,Display Ads
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Training Supplies,35.2,96.7,85.7,100.0,94.3,100,77.1,DEVELOPING,Affiliate
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,39.1,95.0,83.6,100.0,92.3,97.7,77.0,DEVELOPING,Display Ads
5033,How to Choose the Right Cat Toy for Your Cat&#8217;s Personality,Cat Toys,38.3,95.0,83.6,100.0,92.3,97.7,76.8,DEVELOPING,Display Ads
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,37.2,95.0,80.7,100.0,94.3,100,76.7,DEVELOPING,Affiliate
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,35.3,95.0,83.6,100.0,94.3,100,76.5,DEVELOPING,Display Ads
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,42.3,90.0,79.3,100.0,90.3,97.7,76.3,NEAR-READY,Display Ads
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,37.9,91.7,80.7,100.0,93.0,100,76.2,DEVELOPING,Display Ads
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,39.7,93.3,82.1,100.0,90.3,94.3,75.9,DEVELOPING,Display Ads
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,31.3,96.7,85.0,100.0,94.3,100,75.8,DEVELOPING,Display Ads
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,31.6,96.7,82.1,100.0,94.3,100,75.4,DEVELOPING,Display Ads
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,39.4,93.3,79.3,100.0,90.3,94.3,75.4,NEAR-READY (BLOCKED),Blocked (pending evidence)
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,29.1,95.0,88.6,100.0,93.7,100,75.3,DEVELOPING,Affiliate
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,30.1,96.7,83.6,100.0,94.3,100,75.2,DEVELOPING,Display Ads
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,32.2,91.7,83.6,100.0,92.3,100,74.8,DEVELOPING,Affiliate
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,37.6,90.0,79.3,100.0,89.7,97.7,74.8,DEVELOPING,Display Ads
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,37.3,90.0,79.3,100.0,89.7,97.7,74.7,DEVELOPING,Display Ads
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,28.4,96.7,83.6,100.0,94.3,100,74.7,DEVELOPING,Affiliate
7341,First Week with a New Puppy: A Day-by-Day Guide,Dog Care,32.2,91.7,82.1,100.0,92.3,100,74.6,DEVELOPING,Affiliate
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,32.4,90.8,84.3,100.0,91.3,99.3,74.6,NEAR-READY (BLOCKED),Blocked (pending evidence)
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,28.9,96.7,82.1,100.0,94.3,100,74.6,DEVELOPING,Display Ads
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Dog Care,31.0,91.7,83.6,100.0,92.3,100,74.4,DEVELOPING,Affiliate
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,31.1,95.0,82.1,100.0,92.3,97.7,74.4,DEVELOPING,Display Ads
696,Essential Cat Supplies for Cat Owners &#8211; Number 1 Must-Haves,Cat Supplies,36.8,92.5,81.4,100.0,89.3,92.7,74.4,DEVELOPING,Display Ads
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,29.0,91.7,85.0,100.0,92.3,100,74.0,DEVELOPING,Affiliate
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,36.4,85.8,80.7,100.0,88.7,97.7,73.9,DEVELOPING,Display Ads
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,30.4,95.0,79.3,100.0,92.3,97.7,73.8,DEVELOPING,Display Ads
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,31.3,94.2,80.0,100.0,91.3,96.0,73.6,DEVELOPING,Display Ads
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,26.7,91.7,86.4,100.0,92.3,100,73.6,DEVELOPING,Display Ads
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,40.0,89.2,79.3,100.0,86.3,87.7,73.4,NEAR-READY,Display Ads
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,25.6,95.0,85.0,100.0,92.3,97.7,73.2,DEVELOPING,Display Ads
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,27.1,95.0,82.1,100.0,91.7,97.7,73.1,DEVELOPING,Display Ads
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,30.7,93.3,80.7,100.0,90.3,94.3,73.0,DEVELOPING,Display Ads
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,22.4,96.7,83.6,100.0,94.3,100,72.9,DEVELOPING,Display Ads
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,24.8,95.0,85.0,100.0,92.3,97.7,72.9,DEVELOPING,Display Ads
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,21.5,96.7,83.6,100.0,94.3,100,72.6,DEVELOPING,Display Ads
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,24.3,95.0,83.6,100.0,92.3,97.7,72.6,DEVELOPING,Display Ads
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,25.6,93.3,83.6,100.0,91.7,97.7,72.6,DEVELOPING,Display Ads
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,30.3,92.5,81.4,100.0,89.3,92.7,72.5,DEVELOPING,Affiliate
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,28.8,90.0,80.7,100.0,89.7,97.7,72.4,DEVELOPING,Display Ads
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,22.4,91.7,86.4,100.0,92.3,100,72.3,DEVELOPING,Affiliate
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,29.7,92.5,81.4,100.0,89.3,92.7,72.3,DEVELOPING,Display Ads
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,35.5,90.8,77.1,100.0,87.3,89.3,72.3,NEAR-READY (BLOCKED),Blocked (pending evidence)
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,29.0,92.5,82.1,100.0,89.3,92.7,72.2,DEVELOPING,Affiliate
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,34.1,89.2,82.9,100.0,86.3,87.7,72.1,DEVELOPING,Affiliate
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,20.9,95.0,86.4,100.0,92.3,97.7,72.0,DEVELOPING,Display Ads
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,23.3,94.2,84.3,100.0,91.3,96.0,71.9,DEVELOPING,Display Ads
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,19.4,95.0,83.6,100.0,92.3,97.7,71.1,DEVELOPING,Display Ads
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,26.0,92.5,80.0,100.0,89.3,92.7,71.0,DEVELOPING,Affiliate
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,24.0,92.5,84.3,100.0,89.3,92.7,71.0,DEVELOPING,Affiliate
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,19.2,91.7,82.1,100.0,92.3,100,70.7,DEVELOPING,Display Ads
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,17.0,91.7,85.0,100.0,92.3,100,70.5,DEVELOPING,Display Ads
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,28.9,87.5,77.1,100.0,87.3,92.7,70.4,DEVELOPING,Display Ads
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,24.0,92.5,80.0,100.0,89.3,92.7,70.4,DEVELOPING,Display Ads
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,17.0,91.7,82.1,100.0,92.3,100,70.0,DEVELOPING,Display Ads
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,17.0,91.7,82.1,100.0,92.3,100,70.0,DEVELOPING,Display Ads
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,16.7,91.7,82.1,100.0,92.3,100,69.9,DEVELOPING,Display Ads
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,20.0,93.3,82.1,100.0,89.7,94.3,69.9,DEVELOPING,Display Ads
5512,Dog Behaviour Explained: Understanding Your Dog&#8217;s Body Language and Actions,Uncategorized,16.2,94.2,84.3,100.0,91.3,96.0,69.7,DEVELOPING,Display Ads
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,11.4,96.7,83.6,100.0,94.3,100,69.6,DEVELOPING,Affiliate
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,26.8,90.0,79.3,100.0,86.3,87.7,69.5,DEVELOPING,Display Ads
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,15.3,95.0,80.7,100.0,92.3,97.7,69.4,DEVELOPING,Display Ads
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,15.0,95.0,80.7,100.0,92.3,97.7,69.4,DEVELOPING,Display Ads
4568,Dog Dental Health: A Practical Care Guide,Dog Health,11.2,95.0,85.0,100.0,93.7,100,69.4,DEVELOPING,Affiliate
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,17.9,90.0,80.7,100.0,90.3,97.7,69.2,DEVELOPING,Display Ads
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,11.7,95.0,86.4,100.0,92.3,97.7,69.2,DEVELOPING,Display Ads
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,22.1,91.7,79.3,100.0,87.7,91.0,69.1,DEVELOPING,Display Ads
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,12.0,95.0,85.0,100.0,92.3,97.7,69.1,DEVELOPING,Display Ads
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,16.2,92.5,85.0,100.0,89.3,92.7,68.8,DEVELOPING,Display Ads
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,11.4,95.0,83.6,100.0,92.3,97.7,68.7,DEVELOPING,Display Ads
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,22.7,90.8,77.1,100.0,87.3,89.3,68.5,DEVELOPING,Display Ads
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,11.7,95.0,80.7,100.0,92.3,97.7,68.4,DEVELOPING,Display Ads
6042,Enrichment by Breed Group: Tailoring Play to Your Dog&#8217;s Instincts,Uncategorized,14.7,93.3,82.1,100.0,89.7,94.3,68.3,DEVELOPING,Display Ads
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,14.7,93.3,80.7,100.0,89.7,94.3,68.1,DEVELOPING,Display Ads
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,13.8,93.3,80.7,100.0,90.3,94.3,67.9,DEVELOPING,Display Ads
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,7.7,91.7,86.4,100.0,92.3,100,67.9,DEVELOPING,Display Ads
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,17.6,90.8,81.4,100.0,87.3,89.3,67.6,DEVELOPING,Display Ads
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,15.6,89.2,81.4,100.0,88.0,92.7,67.4,DEVELOPING,Display Ads
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,12.0,93.3,80.7,100.0,89.7,94.3,67.3,DEVELOPING,Display Ads
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,11.4,93.3,79.3,100.0,90.3,94.3,67.0,DEVELOPING,Display Ads
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,11.4,92.5,81.4,100.0,89.3,92.7,66.8,DEVELOPING,Display Ads
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,10.2,92.5,82.9,100.0,89.3,92.7,66.7,DEVELOPING,Affiliate
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,12.0,92.5,78.6,100.0,89.3,92.7,66.6,DEVELOPING,Display Ads
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,14.7,90.8,78.6,100.0,87.3,89.3,66.3,DEVELOPING,Display Ads
8171,Why PetHub Online Exists,Uncategorized,10.8,85.0,82.9,100.0,87.7,96.0,66.0,DEVELOPING,Display Ads
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,8.8,92.5,80.0,100.0,89.3,92.7,65.8,DEVELOPING,Affiliate
8172,Our Research Standards,Uncategorized,11.1,81.7,82.1,100.0,84.7,91.0,64.3,DEVELOPING,Display Ads
