id,title,cluster,glossary_added,common_mistakes_added,status
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Toys,already_present,yes,updated
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Toys,already_present,yes,updated
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Toys,already_present,yes,updated
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Toys,already_present,already_present,skipped
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Toys,already_present,yes,updated
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Toys,already_present,already_present,skipped
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Toys,already_present,already_present,skipped
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Toys,already_present,yes,updated
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Toys,yes,yes,updated
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Toys,already_present,yes,updated
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Toys,already_present,yes,updated
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Toys,already_present,yes,updated
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Toys,already_present,yes,updated
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Toys,already_present,yes,updated
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Toys,already_present,already_present,skipped
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,already_present,already_present,skipped
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,already_present,already_present,skipped
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,already_present,already_present,skipped
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Toys,already_present,yes,updated
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Toys,already_present,already_present,skipped
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Toys,already_present,already_present,skipped
3836,Best Dog Food UK (2026) – Complete Buying Guide,Dog Toys,already_present,already_present,skipped
696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,Dog Toys,yes,yes,updated
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,already_present,already_present,skipped
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Dog Toys,already_present,already_present,skipped
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Dog Toys,already_present,already_present,skipped
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Dog Toys,already_present,already_present,skipped
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Dog Toys,yes,yes,updated
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Dog Toys,yes,yes,updated
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Dog Toys,already_present,already_present,skipped
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Dog Toys,already_present,already_present,skipped
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Dog Toys,already_present,already_present,skipped
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Dog Toys,already_present,already_present,skipped
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Dog Toys,already_present,already_present,skipped
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Dog Toys,already_present,already_present,skipped
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Dog Toys,already_present,yes,updated
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Dog Toys,already_present,already_present,skipped
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Uncategorized,already_present,already_present,skipped
