# generated_at: 2026-05-27T20:31:35Z
# source_server: 167.99.198.145
# git_commit: 379fe1f
# generated_by: Phase10A_Implementation_Generator
# data_source_label: live_wordpress_api + live_sitemap + live_rankmath
# total_posts: 58
# uncategorized: 0
# mismatched: 0
# healthy: 58
# total_categories: 34
# agent_status: LIVE
# check_interval: every_12_hours
post_id,slug,title,categories,category_ids,issues,severity,is_dog_content,is_cat_content,action,agent_mode,approval_status,next_action
4096,best-dog-dental-care-uk,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health; Dog Supplies; Pet Health,1450; 1376; 1391,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
4089,best-dog-health-care-uk,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health; Dog Supplies; Pet Health,1450; 1376; 1391,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
4078,best-dog-nail-clippers-uk,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding ,Dog Care; Dog Supplies; Product Reviews,1489; 1376; 1379,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
4071,best-dog-shampoo-uk,Best Dog Shampoo UK (2026) – Ingredients &#038; Safety Guide,Dog Care; Dog Supplies; Product Reviews,1489; 1376; 1379,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
4064,best-dog-brushes-uk,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care; Dog Supplies; Product Reviews,1489; 1376; 1379,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
4057,best-dog-grooming-supplies-uk,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care; Dog Supplies; Product Reviews,1489; 1376; 1379,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
4049,best-puppy-collars-uk,Best Puppy Collars UK (2026) – First Collar &#038; Harness G,Dog Supplies; Product Reviews; Puppy Care,1376; 1379; 1442,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
4042,best-dog-leads-uk,Best Dog Leads UK (2026) – Walking &#038; Training Lead Guid,Dog Supplies; Product Reviews; Training Supplies,1376; 1379; 1474,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
4034,best-no-pull-dog-harnesses-uk,Best No-Pull Dog Harnesses UK (2026) – Training &#038; Comfo,Dog Harnesses; Dog Supplies; Product Reviews,1422; 1376; 1379,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
4027,best-dog-collars-and-harnesses-uk,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses; Dog Supplies; Product Reviews,1422; 1376; 1379,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
4018,best-puppy-beds-uk,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training ,Dog Beds; Dog Supplies; Puppy Care,1401; 1376; 1442,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
4011,best-cooling-dog-beds-uk,Best Cooling Dog Beds UK (2026) – Temperature Regulation Gui,Dog Beds; Dog Supplies; Product Reviews,1401; 1376; 1379,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
4004,best-orthopaedic-dog-beds-uk,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds; Dog Supplies; Orthopaedic Care,1401; 1376; 1455,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
3996,best-dog-beds-uk,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Revie,Dog Beds; Dog Supplies; Product Reviews,1401; 1376; 1379,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
3960,best-puppy-toys-uk,Best Puppy Toys UK (2026) – Teething &#038; First Toys Guide,Dog Supplies; Dog Toys; Puppy Care,1376; 1441; 1442,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
3959,best-interactive-dog-toys-uk,Best Interactive Dog Toys UK (2026) – Puzzle &#038; Enrichme,Dog Supplies; Dog Toys; Interactive Toys,1376; 1441; 1460,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
3957,best-indestructible-dog-toys-uk,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heav,Dog Supplies; Dog Toys; Product Reviews,1376; 1441; 1379,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
3956,best-dog-toys-uk,Best Dog Toys UK (2026) – Complete Guide &#038; Honest Revie,Dog Supplies; Dog Toys; Product Reviews,1376; 1441; 1379,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
3839,best-puppy-food-uk,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Gui,Dog Food; Dog Supplies; Puppy Care,1467; 1376; 1442,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
3838,dry-vs-wet-dog-food-uk,Dry vs Wet Dog Food UK &#8211; An Honest Comparison Guide,Dog Food; Dog Supplies; Product Reviews,1467; 1376; 1379,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
3837,best-dry-dog-food-uk,Best Dry Dog Food UK (2026) &#8211; Evidence-Based Guide,Dog Food; Dog Supplies; Product Reviews,1467; 1376; 1379,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
3836,best-dog-food-uk,Best Dog Food UK (2026) &#8211; Complete Buying Guide,Dog Food; Dog Supplies; Product Reviews,1467; 1376; 1379,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
696,essential-cat-supplies-for-cat-owners,Essential Cat Supplies for Cat Owners &#8211; Number 1 Must-,Buying Guides; Cat Supplies,1380; 1377,none,ok,no,yes,none,live_monitoring,GREEN_auto,continue_monitoring
3,top-dog-toys-every-pet-owner-needs-in-2026,Top Dog Toys Every Pet Owner Needs in 2026,Dog Supplies; Product Reviews,1376; 1379,none,ok,yes,no,none,live_monitoring,GREEN_auto,continue_monitoring
