# generated_at: 2026-05-27T20:31:35Z
# source_server: 167.99.198.145
# git_commit: 379fe1f
# generated_by: Phase10A_Implementation_Generator
# data_source_label: live_wordpress_api + live_sitemap + live_rankmath
# total_posts: 58
# high_readiness: 56
# medium_readiness: 2
# low_readiness: 0
# agent_status: LIVE_MONITORING
# check_interval: every_24_hours
# no_fake_claims: TRUE
post_id,slug,title,word_count,has_headings,has_lists,has_tables,has_entity_schema,answer_readiness_score,ai_visibility_potential,issues,agent_mode,approval_status,next_action
4078,best-dog-nail-clippers-uk,Best Dog Nail Clippers UK (2026) – Trimming &#038;,634,yes,yes,no,no,70,high,none,monitoring,GREEN_auto,continue_monitoring
4071,best-dog-shampoo-uk,Best Dog Shampoo UK (2026) – Ingredients &#038; Sa,627,yes,yes,no,no,70,high,none,monitoring,GREEN_auto,continue_monitoring
4064,best-dog-brushes-uk,Best Dog Brushes UK (2026) – Guide by Coat Type,670,yes,yes,no,no,70,high,none,monitoring,GREEN_auto,continue_monitoring
4057,best-dog-grooming-supplies-uk,Best Dog Grooming Supplies UK (2026) – Complete Gu,932,yes,yes,no,no,70,high,none,monitoring,GREEN_auto,continue_monitoring
4049,best-puppy-collars-uk,Best Puppy Collars UK (2026) – First Collar &#038;,666,yes,yes,no,no,70,high,none,monitoring,GREEN_auto,continue_monitoring
4042,best-dog-leads-uk,Best Dog Leads UK (2026) – Walking &#038; Training,820,yes,yes,no,no,70,high,none,monitoring,GREEN_auto,continue_monitoring
4034,best-no-pull-dog-harnesses-uk,Best No-Pull Dog Harnesses UK (2026) – Training &#,833,yes,yes,no,no,70,high,none,monitoring,GREEN_auto,continue_monitoring
4027,best-dog-collars-and-harnesses-uk,Best Dog Collars and Harnesses UK (2026) – Complet,1158,yes,yes,no,no,70,high,none,monitoring,GREEN_auto,continue_monitoring
4018,best-puppy-beds-uk,Best Puppy Beds UK (2026) – First Bed &#038; Crate,849,yes,yes,no,no,70,high,none,monitoring,GREEN_auto,continue_monitoring
4011,best-cooling-dog-beds-uk,Best Cooling Dog Beds UK (2026) – Temperature Regu,815,yes,yes,no,no,70,high,none,monitoring,GREEN_auto,continue_monitoring
4004,best-orthopaedic-dog-beds-uk,Best Orthopaedic Dog Beds UK (2026) – Joint Suppor,899,yes,yes,no,no,70,high,none,monitoring,GREEN_auto,continue_monitoring
3996,best-dog-beds-uk,Best Dog Beds UK (2026) – Complete Guide &#038; Ho,1119,yes,yes,no,no,70,high,none,monitoring,GREEN_auto,continue_monitoring
3960,best-puppy-toys-uk,Best Puppy Toys UK (2026) – Teething &#038; First ,1383,yes,yes,no,no,70,high,none,monitoring,GREEN_auto,continue_monitoring
3959,best-interactive-dog-toys-uk,Best Interactive Dog Toys UK (2026) – Puzzle &#038,1323,yes,yes,no,no,70,high,none,monitoring,GREEN_auto,continue_monitoring
3957,best-indestructible-dog-toys-uk,Best Indestructible Dog Toys UK (2026) – Tough Toy,1227,yes,yes,no,no,70,high,none,monitoring,GREEN_auto,continue_monitoring
3956,best-dog-toys-uk,Best Dog Toys UK (2026) – Complete Guide &#038; Ho,1415,yes,yes,no,no,70,high,none,monitoring,GREEN_auto,continue_monitoring
3839,best-puppy-food-uk,Best Puppy Food UK (2026) &#8211; Growth-Stage Nut,1929,yes,yes,yes,no,80,high,none,monitoring,GREEN_auto,continue_monitoring
3838,dry-vs-wet-dog-food-uk,Dry vs Wet Dog Food UK &#8211; An Honest Compariso,1597,yes,yes,yes,no,80,high,none,monitoring,GREEN_auto,continue_monitoring
3837,best-dry-dog-food-uk,Best Dry Dog Food UK (2026) &#8211; Evidence-Based,2698,yes,yes,yes,no,80,high,none,monitoring,GREEN_auto,continue_monitoring
3836,best-dog-food-uk,Best Dog Food UK (2026) &#8211; Complete Buying Gu,4288,yes,yes,yes,no,80,high,none,monitoring,GREEN_auto,continue_monitoring
696,essential-cat-supplies-for-cat-owners,Essential Cat Supplies for Cat Owners &#8211; Numb,489,yes,no,no,no,40,medium,none,monitoring,GREEN_auto,continue_monitoring
3,top-dog-toys-every-pet-owner-needs-in-2026,Top Dog Toys Every Pet Owner Needs in 2026,194,yes,yes,no,no,50,medium,none,monitoring,GREEN_auto,continue_monitoring
