# generated_at: 2026-05-27T20:31:35Z
# source_server: 167.99.198.145
# git_commit: 379fe1f
# generated_by: Phase10A_Implementation_Generator
# data_source_label: live_wordpress_api + live_sitemap + live_rankmath
# total_scanned: 58
# safe: 58
# blocked_detected: 0
# warnings: 0
# blocked_types: Product,Review,AggregateRating,Offer,SoftwareApplication
# agent_status: LIVE
# check_interval: every_6_hours
post_id,slug,title,schema_types,safe_schemas,blocked_schemas,unknown_schemas,issues,severity,action,agent_mode,approval_status,next_action
4078,best-dog-nail-clippers-uk,Best Dog Nail Clippers UK (2026) – Trimming &#038;,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
4071,best-dog-shampoo-uk,Best Dog Shampoo UK (2026) – Ingredients &#038; Sa,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
4064,best-dog-brushes-uk,Best Dog Brushes UK (2026) – Guide by Coat Type,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
4057,best-dog-grooming-supplies-uk,Best Dog Grooming Supplies UK (2026) – Complete Gu,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
4049,best-puppy-collars-uk,Best Puppy Collars UK (2026) – First Collar &#038;,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
4042,best-dog-leads-uk,Best Dog Leads UK (2026) – Walking &#038; Training,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
4034,best-no-pull-dog-harnesses-uk,Best No-Pull Dog Harnesses UK (2026) – Training &#,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
4027,best-dog-collars-and-harnesses-uk,Best Dog Collars and Harnesses UK (2026) – Complet,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
4018,best-puppy-beds-uk,Best Puppy Beds UK (2026) – First Bed &#038; Crate,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
4011,best-cooling-dog-beds-uk,Best Cooling Dog Beds UK (2026) – Temperature Regu,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
4004,best-orthopaedic-dog-beds-uk,Best Orthopaedic Dog Beds UK (2026) – Joint Suppor,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
3996,best-dog-beds-uk,Best Dog Beds UK (2026) – Complete Guide &#038; Ho,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
3960,best-puppy-toys-uk,Best Puppy Toys UK (2026) – Teething &#038; First ,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
3959,best-interactive-dog-toys-uk,Best Interactive Dog Toys UK (2026) – Puzzle &#038,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
3957,best-indestructible-dog-toys-uk,Best Indestructible Dog Toys UK (2026) – Tough Toy,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
3956,best-dog-toys-uk,Best Dog Toys UK (2026) – Complete Guide &#038; Ho,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
3839,best-puppy-food-uk,Best Puppy Food UK (2026) &#8211; Growth-Stage Nut,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
3838,dry-vs-wet-dog-food-uk,Dry vs Wet Dog Food UK &#8211; An Honest Compariso,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
3837,best-dry-dog-food-uk,Best Dry Dog Food UK (2026) &#8211; Evidence-Based,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
3836,best-dog-food-uk,Best Dog Food UK (2026) &#8211; Complete Buying Gu,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
696,essential-cat-supplies-for-cat-owners,Essential Cat Supplies for Cat Owners &#8211; Numb,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
3,top-dog-toys-every-pet-owner-needs-in-2026,Top Dog Toys Every Pet Owner Needs in 2026,(none),,none,none,pass,ok,none,live_enforcement,GREEN_auto,continue_monitoring
