# generated_at: 2026-05-27T20:31:35Z
# source_server: 167.99.198.145
# git_commit: 379fe1f
# generated_by: Phase10A_Implementation_Generator
# data_source_label: live_wordpress_api + live_sitemap + live_rankmath
# total_files: 108
# compliant: 103
# stale: 0
# missing_metadata: 5
# agent_status: LIVE
# check_interval: every_24_hours
# stale_threshold: 168_hours
directory,filename,extension,size_kb,modified,age_hours,is_stale,meta_found,meta_missing,issues,severity,agent_mode,approval_status,next_action
phase10,Phase10_SA-13_Content_Authority_Agent_Deep_Execution.txt,.txt,3.8,2026-05-27T20:15:57Z,0,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase10,Phase10_SA01_Sitemap_Indexing_Deep_Execution.txt,.txt,10.2,2026-05-27T20:15:57Z,0,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase10,Phase10_Schema_Blocking_Rules.yaml,.yaml,1.7,2026-05-27T19:58:52Z,1,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase10,Phase10_Schema_Safety_Agent_Spec.csv,.csv,3.9,2026-05-27T19:58:52Z,1,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase10,Phase10_Section_Launch_Framework.csv,.csv,1.8,2026-05-27T19:58:52Z,1,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase10,Phase10_Section_Launch_Tracker.csv,.csv,1.6,2026-05-27T20:15:57Z,0,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase10,Phase10_Security_Check_Schedule.yaml,.yaml,1.7,2026-05-27T19:58:52Z,1,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase10,Phase10_Security_Governance_Agent_Spec.csv,.csv,4.1,2026-05-27T19:58:52Z,1,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase10,Phase10_Sitemap_Indexing_Agent_Spec.csv,.csv,4.4,2026-05-27T19:58:52Z,1,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase10,Phase10_Specialist_Agent_Roster.csv,.csv,2.2,2026-05-27T19:58:52Z,1,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase10,Phase10_Taxonomy_Authority_Agent_Spec.csv,.csv,4.0,2026-05-27T19:58:52Z,1,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase10,Phase10_Trust_Editorial_Evidence_Agent_Spec.csv,.csv,3.9,2026-05-27T19:58:52Z,1,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase10a,Phase10A_Metadata_ImageAlt_Agent_Implementation_Report.csv,.csv,13.3,2026-05-27T20:32:51Z,0,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase10a,Phase10A_Schema_Safety_Agent_Implementation_Report.csv,.csv,9.7,2026-05-27T20:32:51Z,0,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase10a,Phase10A_Sitemap_Indexing_Agent_Implementation_Report.csv,.csv,14.4,2026-05-27T20:32:51Z,0,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase10a,Phase10A_Taxonomy_Authority_Agent_Implementation_Report.csv,.csv,12.6,2026-05-27T20:32:51Z,0,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9c,Phase9C_CoPilot_Owner_Review_Commands.csv,.csv,3.9,2026-05-27T16:00:44Z,5,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9c,Phase9C_DogFood_Owner_Review_Status.csv,.csv,2.6,2026-05-27T16:00:44Z,5,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9c,Phase9C_Evidence_Index.txt,.txt,5.7,2026-05-27T16:14:40Z,4,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9c,Phase9C_Executive_Summary.txt,.txt,11.4,2026-05-27T16:00:44Z,5,no,none,generated_at; source_server; git_commit; generated_by; data_source,"missing_meta:generated_at,source_server,git_commit,generated_by,data_source",medium,live_enforcement,GREEN_auto,add_metadata
phase9c,Phase9C_Incident_Report.txt,.txt,12.8,2026-05-27T16:14:14Z,4,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9c,Phase9C_Internal_Link_Final_Check.csv,.csv,3.7,2026-05-27T16:00:44Z,5,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9c,Phase9C_Metadata_Approval_Pack.csv,.csv,2.4,2026-05-27T16:00:44Z,5,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9c,Phase9C_Phase9_Technical_Cleanup_Status.csv,.csv,2.5,2026-05-27T16:00:44Z,5,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9c,Phase9C_Product_Evidence_Action_Queue.csv,.csv,2.6,2026-05-27T16:00:44Z,5,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9c,Phase9C_Publishing_Gate_Status.csv,.csv,1.3,2026-05-27T16:00:44Z,5,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9c,Phase9C_Schema_Staging_Pack.json,.json,21.9,2026-05-27T16:00:44Z,5,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9d,Affiliate_Compliance_Final_Report.csv,.csv,4.9,2026-05-27T17:04:29Z,3,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9d,CoPilot_Safety_Command_Report.csv,.csv,3.2,2026-05-27T17:04:29Z,3,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9d,Export_Discipline_Report.csv,.csv,5.3,2026-05-27T17:04:29Z,3,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9d,Google_Data_Source_Reconciliation_Final.csv,.csv,1.7,2026-05-27T17:04:29Z,3,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9d,NOC_Endpoint_Cleanup_Report.csv,.csv,2.3,2026-05-27T17:04:29Z,3,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9d,NOC_Raw_API_Status.json,.json,3.9,2026-05-27T17:04:29Z,3,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9d,Next_Mission_Preparation_Pack.csv,.csv,2.6,2026-05-27T17:04:29Z,3,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9d,Phase9D_Executive_Summary.txt,.txt,10.3,2026-05-27T17:04:29Z,3,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9d,Phase9D_Security_Public_Safety_Report.csv,.csv,2.3,2026-05-27T17:04:29Z,3,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9d,Phase9D_Write_Path_Governance_Tests.json,.json,4.4,2026-05-27T17:04:29Z,3,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9d,Product_Evidence_Action_Queue_Final.csv,.csv,4.8,2026-05-27T17:04:29Z,3,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9d,Publish_Governance_Hardening_Report.csv,.csv,2.9,2026-05-27T17:04:29Z,3,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9d,Publish_Lock_Status_Report.csv,.csv,2.0,2026-05-27T17:04:29Z,3,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
phase9d,Social_Channel_Safety_Report.csv,.csv,0.9,2026-05-27T17:04:29Z,3,no,data_source; generated_at; generated_by; git_commit; source_server,none,compliant,ok,live_enforcement,GREEN_auto,none
