post_id,title,word_count,depth_score,faq_score,glossary_score,trust_score,comparison_score,practical_score,external_ref_score,internal_link_score,semantic_score,freshness_score,overall_quality,quality_tier
4573,Seasonal Pet Safety: Protecting Pets Through the Year,1197,99.8,100,100,100,0,100,0,76,100,100,77.6,A
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,1793,100,100,100,100,0,100,0,100,100,50,77.5,A
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the,4167,100,100,25,100,60,100,60,76,100,0,77.1,A
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,1248,100,100,100,100,0,100,0,68,100,100,76.8,A
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,1364,100,60,100,100,0,100,0,100,100,100,76.0,A
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,1588,100,30,100,100,60,100,0,100,80,50,75.5,A
4563,Dog Grooming Basics: A Complete Guide for Owners,1132,94.3,60,100,100,0,100,0,100,100,100,75.2,A
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,1877,100,30,100,100,60,100,0,100,70,50,75.0,A
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Fo,2741,100,100,61,100,0,100,60,76,100,0,74.7,A
5464,Pet Grooming Glossary: Understanding Grooming Terms and Tech,3269,100,100,73,100,0,100,90,32,100,0,74.5,A
4792,Puppy Socialisation: A Complete Timeline Guide,1503,100,100,100,100,0,0,60,84,100,100,74.4,A
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",1441,100,100,100,100,60,0,0,84,100,100,74.4,A
5419,Cat Care Basics: A Glossary for New Cat Owners,2362,100,100,100,100,0,100,0,68,100,50,74.3,A
4570,First-Time Dog Owner Essentials: What You Need to Know,1430,100,100,100,100,60,15,0,68,100,100,74.3,A
5418,Dog Harness Types Explained: Finding the Right Fit,2301,100,100,100,100,60,100,0,32,100,0,74.2,A
5416,Dog Bed Types Explained: A Complete Glossary,2179,100,100,100,100,60,100,0,32,100,0,74.2,A
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,1059,88.2,60,100,100,0,100,0,100,98,100,74.1,A
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,1352,100,75,100,100,0,100,0,76,81,100,74.1,A
5032,Cat Toys FAQ: Common Questions Answered,1474,100,90,100,100,0,100,0,100,100,0,74.0,A
5950,Dog Toy Durability Guide: What Lasts and What Does Not,1694,100,100,97,100,0,0,90,100,100,0,73.7,A
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",1700,100,100,97,100,0,0,90,100,100,0,73.7,A
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Me,1434,100,100,97,100,0,0,90,100,100,0,73.7,A
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Acc,1515,100,100,97,100,0,0,90,100,100,0,73.7,A
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,1007,83.9,60,100,100,0,100,0,100,100,100,73.6,A
4408,How Often Should You Replace Cat Toys? A Practical Guide,1004,83.7,60,100,100,0,100,0,100,98,100,73.5,A
5033,How to Choose the Right Cat Toy for Your Cat's Personality,1142,95.2,90,100,100,0,100,0,100,100,0,73.3,A
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,2393,100,100,100,100,0,55,0,76,100,100,73.1,A
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,1703,100,60,100,100,0,70,30,76,88,100,73.0,A
3836,Best Dog Food UK (2026) - Complete Buying Guide,5558,100,75,100,100,100,0,0,60,91,100,73.0,A
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing,1499,100,100,97,100,0,0,90,92,100,0,72.9,A
4789,Best Types of Dog Toys for Different Play Styles,1182,98.5,45,100,100,0,100,0,84,100,100,72.7,A
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Inst,685,57.1,60,97,100,60,100,90,32,100,0,72.5,A
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,3608,100,100,100,100,0,0,90,84,100,0,72.4,A
4790,DIY Dog Toys: Safe Homemade Options,1131,94.2,45,100,100,0,100,0,92,83,100,72.0,A
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cat,1660,100,100,100,100,0,85,0,84,100,0,71.9,A
5508,Puppy Development Stages: A Complete Guide from Birth to Mat,3825,100,100,100,100,0,0,90,76,100,0,71.6,A
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,869,72.4,90,100,100,0,100,0,92,100,50,71.6,A
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Saf",1291,100,45,100,100,60,15,0,100,75,100,70.8,A
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,2076,100,100,100,100,0,0,30,76,100,100,70.6,A
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Gu,2311,100,100,100,100,0,0,30,76,100,100,70.6,A
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Suppo",4473,100,100,49,100,0,100,30,76,100,0,70.5,A
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,1633,100,30,100,100,0,100,0,100,100,50,70.5,A
5425,Dog Toys FAQ: Common Questions Answered,1940,100,30,100,100,0,100,0,100,90,50,70.0,A
5423,Dog Toy Enrichment: Beyond Basic Fetch,1891,100,30,100,100,0,100,0,100,90,50,70.0,A
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,1352,100,100,100,100,0,0,0,100,100,100,70.0,A
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,1524,100,100,100,100,0,0,0,100,100,100,70.0,A
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Option,1432,100,100,100,100,0,0,0,100,100,100,70.0,A
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,1458,100,100,100,100,0,0,0,100,100,100,70.0,A
4314,Best Cat Litter Trays UK (2026) – Complete Guide,1719,100,100,100,100,0,0,0,100,100,100,70.0,A
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,1424,100,100,100,100,0,0,0,100,100,100,70.0,A
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,1406,100,100,100,100,0,0,0,100,100,100,70.0,A
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,1458,100,100,100,100,0,0,0,100,100,100,70.0,A
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,1653,100,100,100,100,0,0,0,100,100,100,70.0,A
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,1452,100,100,100,100,0,0,0,100,100,100,70.0,A
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,1437,100,100,100,100,0,0,0,100,100,100,70.0,A
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,1459,100,100,100,100,0,0,0,100,100,100,70.0,A
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,1420,100,100,100,100,0,0,0,100,100,100,70.0,A
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,1409,100,100,100,100,0,0,0,100,100,100,70.0,A
4188,Best Catnip Toys UK (2026) – What Works and Why,1466,100,100,100,100,0,0,0,100,100,100,70.0,A
4174,Best Cat Toys UK (2026) – Complete Guide,1662,100,100,100,100,0,0,0,100,100,100,70.0,A
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,1484,100,100,100,100,0,0,0,100,100,100,70.0,A
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,1721,100,100,100,100,0,0,0,100,100,100,70.0,A
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,1404,100,100,100,100,0,0,0,100,100,100,70.0,A
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,1409,100,100,100,100,0,0,0,100,100,100,70.0,A
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,1500,100,100,100,100,0,0,0,100,100,100,70.0,A
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,1726,100,100,100,100,0,0,0,100,100,100,70.0,A
5520,"Dog Health Basics: Common Conditions, Prevention, and When t",2975,100,30,97,100,0,100,60,84,50,0,69.6,B
4787,Dog Toy Safety: What Every Owner Needs to Know,1102,91.8,45,100,100,0,100,0,84,53,100,69.3,B
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,2043,100,45,100,100,0,0,60,100,75,100,69.2,B
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,1412,100,100,100,100,0,0,0,84,100,100,68.4,B
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,1390,100,100,100,100,0,0,0,84,100,100,68.4,B
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,1853,100,30,100,100,0,100,0,100,50,50,68.0,B
4791,How to Choose the Right Dog Training Treats,1252,100,100,100,100,0,0,0,76,100,100,67.6,B
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,1335,100,100,100,100,0,0,0,76,100,100,67.6,B
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,1385,100,100,100,100,0,0,0,76,100,100,67.6,B
4785,How to Wash and Maintain Your Dog's Bed,1334,100,100,100,100,0,0,0,76,100,100,67.6,B
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,1407,100,100,100,100,0,0,0,76,100,100,67.6,B
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,1356,100,100,100,100,0,0,0,76,100,100,67.6,B
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,1401,100,100,100,100,0,0,0,76,100,100,67.6,B
4202,Best Cat Beds UK (2026) – Complete Guide,1559,100,100,100,100,0,0,0,76,100,100,67.6,B
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,1481,100,100,100,100,0,0,0,76,100,100,67.6,B
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,1491,100,100,100,100,0,0,0,76,100,100,67.6,B
4125,Best Dog Training Treats UK (2026) – Reward Guide,1456,100,100,100,100,0,0,0,76,100,100,67.6,B
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,1594,100,100,100,100,0,0,0,76,100,100,67.6,B
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guid,1539,100,100,100,100,0,0,0,76,100,100,67.6,B
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,1480,100,100,100,100,0,0,0,76,100,100,67.6,B
4089,Best Dog Health and Care UK (2026) – Complete Guide,1578,100,100,100,100,0,0,0,76,100,100,67.6,B
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,1606,100,100,100,100,0,0,0,76,100,100,67.6,B
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Gu,1585,100,100,100,100,0,0,0,76,100,100,67.6,B
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,1717,100,100,100,100,0,0,0,76,100,100,67.6,B
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Gui,1654,100,100,100,100,0,0,0,76,100,100,67.6,B
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,1715,100,100,100,100,0,0,0,76,100,100,67.6,B
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heav,2161,100,100,100,100,0,0,0,76,100,100,67.6,B
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,1243,100,100,100,100,0,15,0,60,100,100,67.5,B
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,1113,92.8,30,100,100,0,100,0,100,100,0,66.9,B
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,1395,100,100,100,100,0,0,0,68,100,100,66.8,B
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,2108,100,100,100,100,0,85,0,32,100,0,66.7,B
4258,Best Cat Collars UK (2026) – Complete Safety Guide,1380,100,60,100,100,0,0,0,100,98,100,65.9,B
5414,Cat Toy Types Explained: A Complete Glossary,1425,100,100,100,100,0,0,0,100,100,0,65.0,B
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,1266,100,75,100,100,0,0,0,100,100,50,65.0,B
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ide",3669,100,100,61,100,0,0,60,76,100,0,64.7,B
4272,Best Cat ID Tags UK (2026) – Identification Guide,1244,100,60,100,100,0,0,0,92,88,100,64.6,B
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,1252,100,45,100,100,0,0,0,100,85,100,63.8,B
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,1314,100,45,100,100,0,0,0,100,75,100,63.2,B
