post_id,title,slug,outbound_links,inbound_links,link_health
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,best-cat-harnesses-uk,3,0,orphan
4272,Best Cat ID Tags UK (2026) – Identification Guide,best-cat-id-tags-uk,3,0,orphan
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,best-cat-gps-trackers-uk,3,0,orphan
4258,Best Cat Collars UK (2026) – Complete Safety Guide,best-cat-collars-uk,3,0,orphan
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,best-cat-shampoo-uk,3,0,orphan
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,best-cat-nail-clippers-uk,3,0,orphan
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,best-cat-brushes-uk,3,0,orphan
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,best-cat-grooming-supplies-uk,4,0,orphan
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,best-cat-window-perches-uk,0,0,orphan
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,best-cat-radiator-beds-uk,0,0,orphan
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,best-heated-cat-beds-uk,0,0,orphan
4202,Best Cat Beds UK (2026) – Complete Guide,best-cat-beds-uk,0,0,orphan
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,best-cat-toys-indoor-cats-uk,1,0,orphan
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,best-interactive-cat-toys-uk,1,0,orphan
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,best-dog-water-bottles-uk,4,0,orphan
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,best-elevated-dog-bowls-uk,4,0,orphan
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,best-slow-feeder-dog-bowls-uk,3,0,orphan
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,best-dog-bowls-feeding-uk,3,0,orphan
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,best-dog-training-leads-uk,0,0,orphan
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,best-dog-training-behaviour-uk,0,0,orphan
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guid,best-dog-joint-supplements-uk,0,0,orphan
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,best-dog-flea-treatment-uk,0,0,orphan
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,best-dog-dental-care-uk,0,0,orphan
4089,Best Dog Health and Care UK (2026) – Complete Guide,best-dog-health-care-uk,0,0,orphan
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,best-dog-nail-clippers-uk,3,0,orphan
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,best-dog-shampoo-uk,3,0,orphan
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,best-dog-brushes-uk,3,0,orphan
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,best-dog-grooming-supplies-uk,3,0,orphan
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,best-puppy-collars-uk,0,0,orphan
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,best-dog-leads-uk,0,0,orphan
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Gu,best-no-pull-dog-harnesses-uk,0,0,orphan
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,best-dog-collars-and-harnesses-uk,0,0,orphan
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,best-puppy-beds-uk,0,0,orphan
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heav,best-indestructible-dog-toys-uk,0,0,orphan
5950,Dog Toy Durability Guide: What Lasts and What Does Not,dog-toy-durability-guide,5,1,weak
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Acc,dog-toy-storage-organisation,4,1,weak
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistake",safe-tug-play-dogs,0,1,weak
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,dog-toy-safety-breed-size,0,1,weak
5520,"Dog Health Basics: Common Conditions, Prevention, and When t",dog-health-basics-guide,3,1,weak
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ide",pet-enrichment-guide,3,1,weak
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the,dog-bed-sizing-guide,1,1,weak
5508,Puppy Development Stages: A Complete Guide from Birth to Mat,puppy-development-stages-guide,2,1,weak
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Me",pet-feeding-guide,2,1,weak
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Fo,pet-nutrition-terminology-guide,3,1,weak
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How,cat-scratching-behaviour-explained,4,1,weak
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,puppy-safe-dog-toys,6,1,weak
5419,Cat Care Basics: A Glossary for New Cat Owners,cat-care-basics-glossary,2,1,weak
5418,Dog Harness Types Explained: Finding the Right Fit,dog-harness-types-glossary,0,1,weak
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,dog-play-styles-explained,8,1,weak
5414,Cat Toy Types Explained: A Complete Glossary,cat-toy-types-glossary,7,1,weak
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cat,best-indoor-cat-toys,1,1,weak
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,no-pull-dog-harness-guide,2,1,weak
4125,Best Dog Training Treats UK (2026) – Reward Guide,best-dog-training-treats-uk,0,1,weak
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Gui,best-cooling-dog-beds-uk,0,1,weak
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,best-orthopaedic-dog-beds-uk,0,1,weak
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,best-puppy-toys-uk,0,1,weak
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Gu,best-interactive-dog-toys-uk,0,1,weak
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",dog-toy-materials-compared,4,2,healthy
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ide",dog-boredom-prevention,2,2,healthy
5462,Dog Training Terminology Explained: Key Concepts for New Own,dog-training-terminology-explained,2,2,healthy
5425,Dog Toys FAQ: Common Questions Answered,dog-toys-faq,4,2,healthy
5416,Dog Bed Types Explained: A Complete Glossary,dog-bed-types-glossary,0,2,healthy
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,mental-stimulation-for-dogs,1,2,healthy
4783,How to Choose the Right Dog Bed Size,how-to-choose-dog-bed-size,2,2,healthy
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,best-puppy-training-guide-uk,0,2,healthy
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,best-puppy-food-uk,3,2,healthy
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,dry-vs-wet-dog-food-uk,3,2,healthy
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,best-dry-dog-food-uk,3,2,healthy
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Sp,crate-play-enrichment-dogs,0,3,healthy
5523,"Dog Training Equipment Explained: Tools, Uses, and What to A",dog-training-equipment-guide,3,3,healthy
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Suppo",orthopaedic-care-dogs,2,3,healthy
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,pet-health-terminology-guide,4,3,healthy
5512,Dog Behaviour Explained: Understanding Your Dog's Body Langu,dog-behaviour-explained,3,3,healthy
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,senior-dog-toys,2,3,healthy
5464,Pet Grooming Glossary: Understanding Grooming Terms and Tech,pet-grooming-glossary,0,3,healthy
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,indoor-vs-outdoor-dog-toys,4,3,healthy
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,puppy-care-essentials-glossary,0,3,healthy
4791,How to Choose the Right Dog Training Treats,how-to-choose-dog-training-treats,2,3,healthy
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,multi-pet-household-tips,0,3,healthy
4415,Cat Toy Safety Guide: What Every Owner Should Know,cat-toy-safety-guide,8,3,healthy
4414,Harness vs Collar: Which Is Better for Your Dog?,harness-vs-collar-which-is-better,5,3,healthy
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,how-to-measure-dog-for-harness,5,3,healthy
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Saf",dog-harnesses-complete-guide,5,3,healthy
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,cat-enrichment-activities-beyond-toys,7,3,healthy
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,kitten-vs-adult-cat-toys-age-appropriate,6,3,healthy
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,diy-cat-toys-safe-homemade-options,4,3,healthy
3836,Best Dog Food UK (2026) - Complete Buying Guide,best-dog-food-uk,0,3,healthy
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,essential-cat-supplies-for-cat-owners,0,3,healthy
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,top-dog-toys-every-pet-owner-needs-in-2026,0,3,healthy
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing,cognitive-enrichment-senior-dogs,4,4,healthy
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your D,scent-game-enrichment-dogs,0,4,healthy
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too ,dog-toy-overstimulation-signs,0,4,healthy
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happ,indoor-cat-care-guide,5,4,healthy
4408,How Often Should You Replace Cat Toys? A Practical Guide,how-often-replace-cat-toys,5,4,healthy
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,best-dog-beds-uk,0,4,healthy
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Me,enrichment-schedules-dogs,5,6,strong
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,aggressive-chewer-dog-toys,4,6,strong
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,best-interactive-cat-toys-indoor-cats,9,6,strong
4188,Best Catnip Toys UK (2026) – What Works and Why,best-catnip-toys-uk,6,6,strong
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend The,dog-toy-lifespan-replacement,4,7,strong
5036,Understanding Cat Play Behaviour: What Different Play Styles,understanding-cat-play-behaviour,7,7,strong
5032,Cat Toys FAQ: Common Questions Answered,cat-toys-faq,7,7,strong
4568,Dog Dental Health: A Practical Care Guide,dog-dental-health-care-guide,2,7,strong
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,seasonal-dog-care-guide,0,7,strong
4563,Dog Grooming Basics: A Complete Guide for Owners,dog-grooming-basics-guide,1,7,strong
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,dog-toy-cleaning-guide,5,8,strong
5033,How to Choose the Right Cat Toy for Your Cat's Personality,how-to-choose-cat-toys-personality,7,8,strong
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain ",mental-stimulation-toys-dogs,4,9,strong
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engage,dog-toy-rotation-guide,3,9,strong
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,cat-toy-rotation-guide,7,9,strong
4790,DIY Dog Toys: Safe Homemade Options,diy-dog-toys-homemade,3,9,strong
5423,Dog Toy Enrichment: Beyond Basic Fetch,dog-toy-enrichment-beyond-fetch,5,10,strong
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,cat-enrichment-beyond-toys,7,11,strong
4789,Best Types of Dog Toys for Different Play Styles,dog-toys-for-different-play-styles,2,11,strong
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standa",pet-toy-safety-guide,3,12,strong
4174,Best Cat Toys UK (2026) – Complete Guide,best-cat-toys-uk,5,12,strong
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,best-dog-toys-uk,1,12,strong
4787,Dog Toy Safety: What Every Owner Needs to Know,dog-toy-safety-guide,2,14,strong
4573,Seasonal Pet Safety: Protecting Pets Through the Year,seasonal-pet-safety-guide,2,24,strong
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,pet-hydration-guide,1,24,strong
4571,Pet First Aid Basics: What Every Owner Should Know,pet-first-aid-basics,0,24,strong
