post_id,title,cluster,trust_complete,has_faq,has_glossary,has_comparison,has_practical,has_external_ref,has_related,has_checklist,internal_links,external_refs,glossary_terms,word_count,heading_count
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Harnesses,1,1,1,0,0,0,1,0,6,0,8,1395,17
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,1,1,1,0,0,0,1,0,10,0,8,1726,20
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Other,1,1,1,0,0,0,1,0,10,0,8,1500,18
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Other,1,1,1,0,0,0,1,0,10,0,8,1409,20
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Other,1,1,1,0,0,0,1,0,10,0,8,1404,17
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,1,1,1,0,0,0,1,0,7,0,8,1578,19
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,1,1,1,0,0,0,1,0,7,0,8,1480,18
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,1,1,1,0,1,0,1,1,7,0,8,1352,3
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guid,Dog Health,1,1,1,0,0,0,1,0,7,0,8,1539,20
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Educational,1,1,1,0,0,0,1,0,7,0,8,1594,20
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Supplies,1,1,1,0,0,0,1,0,7,0,8,1456,18
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Puppy Care,1,1,1,0,0,0,1,0,7,0,8,1491,19
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Harnesses,1,1,1,0,0,0,1,0,7,0,8,1481,18
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,1,1,1,0,0,0,1,0,10,0,8,1721,21
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,1,1,1,0,0,0,1,0,10,0,8,1484,19
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,1,0,1,0,0,0,1,0,16,0,8,1314,1
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Other,1,0,1,0,0,0,1,0,16,0,8,1252,1
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,1,1,1,0,0,0,1,0,12,0,8,1662,18
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,1,1,1,0,0,0,1,0,8,0,8,1390,16
4188,Best Catnip Toys UK (2026) – What Works and Why,Other,1,1,1,0,0,0,1,0,13,0,8,1466,16
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,1,1,1,0,0,0,1,0,8,0,8,1412,17
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,1,1,1,0,0,0,1,0,7,0,8,1559,18
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,1,1,1,0,0,0,1,0,7,0,8,1401,16
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,1,1,1,0,0,0,1,0,7,0,8,1356,16
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,1,1,1,0,0,0,1,0,7,0,8,1407,16
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Dog Care,1,0,1,0,1,0,1,1,16,0,8,1364,2
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,1,1,1,0,0,0,1,0,10,0,8,1409,17
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,1,1,1,0,0,0,1,0,10,0,8,1420,17
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,1,1,1,0,0,0,1,0,10,0,8,1459,18
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,1,0,1,0,0,0,1,0,10,0,8,1380,2
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,1,1,1,0,0,0,1,0,10,0,8,1437,17
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,1,0,1,0,0,0,1,0,9,0,8,1244,2
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,1,1,1,0,0,0,1,0,10,0,8,1452,17
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,1,1,1,0,0,0,1,0,10,0,8,1653,19
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,1,1,1,0,0,0,1,0,10,0,8,1458,18
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,1,1,1,0,0,0,1,0,10,0,8,1406,18
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,1,1,1,0,0,0,1,0,10,0,8,1424,18
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,1,1,1,0,0,0,1,0,10,0,8,1719,20
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Cat Supplies,1,1,1,0,0,0,1,0,10,0,8,1458,18
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Option,Other,1,1,1,0,0,0,1,0,10,0,8,1432,18
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,1,1,1,0,0,0,1,0,10,0,8,1524,18
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,1,1,1,0,0,0,1,0,16,0,13,1352,15
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,1,1,1,1,1,0,1,1,10,0,13,1410,16
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,1,0,1,0,1,0,1,1,14,0,14,1004,2
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,1,1,1,1,1,0,1,1,15,0,21,1177,3
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Supplies,1,1,1,1,1,0,1,1,16,0,12,1212,3
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Saf",Dog Harnesses,1,0,1,1,0,0,1,0,15,0,16,1291,1
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,1,0,1,0,1,0,1,1,12,0,12,1007,2
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,1,0,1,0,1,0,1,1,15,0,9,1059,2
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,1,0,1,1,1,0,1,1,15,0,10,1053,2
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,1,1,1,1,1,0,1,1,17,0,13,1200,3
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,1,0,1,0,1,0,1,1,11,0,8,1132,2
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,1,1,1,1,1,0,0,1,5,0,16,1438,12
4568,Dog Dental Health: A Practical Care Guide,Dog Care,1,0,1,0,1,1,1,1,12,2,15,1181,2
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,1,1,1,1,0,0,1,0,6,0,25,1430,14
4571,Pet First Aid Basics: What Every Owner Should Know,Pet Care General,1,1,1,0,1,0,1,1,10,0,8,1257,12
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care General,1,1,1,0,1,0,1,1,7,0,8,1197,12
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Pet Care General,1,1,1,0,1,0,1,1,6,0,8,1248,12
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care General,1,1,1,0,0,0,1,0,5,0,8,1243,12
4783,How to Choose the Right Dog Bed Size,Dog Beds,1,1,1,0,1,0,1,1,8,0,8,1323,16
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,1,1,1,1,0,0,1,0,8,0,8,1441,17
4785,How to Wash and Maintain Your Dog's Bed,Dog Beds,1,1,1,0,0,0,1,0,7,0,8,1334,15
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Other,1,1,1,0,0,0,1,0,7,0,8,1385,15
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,1,0,1,0,1,0,1,1,8,0,8,1102,1
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Other,1,1,1,0,0,0,1,0,7,0,8,1335,15
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,1,1,1,0,1,0,1,1,8,0,8,1182,1
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,1,0,1,0,1,0,1,1,9,0,8,1131,1
4791,How to Choose the Right Dog Training Treats,Dog Supplies,1,1,1,0,0,0,1,0,7,0,8,1252,15
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,1,1,1,0,0,1,1,0,8,2,8,1503,17
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,1,1,1,0,1,0,1,1,11,0,8,1474,13
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,1,1,1,0,1,0,1,1,11,0,8,1142,11
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,1,1,1,0,1,0,1,1,11,0,8,1793,14
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Supplies,1,1,1,1,1,0,1,1,11,0,8,2106,16
5036,Understanding Cat Play Behaviour: What Different Play Styles,Cat Toys,1,1,1,1,1,0,1,1,11,0,8,1158,12
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cat,Cat Toys,1,1,1,0,1,0,1,1,8,0,8,1660,18
5414,Cat Toy Types Explained: A Complete Glossary,Cat Toys,1,1,1,0,0,0,1,0,11,0,8,1425,27
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Educational,1,0,1,0,1,0,1,1,12,0,8,1113,0
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,1,1,1,1,1,0,0,1,4,0,8,2179,21
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,1,1,1,0,1,0,0,1,4,0,8,2108,20
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,1,1,1,1,1,0,0,1,4,0,8,2301,21
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,1,1,1,0,1,0,1,1,6,0,9,2362,21
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,1,1,1,1,1,0,1,1,10,0,8,1877,0
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,1,0,1,0,1,0,1,1,11,0,8,1633,0
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,1,0,1,1,1,0,1,1,10,0,8,1588,0
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,1,0,1,0,1,0,1,1,12,0,8,1891,0
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,1,0,1,0,1,0,1,1,11,0,8,1853,0
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,1,1,1,0,1,0,1,1,12,0,8,1940,0
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How,Cat Supplies,1,1,1,1,1,1,1,1,8,2,3,2996,34
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Fo,Pet Care General,1,1,1,0,1,1,1,1,7,2,3,2741,29
5462,Dog Training Terminology Explained: Key Concepts for New Own,Educational,1,1,1,0,1,1,1,1,7,3,4,2937,36
5464,Pet Grooming Glossary: Understanding Grooming Terms and Tech,Dog Care,1,1,1,0,1,1,0,1,4,3,4,3269,36
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Me",Pet Care General,1,1,1,1,1,1,1,1,6,2,3,3365,32
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engage,Dog Toys,1,1,1,1,1,1,1,0,7,3,18,3145,31
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ide",Educational,1,1,1,0,1,1,1,1,6,3,8,3278,30
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,1,1,1,0,1,1,1,1,6,3,22,3200,24
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain ",Dog Toys,1,1,1,1,0,1,1,0,10,3,17,3255,30
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend The,Dog Toys,1,1,1,0,1,1,1,1,9,3,19,3485,36
5508,Puppy Development Stages: A Complete Guide from Birth to Mat,Puppy Care,1,1,1,0,0,1,1,0,7,3,18,3825,39
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standa",Pet Care General,1,1,1,1,1,1,1,1,7,2,8,3791,35
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the,Dog Beds,1,1,1,1,1,1,1,1,7,2,0,4167,36
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ide",Pet Care General,1,1,1,0,0,1,1,0,7,2,3,3669,43
5512,Dog Behaviour Explained: Understanding Your Dog's Body Langu,Educational,1,1,1,0,1,1,1,1,7,3,3,3334,40
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happ,Cat Supplies,1,1,1,0,1,1,1,1,9,2,3,3738,38
5520,"Dog Health Basics: Common Conditions, Prevention, and When t",Dog Health,1,0,1,0,1,1,1,1,8,2,6,2975,0
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Pet Care General,1,1,1,0,0,1,1,0,8,3,19,3608,44
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Suppo",Other,1,1,1,0,1,1,1,1,7,1,2,4473,29
5523,"Dog Training Equipment Explained: Tools, Uses, and What to A",Educational,1,1,1,1,1,1,1,1,7,3,3,3382,40
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,1,1,1,0,1,1,1,1,4,3,6,1279,18
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too ,Dog Toys,1,1,1,0,1,1,1,1,4,3,14,1295,16
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your D,Educational,1,1,1,0,1,1,1,1,4,3,6,1236,18
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistake",Other,1,1,1,0,1,1,1,1,5,3,11,1260,16
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Sp,Educational,1,1,1,0,1,1,1,1,4,3,6,1289,18
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Acc,Dog Toys,1,1,1,0,0,1,1,0,11,3,6,1515,19
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Me,Educational,1,1,1,0,0,1,1,0,12,3,6,1434,19
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing,Educational,1,1,1,0,0,1,1,0,9,3,6,1499,17
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,1,1,1,0,0,1,1,0,11,3,6,1700,24
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,1,1,1,0,0,1,1,0,13,3,6,1694,20
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,1,1,1,1,1,1,1,1,9,3,6,1375,15
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Inst,Educational,1,1,1,1,1,1,0,1,4,3,6,685,7
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart ,Other,1,1,1,1,1,1,1,1,9,3,6,1400,16
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,1,1,1,1,1,1,1,1,9,3,6,1316,15
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,1,1,1,1,1,1,1,1,9,3,6,1389,15
6047,Play Recovery After Surgery: Gentle Enrichment for Healing D,Educational,1,1,1,1,1,1,1,1,9,3,6,1411,15
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Throu,Dog Toys,1,1,1,1,1,1,1,0,9,3,6,1302,14
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Throug,Educational,1,1,1,1,1,1,1,1,9,3,6,1394,15
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Do,Dog Toys,1,1,1,1,1,1,1,0,9,3,6,1319,14
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Li,Educational,1,1,1,1,1,1,1,0,9,3,6,1319,14
