# generated_at: 2026-05-27 21:20:33 UTC
# source_server: 167.99.198.145
# generated_by: execute_ai_visibility.py
# data_source_label: live_wordpress_api
post_id,title,slug,readiness_before,readiness_after,improvements_applied,faq_added,summary_added,entity_improved,status,skip_reason
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,best-cat-shampoo-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,best-cat-nail-clippers-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,best-cat-brushes-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,best-cat-grooming-supplies-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,best-cat-window-perches-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,best-cat-radiator-beds-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,best-heated-cat-beds-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4202,Best Cat Beds UK (2026) – Complete Guide,best-cat-beds-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,best-cat-toys-indoor-cats-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4188,Best Catnip Toys UK (2026) – What Works and Why,best-catnip-toys-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,best-interactive-cat-toys-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4174,Best Cat Toys UK (2026) – Complete Guide,best-cat-toys-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,best-dog-water-bottles-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,best-elevated-dog-bowls-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,best-slow-feeder-dog-bowls-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,best-dog-bowls-feeding-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,best-dog-training-leads-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,best-puppy-training-guide-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4125,Best Dog Training Treats UK (2026) – Reward Guide,best-dog-training-treats-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,best-dog-training-behaviour-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,best-dog-joint-supplements-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,best-dog-flea-treatment-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,best-dog-dental-care-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4089,Best Dog Health and Care UK (2026) – Complete Guide,best-dog-health-care-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,best-dog-nail-clippers-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,best-dog-shampoo-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,best-dog-brushes-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,best-dog-grooming-supplies-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,best-puppy-collars-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,best-dog-leads-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,best-no-pull-dog-harnesses-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,best-dog-collars-and-harnesses-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,best-puppy-beds-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,best-cooling-dog-beds-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,best-orthopaedic-dog-beds-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,best-dog-beds-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,best-puppy-toys-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,best-interactive-dog-toys-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,best-indestructible-dog-toys-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,best-dog-toys-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,best-puppy-food-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,dry-vs-wet-dog-food-uk,HIGH,HIGH,,no,no,no,skipped,readiness=HIGH (not MEDIUM)
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,best-dry-dog-food-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
3836,Best Dog Food UK (2026) – Complete Buying Guide,best-dog-food-uk,MEDIUM,HIGH,quick_summary,no,yes,no,updated,
696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,essential-cat-supplies-for-cat-owners,LOW,LOW,,no,no,no,skipped,readiness=LOW (not MEDIUM)
3,Top Dog Toys Every Pet Owner Needs in 2026,top-dog-toys-every-pet-owner-needs-in-2026,LOW,LOW,,no,no,no,skipped,readiness=LOW (not MEDIUM)
