# generated_at: 2026-05-27T20:48:03Z
# source_server: 167.99.198.145
# git_commit: 078d7e2
# generated_by: Phase10B_Authority_Expansion_Generator
# data_source_label: live_wordpress_api + live_sitemap + live_site_crawl
# total_posts: 58
# in_sitemap: 58
# missing: 0
# sitemap_health: HEALTHY
# clusters_tracked: 15
# approval_status: GREEN_auto
# next_action: continue_monitoring_6h_interval
post_id,slug,title,url,cluster,categories,in_sitemap,published_date,last_modified,days_since_publish,indexing_status,crawl_priority,orphan_risk,approval_status,next_action
4265,best-cat-gps-trackers-uk,Best Cat GPS Trackers UK (2026) – Location Trackin,https://pethubonline.com/best-cat-gps-trackers-uk,other,Cat Supplies; Pet Care; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4258,best-cat-collars-uk,Best Cat Collars UK (2026) – Complete Safety Guide,https://pethubonline.com/best-cat-collars-uk,cat_collars,Cat Supplies; Pet Care; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4251,best-cat-shampoo-uk,Best Cat Shampoo UK (2026) – When &#038; How to Ba,https://pethubonline.com/best-cat-shampoo-uk,other,Cat Supplies; Pet Care; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4244,best-cat-nail-clippers-uk,Best Cat Nail Clippers UK (2026) – Safe Trimming G,https://pethubonline.com/best-cat-nail-clippers-uk,other,Cat Supplies; Pet Care; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4237,best-cat-brushes-uk,Best Cat Brushes UK (2026) – Guide by Coat Type,https://pethubonline.com/best-cat-brushes-uk,other,Cat Supplies; Pet Care; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4230,best-cat-grooming-supplies-uk,Best Cat Grooming Supplies UK (2026) – Complete Gu,https://pethubonline.com/best-cat-grooming-supplies-uk,cat_grooming,Cat Supplies; Pet Care; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4223,best-cat-window-perches-uk,Best Cat Window Perches UK (2026) – Sunning &#038;,https://pethubonline.com/best-cat-window-perches-uk,cat_beds,Cat Supplies; Pet Beds; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4216,best-cat-radiator-beds-uk,Best Cat Radiator Beds UK (2026) – Hook-On Warmth ,https://pethubonline.com/best-cat-radiator-beds-uk,cat_beds,Cat Supplies; Pet Beds; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4209,best-heated-cat-beds-uk,Best Heated Cat Beds UK (2026) – Winter Warmth Gui,https://pethubonline.com/best-heated-cat-beds-uk,cat_beds,Cat Supplies; Pet Beds; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4202,best-cat-beds-uk,Best Cat Beds UK (2026) – Complete Guide,https://pethubonline.com/best-cat-beds-uk,cat_beds,Cat Supplies; Pet Beds; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4195,best-cat-toys-indoor-cats-uk,Best Cat Toys for Indoor Cats UK (2026) – Enrichme,https://pethubonline.com/best-cat-toys-indoor-cats-uk,cat_toys,Cat Supplies; Cat Toys; Indoor Cats,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4188,best-catnip-toys-uk,Best Catnip Toys UK (2026) – What Works and Why,https://pethubonline.com/best-catnip-toys-uk,cat_toys,Cat Supplies; Cat Toys; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4181,best-interactive-cat-toys-uk,Best Interactive Cat Toys UK (2026) – Wand &#038; ,https://pethubonline.com/best-interactive-cat-toys-uk,cat_toys,Cat Supplies; Cat Toys; Interactive Toys,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4174,best-cat-toys-uk,Best Cat Toys UK (2026) – Complete Guide,https://pethubonline.com/best-cat-toys-uk,cat_toys,Cat Supplies; Cat Toys; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4167,best-dog-water-bottles-uk,Best Dog Water Bottles UK (2026) – Travel Hydratio,https://pethubonline.com/best-dog-water-bottles-uk,other,Dog Supplies; Pet Care; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4160,best-elevated-dog-bowls-uk,Best Elevated Dog Bowls UK (2026) – Raised Feeder ,https://pethubonline.com/best-elevated-dog-bowls-uk,dog_bowls,Dog Supplies; Pet Care; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4153,best-slow-feeder-dog-bowls-uk,Best Slow Feeder Dog Bowls UK (2026) – Prevent Spe,https://pethubonline.com/best-slow-feeder-dog-bowls-uk,dog_bowls,Dog Supplies; Pet Care; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4146,best-dog-bowls-feeding-uk,Best Dog Bowls and Feeding UK (2026) – Complete Gu,https://pethubonline.com/best-dog-bowls-feeding-uk,dog_bowls,Dog Supplies; Pet Care; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4139,best-dog-training-leads-uk,Best Dog Training Leads UK (2026) – Long Lines &#0,https://pethubonline.com/best-dog-training-leads-uk,dog_training,Dog Supplies; Product Reviews; Training Supplies,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4132,best-puppy-training-guide-uk,Best Puppy Training Guide UK (2026) – First Year E,https://pethubonline.com/best-puppy-training-guide-uk,dog_training,Dog Supplies; Puppy Care; Training Supplies,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4125,best-dog-training-treats-uk,Best Dog Training Treats UK (2026) – Reward Guide,https://pethubonline.com/best-dog-training-treats-uk,dog_training,Buying Guides; Dog Supplies; Training Supplies,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4118,best-dog-training-behaviour-uk,Best Dog Training and Behaviour UK (2026) – Comple,https://pethubonline.com/best-dog-training-behaviour-uk,dog_training,Buying Guides; Dog Supplies; Training Supplies,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4110,best-dog-joint-supplements-uk,Best Dog Joint Supplements UK (2026) – Mobility Su,https://pethubonline.com/best-dog-joint-supplements-uk,dog_health,Dog Health; Dog Supplies; Orthopaedic Care,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4103,best-dog-flea-treatment-uk,Best Dog Flea Treatment UK (2026) – Prevention Gui,https://pethubonline.com/best-dog-flea-treatment-uk,dog_health,Dog Health; Dog Supplies; Pet Health,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4096,best-dog-dental-care-uk,Best Dog Dental Care UK (2026) – Teeth Cleaning Gu,https://pethubonline.com/best-dog-dental-care-uk,dog_health,Dog Health; Dog Supplies; Pet Health,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4089,best-dog-health-care-uk,Best Dog Health and Care UK (2026) – Complete Guid,https://pethubonline.com/best-dog-health-care-uk,dog_health,Dog Health; Dog Supplies; Pet Health,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4078,best-dog-nail-clippers-uk,Best Dog Nail Clippers UK (2026) – Trimming &#038;,https://pethubonline.com/best-dog-nail-clippers-uk,other,Dog Care; Dog Supplies; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4071,best-dog-shampoo-uk,Best Dog Shampoo UK (2026) – Ingredients &#038; Sa,https://pethubonline.com/best-dog-shampoo-uk,other,Dog Care; Dog Supplies; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4064,best-dog-brushes-uk,Best Dog Brushes UK (2026) – Guide by Coat Type,https://pethubonline.com/best-dog-brushes-uk,other,Dog Care; Dog Supplies; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4057,best-dog-grooming-supplies-uk,Best Dog Grooming Supplies UK (2026) – Complete Gu,https://pethubonline.com/best-dog-grooming-supplies-uk,dog_grooming,Dog Care; Dog Supplies; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4049,best-puppy-collars-uk,Best Puppy Collars UK (2026) – First Collar &#038;,https://pethubonline.com/best-puppy-collars-uk,dog_collars,Dog Supplies; Product Reviews; Puppy Care,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4042,best-dog-leads-uk,Best Dog Leads UK (2026) – Walking &#038; Training,https://pethubonline.com/best-dog-leads-uk,dog_training,Dog Supplies; Product Reviews; Training Supplies,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4034,best-no-pull-dog-harnesses-uk,Best No-Pull Dog Harnesses UK (2026) – Training &#,https://pethubonline.com/best-no-pull-dog-harnesses-uk,dog_training,Dog Harnesses; Dog Supplies; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4027,best-dog-collars-and-harnesses-uk,Best Dog Collars and Harnesses UK (2026) – Complet,https://pethubonline.com/best-dog-collars-and-harnesses-uk,dog_collars,Dog Harnesses; Dog Supplies; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4018,best-puppy-beds-uk,Best Puppy Beds UK (2026) – First Bed &#038; Crate,https://pethubonline.com/best-puppy-beds-uk,dog_beds,Dog Beds; Dog Supplies; Puppy Care,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4011,best-cooling-dog-beds-uk,Best Cooling Dog Beds UK (2026) – Temperature Regu,https://pethubonline.com/best-cooling-dog-beds-uk,dog_beds,Dog Beds; Dog Supplies; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
4004,best-orthopaedic-dog-beds-uk,Best Orthopaedic Dog Beds UK (2026) – Joint Suppor,https://pethubonline.com/best-orthopaedic-dog-beds-uk,dog_beds,Dog Beds; Dog Supplies; Orthopaedic Care,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
3996,best-dog-beds-uk,Best Dog Beds UK (2026) – Complete Guide &#038; Ho,https://pethubonline.com/best-dog-beds-uk,dog_beds,Dog Beds; Dog Supplies; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
3960,best-puppy-toys-uk,Best Puppy Toys UK (2026) – Teething &#038; First ,https://pethubonline.com/best-puppy-toys-uk,dog_toys,Dog Supplies; Dog Toys; Puppy Care,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
3959,best-interactive-dog-toys-uk,Best Interactive Dog Toys UK (2026) – Puzzle &#038,https://pethubonline.com/best-interactive-dog-toys-uk,dog_toys,Dog Supplies; Dog Toys; Interactive Toys,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
3957,best-indestructible-dog-toys-uk,Best Indestructible Dog Toys UK (2026) – Tough Toy,https://pethubonline.com/best-indestructible-dog-toys-uk,dog_toys,Dog Supplies; Dog Toys; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
3956,best-dog-toys-uk,Best Dog Toys UK (2026) – Complete Guide &#038; Ho,https://pethubonline.com/best-dog-toys-uk,dog_toys,Dog Supplies; Dog Toys; Product Reviews,yes,2026-05-27,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
3839,best-puppy-food-uk,Best Puppy Food UK (2026) &#8211; Growth-Stage Nut,https://pethubonline.com/best-puppy-food-uk,dog_food,Dog Food; Dog Supplies; Puppy Care,yes,2026-05-26,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
3838,dry-vs-wet-dog-food-uk,Dry vs Wet Dog Food UK &#8211; An Honest Compariso,https://pethubonline.com/dry-vs-wet-dog-food-uk,dog_food,Dog Food; Dog Supplies; Product Reviews,yes,2026-05-26,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
3837,best-dry-dog-food-uk,Best Dry Dog Food UK (2026) &#8211; Evidence-Based,https://pethubonline.com/best-dry-dog-food-uk,dog_food,Dog Food; Dog Supplies; Product Reviews,yes,2026-05-26,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
3836,best-dog-food-uk,Best Dog Food UK (2026) &#8211; Complete Buying Gu,https://pethubonline.com/best-dog-food-uk,dog_food,Dog Food; Dog Supplies; Product Reviews,yes,2026-05-26,2026-05-27,0,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
696,essential-cat-supplies-for-cat-owners,Essential Cat Supplies for Cat Owners &#8211; Numb,https://pethubonline.com/essential-cat-supplies-for-cat-owners,other,Buying Guides; Cat Supplies,yes,2026-04-27,2026-05-27,30,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
3,top-dog-toys-every-pet-owner-needs-in-2026,Top Dog Toys Every Pet Owner Needs in 2026,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026,dog_toys,Dog Supplies; Product Reviews,yes,2026-04-23,2026-05-27,34,confirmed_in_sitemap,normal,low,GREEN_auto,monitor
