# generated_at: 2026-05-27T21:23:38Z
# source_server: 167.99.198.145
# generated_by: Phase10B_Dog_Food_Evidence_Collection
# data_source_label: evidence_pipeline_candidates
# approval_status: evidence_collection_in_progress
# next_action: source_gathering
# total_candidates: 25
# evidence_blocked: ALL products blocked pending verification
# pipeline: not_started -> candidate_identified -> source_collected -> evidence_extracted -> evidence_verified -> owner_approved -> approved_for_draft_use -> approved_for_live_use
#
product_id,brand_name,product_name,product_type,target_audience,evidence_status,manufacturer_url,fediaf_compliance,uk_availability,price_range,protein_source_primary,grain_status,source_count,freshness_check_date,confidence_score,evidence_blocked,blocked_reason,next_action
P016,Naturo,Naturo Adult Chicken with Rice,wet,adult,candidate_identified,pending_collection,pending_verification,available,budget,chicken,grain-inclusive,0,,0.0,yes,evidence_not_verified,Collect wet food nutritional analysis and preservative-free claims evidence
P017,Symply,Symply Adult Lamb with Rice,dry,adult,candidate_identified,pending_collection,pending_verification,available,premium,lamb,grain-inclusive,0,,0.0,yes,evidence_not_verified,Collect single-protein source evidence and UK-sourced ingredient data
P018,Orijen,Orijen Original,dry,adult,candidate_identified,pending_collection,pending_verification,available,super-premium,mixed,grain-free,0,,0.0,yes,evidence_not_verified,Collect biologically appropriate claims evidence and WholePrey ratio data
P019,Acana,Acana Grass-Fed Lamb,dry,adult,candidate_identified,pending_collection,pending_verification,available,super-premium,lamb,grain-free,0,,0.0,yes,evidence_not_verified,Collect grass-fed sourcing evidence and limited ingredient claims data
P020,Harringtons,Harringtons Grain Free Turkey & Sweet Potato,dry,adult,candidate_identified,pending_collection,pending_verification,available,budget,chicken,grain-free,0,,0.0,yes,evidence_not_verified,Collect grain-free budget formulation evidence and sweet potato nutritional data
P021,Burns Pet Nutrition,Burns Free From Duck & Potato,dry,adult,candidate_identified,pending_collection,pending_verification,available,mid-range,mixed,grain-free,0,,0.0,yes,evidence_not_verified,Collect hypoallergenic free-from claims evidence and novel protein data
P022,Canagan,Canagan Scottish Salmon,dry,all_ages,candidate_identified,pending_collection,pending_verification,available,super-premium,fish,grain-free,0,,0.0,yes,evidence_not_verified,Collect omega-3 content evidence and Scottish sourcing verification data
P023,Arden Grange,Arden Grange Sensitive Ocean White Fish & Potato,dry,adult,candidate_identified,pending_collection,pending_verification,available,premium,fish,grain-free,0,,0.0,yes,evidence_not_verified,Collect sensitive skin/stomach claims evidence and fish sourcing data
P024,Burgess,Burgess Puppy Rich in Chicken,dry,puppy,candidate_identified,pending_collection,pending_verification,available,mid-range,chicken,grain-inclusive,0,,0.0,yes,evidence_not_verified,Collect puppy growth formulation evidence and DHA content data
P025,Pooch & Mutt,Pooch & Mutt Calm & Relaxed,dry,adult,candidate_identified,pending_collection,pending_verification,available,premium,chicken,grain-free,0,,0.0,yes,evidence_not_verified,"Collect calming functional ingredient claims evidence (L-tryptophan, chamomile)"
