post_id,title,old_category,new_category,new_category_id,status,verified,confidence,reasoning
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,Training Supplies,1474,publish,yes,high,Dog training content fits Training Supplies
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,Dog Health,1450,publish,yes,high,Title relates to dog health/orthopaedic/mobility topics
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,Pet Health,1391,publish,yes,high,Pet health terminology/content
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,Dog Health,1450,publish,yes,high,Title relates to dog health/orthopaedic/mobility topics
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,Indoor Cats,1413,publish,yes,high,Title explicitly about indoor cats
5512,Dog Behaviour Explained: Understanding Your Dog&#8217;s Body Language and Actions,Uncategorized,Dog Care,1489,publish,yes,high,Dog behaviour content fits Dog Care
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,Dog Toys,1441,publish,yes,high,Dog enrichment content focused on toys and play
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,Dog Beds,1401,publish,yes,high,Title explicitly about dog beds
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,Puppy Care,1442,publish,yes,high,Title explicitly about puppies
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,Dog Food,1467,publish,yes,medium,Feeding guide content fits Dog Food category
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,Pet Care,1397,publish,yes,medium,Pet grooming fits general Pet Care
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,Training Supplies,1474,publish,yes,high,Dog training content fits Training Supplies
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,Dog Food,1467,publish,yes,high,Title explicitly about dog food/nutrition
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,Cat Supplies,1377,publish,yes,high,Cat scratching behaviour relates to cat supplies (scratching posts)
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,Dog Toys,1441,publish,yes,high,Title directly relates to dog toys/play/enrichment activities
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,Cat Toys,1459,publish,yes,high,Title explicitly mentions cat toys
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,Cat Toys,1459,publish,yes,high,Title explicitly mentions cat toys
