target_domain,domain_type,tier,outreach_angle,target_page_type,relevance_score,difficulty,priority,notes
ed.ac.uk/vet,University Veterinary School,2,Reference Edinburgh vet school research on canine genetics or feline medicine; offer data visualisation partnership,Research Pages / News,9,Very High,15,University of Edinburgh Vet School; strong research output; public-facing content team active
vet.cam.ac.uk,University Veterinary School,2,Cite Cambridge veterinary research in nutrition or orthopaedics articles; offer infographic collaboration,Department Pages / Outreach,9,Very High,16,Cambridge Veterinary School; exceptional authority; selective but public engagement mandate creates opportunities
nottingham.ac.uk/vet,University Veterinary School,2,Reference Nottingham vet school companion animal research; offer accessible content partnership,Research / Community Pages,8,High,17,University of Nottingham School of Veterinary Medicine; active research in companion animal welfare
battersea.org.uk,Animal Rescue Centre,2,Collaborate on adoption preparation content; offer complementary guides on settling rescue dogs or cats into new homes,Blog / Advice Section,9,Medium-High,18,Battersea Dogs and Cats Home; iconic UK rescue; active blog with external resource links
woodgreen.org.uk,Animal Rescue Centre,2,Partner on pet enrichment content for adopted animals; offer toy recommendation guides for rescue pets,Advice / Blog,8,Medium,19,Woodgreen Pets Charity; publishes regular advice content; receptive to quality external resources
mayhewanimalhome.org,Animal Rescue Centre,2,Offer content on preparing homes for rescue animals; provide guides on essential supplies for new pet owners,Blog / Resources,8,Medium,20,Mayhew Animal Home; London-based; active content programme with community focus
pfma.org.uk,Pet Industry Association,2,Cite PFMA pet population and feeding data in nutrition articles; offer consumer-facing data summaries,Statistics / Resources,9,High,21,Pet Food Manufacturers Association; authoritative UK pet statistics source; data citations earn natural links
bsava.com,Veterinary Association,2,Offer consumer-accessible summaries of BSAVA clinical guidance; provide pet owner education resources,Resources / Pet Owner Info,9,High,22,British Small Animal Veterinary Association; clinical authority; pet owner section links to quality resources
spcascotland.org,Animal Welfare Charity,2,Collaborate on Scottish pet welfare content; offer region-specific pet care guides,Advice / Blog,8,Medium,23,Scottish SPCA; Scotland's leading animal welfare charity; active advice section
dogforums.co.uk,Pet Community Forum,2,Provide expert answers to common questions; offer detailed guides that forum moderators can reference,Resource Threads / Stickied Posts,7,Medium,24,Established UK dog forum; moderators curate quality resources; organic community engagement builds natural links
petforums.co.uk,Pet Community Forum,2,Contribute expert content to health and nutrition discussions; offer comprehensive guides as community resources,Resource Sections / Guides,7,Medium,25,Largest UK pet forum; active moderation team; quality resources get pinned and referenced repeatedly
thecatsite.com,Cat Community Forum,2,Provide detailed indoor cat enrichment guides; contribute expert answers on cat toy safety and feline behaviour,Resource Articles / Forum Posts,7,Medium,26,Major cat forum with UK members; resource section links to authoritative external content
katzenworld.co.uk,Cat Blog / Publication,2,Pitch guest posts on cat toy reviews or indoor cat enrichment; offer original photography and product testing data,Blog Posts / Reviews,8,Medium,27,Established UK cat blog; accepts quality guest contributions; strong social media amplification
hearingdogs.org.uk,Assistance Dog Charity,2,Offer accessible content on dog training techniques; provide complementary resources on puppy development,Blog / Training Resources,8,Medium-High,28,Hearing Dogs for Deaf People; respected charity; training resources section links to quality content
guidedogs.org.uk,Assistance Dog Charity,2,Collaborate on puppy development content; offer complementary resources on early socialisation and training,Blog / Puppy Resources,9,High,29,Guide Dogs UK; major charity; puppy raising programme creates content partnership opportunities
dogsblog.com,Dog Adoption Platform,2,Offer content on preparing for adoption; provide guides on essential supplies and settling-in advice for rescue dogs,Blog / Advice Articles,7,Medium,30,UK dog adoption platform; active blog; community-focused content partnerships welcomed
pawsprotect.co.uk,Pet Welfare Charity,2,Collaborate on pet safety content; offer guides on pet-safe products and home environment setup,Resources / Blog,7,Medium,31,Domestic abuse pet fostering charity; niche but authoritative; safety-focused content alignment
bristolvetschool.ac.uk,University Veterinary School,2,Cite Bristol vet school research on companion animal health; offer consumer-friendly research summaries,Research / Public Pages,9,High,32,University of Bristol Vet School; strong companion animal research output
animaltrust.org.uk,Veterinary Charity,2,Collaborate on affordable pet healthcare content; offer complementary nutrition and preventive care guides,Advice / Blog,8,Medium,33,Animal Trust; free veterinary charity; advice section actively curated with external resource links
zooplus.co.uk,Pet Retailer,3,Offer expert product evaluation content; provide independent testing data on pet toys and accessories,Magazine / Blog Section,7,Medium,34,Major UK online pet retailer; product magazine section features expert content and product guides
lilys-kitchen.co.uk,Pet Food Manufacturer,3,Propose collaborative content on pet nutrition; offer product evaluation and feeding guide partnerships,Blog / Resources,8,Medium,35,Premium UK pet food brand; active blog; open to quality content partnerships that align with natural feeding philosophy
forthglade.com,Pet Food Manufacturer,3,Offer nutritional comparison content; provide feeding guide collaborations aligned with natural ingredients focus,Blog / Recipes,7,Medium,36,British natural pet food; blog features guest and partner content; strong brand values alignment
poochandmutt.co.uk,Pet Food / Supplements,3,Propose collaborative content on dog health supplements; offer product evaluation and wellness guides,Blog / Health Guides,7,Medium,37,UK dog food and supplement brand; active content programme; health-focused partnerships welcomed
simpsonspremium.com,Pet Food Manufacturer,3,Offer breed-specific feeding guides; propose collaborative content on hypoallergenic nutrition,Blog / Feeding Guides,7,Medium,38,UK premium pet food; niche authority in sensitive diets; content partnership opportunities
crufts.org.uk,Pet Event / Exhibition,3,Offer event preview and coverage content; provide expert guides timed to Crufts calendar,News / Blog,8,Medium-High,39,World's largest dog show; annual content opportunities; event coverage creates natural link-earning moments
londondogshow.com,Pet Event / Exhibition,3,Propose event coverage partnerships; offer breed and product expert commentary around show dates,News / Coverage,7,Medium,40,London pet events; local authority; event-timed content partnerships
nationalpetshow.com,Pet Event / Exhibition,3,Offer show preview content and product round-ups; provide expert panel participation,Blog / Exhibitor Resources,7,Medium,41,National Pet Show; major UK consumer pet event; exhibitor and content partnership opportunities
thedogfestival.co.uk,Pet Event / Exhibition,3,Propose event coverage; offer expert content on activities and product showcases at festivals,Blog / Event Pages,6,Low-Medium,42,UK dog festival circuit; community-focused; event coverage naturally earns links
petindustry.co.uk,Pet Industry Directory,3,Submit business listing with quality content; offer expert articles for industry news section,Directory / News,6,Low,43,UK pet industry directory; business listing links; straightforward submission process
petquip.com,Pet Industry Trade Body,3,Offer market research summaries; propose collaborative content on UK pet product trends,News / Resources,7,Medium,44,Pet industry trade association; international but UK-headquartered; trade content partnerships
kirstenandco.co.uk,Pet Lifestyle Blogger,3,Propose product evaluation collaboration; offer original testing data on pet toys and accessories,Blog Posts / Reviews,7,Low-Medium,45,Established UK pet lifestyle blogger; genuine audience; product review partnerships
styletails.com,Pet Lifestyle Blog,3,Pitch collaborative content on stylish pet accessories; offer product photography and honest evaluation,Blog Features / Guides,7,Low-Medium,46,UK pet lifestyle and design blog; editorial quality focus; brand partnership programme
prettyfluffy.com,Pet Lifestyle Blog,3,Offer luxury pet product evaluations; propose collaborative gift guide and seasonal content,Blog Features / Gift Guides,6,Low-Medium,47,Premium pet lifestyle blog; UK readership; seasonal content partnerships available
petbuzzuk.co.uk,Pet News Blog,3,Pitch newsworthy pet product content; offer expert commentary on pet industry trends,News Articles / Features,6,Low,48,UK pet news aggregator; accepts quality submissions; good for building initial backlink foundation
companionanimalpodcast.co.uk,Pet Podcast,3,Offer guest expert appearances discussing pet toy safety or indoor cat enrichment; provide show notes resources,Show Notes / Resources,7,Medium,49,UK companion animal podcast; guest appearances create natural backlinks from show notes pages
dogcastradio.com,Pet Podcast / Media,3,Propose expert interview on dog product safety or training supplies; offer complementary written resources,Show Notes / Blog,7,Medium,50,UK dog podcast; established audience; guest spots generate show notes backlinks
