id,title,cluster,url,word_count,saturation,authority_density,semantic_coverage,glossary_density,trust_intensity,citation_confidence,practical_usefulness,comparison_usefulness,ai_readiness,indexing_momentum,topical_dominance_score
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Food,https://pethubonline.com/best-puppy-food-uk/,3526,100,100,100,20,100,90,75,100,80,80,84.5
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Uncategorized,https://pethubonline.com/best-cat-gps-trackers-uk/,2014,80,100,100,30,100,90,65,100,100,75,84.0
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,https://pethubonline.com/best-dog-toys-uk/,3048,100,100,100,10,100,90,80,100,80,80,84.0
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Health,https://pethubonline.com/orthopaedic-care-dogs/,4967,100,100,100,10,100,85,100,100,60,80,83.5
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Dog Toys,https://pethubonline.com/best-interactive-cat-toys-uk/,2539,80,100,100,10,100,100,90,100,80,75,83.5
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Dog Toys,https://pethubonline.com/pet-enrichment-guide/,4016,100,100,100,10,100,90,75,100,80,75,83.0
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,https://pethubonline.com/dog-toy-lifespan-replacement/,3834,100,100,100,10,100,90,90,80,80,80,83.0
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Training,https://pethubonline.com/puppy-socialisation-guide/,2513,80,100,100,10,100,90,90,85,100,75,83.0
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,https://pethubonline.com/dog-bed-sizing-guide/,4716,100,100,100,0,100,90,75,100,80,80,82.5
4568,Dog Dental Health: A Practical Care Guide,Dog Health,https://pethubonline.com/dog-dental-health-care-guide/,2376,80,100,100,0,100,90,100,100,80,75,82.5
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Uncategorized,https://pethubonline.com/best-cat-window-perches-uk/,2143,80,100,100,10,100,100,80,100,80,75,82.5
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Uncategorized,https://pethubonline.com/best-cat-radiator-beds-uk/,2081,80,100,100,10,100,100,80,100,80,75,82.5
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,https://pethubonline.com/best-cat-beds-uk/,2414,80,100,100,10,100,90,90,100,80,75,82.5
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Dog Toys,https://pethubonline.com/best-cat-toys-indoor-cats-uk/,2257,80,100,100,0,100,90,80,100,100,75,82.5
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Uncategorized,https://pethubonline.com/best-slow-feeder-dog-bowls-uk/,2241,80,100,100,0,100,90,100,100,80,75,82.5
6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Dog Toys,https://pethubonline.com/enrichment-by-breed-group/,2093,80,100,100,10,100,90,85,100,80,75,82.0
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Care,https://pethubonline.com/puppy-development-stages-guide/,4079,100,100,100,20,100,90,70,80,80,80,82.0
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,https://pethubonline.com/mental-stimulation-toys-dogs/,3669,100,100,100,10,100,90,75,85,80,80,82.0
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,https://pethubonline.com/dog-harness-types-glossary/,2844,80,100,100,30,100,100,60,100,80,70,82.0
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,https://pethubonline.com/cat-toys-faq/,2313,80,100,100,10,100,100,75,100,80,75,82.0
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,https://pethubonline.com/best-dog-dental-care-uk/,2350,80,100,100,10,100,90,85,100,80,75,82.0
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,https://pethubonline.com/best-interactive-dog-toys-uk/,2816,80,100,100,0,100,90,100,100,80,70,82.0
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,https://pethubonline.com/dog-toy-overstimulation-signs/,2069,80,100,100,0,100,90,75,100,100,70,81.5
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,https://pethubonline.com/dog-training-terminology-explained/,2967,80,100,100,100,100,85,50,65,60,75,81.5
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Cat Toys,https://pethubonline.com/best-indoor-cat-toys/,2593,80,100,100,0,100,90,90,100,80,75,81.5
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Uncategorized,https://pethubonline.com/seasonal-dog-care-guide/,2561,80,100,100,0,100,90,90,100,80,75,81.5
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,https://pethubonline.com/low-mobility-enrichment-dogs/,2159,80,100,100,0,100,90,85,100,80,75,81.0
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,https://pethubonline.com/dog-toy-durability-guide/,2418,80,100,100,0,100,90,85,100,80,75,81.0
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,https://pethubonline.com/dog-toy-materials-compared/,2412,80,100,100,0,100,90,85,100,80,75,81.0
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,https://pethubonline.com/dog-toys-faq/,2985,80,100,100,10,100,90,75,100,80,75,81.0
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,https://pethubonline.com/indoor-vs-outdoor-dog-toys/,2572,80,100,100,20,100,90,65,100,80,75,81.0
5033,How to Choose the Right Cat Toy for Your Cat’s Personality,Cat Toys,https://pethubonline.com/how-to-choose-cat-toys-personality/,2094,80,100,100,10,100,100,65,100,80,75,81.0
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Dog Toys,https://pethubonline.com/cat-enrichment-beyond-toys/,2661,80,100,100,10,100,100,65,100,80,75,81.0
4571,Pet First Aid Basics: What Every Owner Should Know,Uncategorized,https://pethubonline.com/pet-first-aid-basics/,2162,80,100,100,10,100,90,75,100,80,75,81.0
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Puppy Care,https://pethubonline.com/best-puppy-training-guide-uk/,2215,80,100,100,0,100,90,85,100,80,75,81.0
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,https://pethubonline.com/best-indestructible-dog-toys-uk/,2855,80,100,100,10,100,90,80,100,80,70,81.0
4791,How to Choose the Right Dog Training Treats,Dog Training,https://pethubonline.com/how-to-choose-dog-training-treats/,2104,80,100,100,0,100,90,80,100,80,75,80.5
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,https://pethubonline.com/best-catnip-toys-uk/,2619,80,100,100,0,100,90,80,100,80,75,80.5
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Food,https://pethubonline.com/best-dog-bowls-feeding-uk/,2024,80,100,100,20,100,100,50,100,80,75,80.5
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,https://pethubonline.com/best-dog-beds-uk/,2491,80,100,100,10,100,90,70,100,80,75,80.5
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,https://pethubonline.com/sensory-enrichment-dogs/,2184,80,100,100,0,100,90,75,100,80,75,80.0
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,https://pethubonline.com/safe-multi-dog-toy-management/,2074,80,100,100,0,100,90,75,100,80,75,80.0
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Toys,https://pethubonline.com/enrichment-schedules-dogs/,2175,80,100,100,0,100,90,75,100,80,75,80.0
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,https://pethubonline.com/cat-toy-rotation-guide/,2537,80,100,100,0,100,90,75,100,80,75,80.0
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Uncategorized,https://pethubonline.com/pet-hydration-guide/,2061,80,100,100,0,100,90,75,100,80,75,80.0
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,https://pethubonline.com/best-interactive-cat-toys-indoor-cats/,2286,80,100,100,0,100,90,75,100,80,75,80.0
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,https://pethubonline.com/kitten-vs-adult-cat-toys-age-appropriate/,2064,80,100,100,0,100,90,75,100,80,75,80.0
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,https://pethubonline.com/diy-cat-toys-safe-homemade-options/,2226,80,100,100,0,100,90,75,100,80,75,80.0
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,https://pethubonline.com/best-cat-litter-uk/,2419,80,100,100,0,100,90,75,100,80,75,80.0
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Toys,https://pethubonline.com/best-cat-scratching-posts-uk/,2634,80,100,100,0,100,90,75,100,80,75,80.0
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,https://pethubonline.com/best-dog-training-treats-uk/,2124,80,100,100,0,100,90,80,100,80,70,80.0
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,https://pethubonline.com/best-dog-joint-supplements-uk/,2469,80,100,100,0,100,90,75,100,80,75,80.0
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,https://pethubonline.com/best-dog-flea-treatment-uk/,2471,80,100,100,0,100,90,75,100,80,75,80.0
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,https://pethubonline.com/best-dog-health-care-uk/,2410,80,100,100,0,100,90,75,100,80,75,80.0
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,https://pethubonline.com/play-recovery-after-surgery-dogs/,2157,80,100,100,0,100,90,85,85,80,75,79.5
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Toys,https://pethubonline.com/crate-play-enrichment-dogs/,2105,80,100,100,0,100,90,75,100,80,70,79.5
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Toys,https://pethubonline.com/scent-game-enrichment-dogs/,2130,80,100,100,0,100,90,75,100,80,70,79.5
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,https://pethubonline.com/dog-toy-safety-breed-size/,2040,80,100,100,0,100,90,75,100,80,70,79.5
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Uncategorized,https://pethubonline.com/aggressive-chewer-dog-toys/,2520,80,100,100,0,100,90,70,100,80,75,79.5
4786,Where to Place Your Dog’s Bed: Location and Comfort Tips,Uncategorized,https://pethubonline.com/where-to-place-dog-bed/,1998,60,100,100,20,100,90,75,100,80,70,79.5
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Toys,https://pethubonline.com/best-cat-trees-uk/,2121,80,100,100,0,100,90,70,100,80,75,79.5
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,https://pethubonline.com/best-heated-cat-beds-uk/,2285,80,100,100,0,100,90,70,100,80,75,79.5
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,https://pethubonline.com/best-dog-training-behaviour-uk/,2202,80,100,100,0,100,90,75,100,80,70,79.5
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,https://pethubonline.com/best-dog-grooming-supplies-uk/,2174,80,100,100,10,100,90,60,100,80,75,79.5
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,https://pethubonline.com/best-no-pull-dog-harnesses-uk/,2126,80,100,100,0,100,90,70,100,80,75,79.5
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,https://pethubonline.com/best-dog-collars-and-harnesses-uk/,2441,80,100,100,10,100,90,60,100,80,75,79.5
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,https://pethubonline.com/dog-toy-hygiene-schedules/,2174,80,100,100,0,100,90,65,100,80,75,79.0
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Toys,https://pethubonline.com/cognitive-enrichment-senior-dogs/,2284,80,100,100,0,100,90,65,100,80,75,79.0
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,https://pethubonline.com/dog-toy-storage-organisation/,2165,80,100,100,0,100,90,65,100,80,75,79.0
4570,First-Time Dog Owner Essentials: What You Need to Know,Uncategorized,https://pethubonline.com/first-time-dog-owner-essentials/,2275,80,100,100,10,100,90,90,65,80,75,79.0
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,https://pethubonline.com/how-often-replace-cat-toys/,2063,80,100,100,0,100,90,65,100,80,75,79.0
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,https://pethubonline.com/best-cat-litter-disposal-uk/,2466,80,100,100,0,100,90,65,100,80,75,79.0
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,https://pethubonline.com/best-cat-litter-trays-uk/,2693,80,100,100,0,100,90,65,100,80,75,79.0
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Uncategorized,https://pethubonline.com/best-wall-mounted-cat-scratchers-uk/,2222,80,100,100,0,100,90,65,100,80,75,79.0
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Uncategorized,https://pethubonline.com/best-cardboard-cat-scratchers-uk/,2132,80,100,100,0,100,90,65,100,80,75,79.0
4272,Best Cat ID Tags UK (2026) – Identification Guide,Uncategorized,https://pethubonline.com/best-cat-id-tags-uk/,2151,80,100,100,0,100,90,65,100,80,75,79.0
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,https://pethubonline.com/toy-overstimulation-recovery-dogs/,2111,80,100,100,0,100,90,75,85,80,75,78.5
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Dog Training,https://pethubonline.com/cat-scratching-behaviour-explained/,3251,100,100,100,0,85,75,65,100,80,80,78.5
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,https://pethubonline.com/dog-bed-types-glossary/,1981,60,100,100,60,100,85,50,100,60,70,78.5
4783,How to Choose the Right Dog Bed Size,Dog Beds,https://pethubonline.com/how-to-choose-dog-bed-size/,1791,60,100,100,20,100,100,60,100,80,65,78.5
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,https://pethubonline.com/best-cat-collars-uk/,2027,80,100,100,0,100,90,60,100,80,75,78.5
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Uncategorized,https://pethubonline.com/best-cat-grooming-supplies-uk/,2066,80,100,100,0,100,90,60,100,80,75,78.5
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Harnesses,https://pethubonline.com/best-dog-leads-uk/,2118,80,100,100,0,100,90,60,100,80,75,78.5
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Uncategorized,https://pethubonline.com/multi-pet-household-tips/,1654,60,100,100,0,100,90,85,100,80,65,78.0
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Health,https://pethubonline.com/best-orthopaedic-dog-beds-uk/,2071,80,100,100,0,100,90,60,100,80,70,78.0
4785,How to Wash and Maintain Your Dog’s Bed,Uncategorized,https://pethubonline.com/how-to-wash-dog-bed/,1989,60,100,100,10,100,90,65,100,80,70,77.5
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Training,https://pethubonline.com/best-dog-training-leads-uk/,2351,80,100,100,0,100,90,50,100,80,75,77.5
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,https://pethubonline.com/dog-toy-anxiety-reduction/,1851,60,100,100,0,100,90,75,100,80,65,77.0
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Dog Grooming,https://pethubonline.com/best-cat-shampoo-uk/,1620,60,90,100,10,100,100,60,100,80,70,77.0
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Grooming,https://pethubonline.com/best-dog-nail-clippers-uk/,1933,60,100,100,10,100,90,60,100,80,70,77.0
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Uncategorized,https://pethubonline.com/seasonal-pet-safety-guide/,1683,60,100,100,0,100,90,70,100,80,65,76.5
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Uncategorized,https://pethubonline.com/best-self-cleaning-litter-trays-uk/,1989,60,100,100,0,100,90,65,100,80,70,76.5
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Educational,https://pethubonline.com/dog-play-styles-explained/,1816,60,100,100,10,100,90,70,80,80,70,76.0
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Dog Grooming,https://pethubonline.com/best-cat-nail-clippers-uk/,1545,60,90,100,10,100,100,50,100,80,70,76.0
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Grooming,https://pethubonline.com/best-dog-brushes-uk/,1932,60,100,100,0,100,90,60,100,80,70,76.0
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,https://pethubonline.com/dog-toy-enrichment-beyond-fetch/,2291,80,75,100,10,100,90,60,85,80,75,75.5
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,https://pethubonline.com/puppy-safe-dog-toys/,2245,80,100,100,0,100,90,50,80,80,75,75.5
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,https://pethubonline.com/cat-toy-safety-guide/,2105,80,100,100,0,100,90,50,80,80,75,75.5
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Uncategorized,https://pethubonline.com/best-dog-water-bottles-uk/,1997,60,100,100,10,100,90,60,85,80,70,75.5
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,https://pethubonline.com/best-cooling-dog-beds-uk/,1985,60,100,100,10,100,90,50,100,80,65,75.5
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,https://pethubonline.com/best-cat-harnesses-uk/,1887,60,100,100,0,100,90,50,100,80,70,75.0
5414,Cat Toy Types Explained: A Complete Glossary,Cat Toys,https://pethubonline.com/cat-toy-types-glossary/,1739,60,100,100,20,100,90,60,65,80,70,74.5
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,https://pethubonline.com/dog-bed-materials-guide/,1989,60,100,100,20,100,85,45,100,60,70,74.0
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Dog Toys,https://pethubonline.com/cat-enrichment-activities-beyond-toys/,1819,60,90,100,0,100,90,50,100,80,70,74.0
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Puppy Care,https://pethubonline.com/best-puppy-beds-uk/,1738,60,100,100,10,100,90,50,100,60,70,74.0
696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,Cat Supplies,https://pethubonline.com/essential-cat-supplies-for-cat-owners/,1974,60,100,100,0,100,90,60,100,60,70,74.0
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Toys,https://pethubonline.com/safe-tug-play-dogs/,1792,60,100,100,0,100,90,55,85,80,65,73.5
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Dog Training,https://pethubonline.com/understanding-cat-play-behaviour/,1526,60,100,100,0,85,75,65,100,80,70,73.5
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,https://pethubonline.com/dog-harnesses-complete-guide/,1944,60,100,100,10,100,75,60,100,60,70,73.5
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Dog Grooming,https://pethubonline.com/best-cat-brushes-uk/,1590,60,100,100,10,100,75,60,100,60,70,73.5
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Uncategorized,https://pethubonline.com/best-elevated-dog-bowls-uk/,1957,60,100,100,0,100,90,50,85,80,70,73.5
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Uncategorized,https://pethubonline.com/mental-stimulation-for-dogs/,1984,60,100,100,0,100,75,85,85,60,65,73.0
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,https://pethubonline.com/best-puppy-collars-uk/,1593,60,90,100,0,100,90,60,100,60,70,73.0
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026/,4069,100,75,100,100,30,85,75,0,80,80,72.5
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,https://pethubonline.com/rotating-puzzle-complexity-dogs/,1747,60,100,100,0,100,90,70,50,80,65,71.5
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,https://pethubonline.com/confidence-building-play-dogs/,1661,60,100,100,0,100,90,40,65,80,65,70.0
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,https://pethubonline.com/dog-toys-for-different-play-styles/,1644,60,100,100,0,100,75,55,80,60,70,70.0
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,https://pethubonline.com/diy-dog-toys-homemade/,1521,60,100,100,0,100,75,40,80,60,70,68.5
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,https://pethubonline.com/dog-toy-safety-guide/,1558,60,100,100,0,100,75,50,65,60,70,68.0
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Grooming,https://pethubonline.com/dog-grooming-basics-guide/,1105,60,100,83,0,100,75,60,100,40,60,67.8
4414,Harness vs Collar: Which Is Better for Your Dog?,Uncategorized,https://pethubonline.com/harness-vs-collar-which-is-better/,1128,60,100,83,0,100,75,60,100,40,60,67.8
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,https://pethubonline.com/no-pull-dog-harness-guide/,1074,60,100,83,0,100,75,60,100,40,60,67.8
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Uncategorized,https://pethubonline.com/how-to-measure-dog-for-harness/,1094,60,100,83,0,100,75,50,100,40,60,66.8
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,https://pethubonline.com/dog-toy-cleaning-guide/,2048,80,100,100,0,100,75,50,0,80,75,66.0
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Grooming,https://pethubonline.com/best-dog-shampoo-uk/,1679,60,100,100,10,100,75,50,0,80,70,64.5
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,https://pethubonline.com/dog-health-terminology-understanding-common-veterinary-and-care-terms/,2188,80,100,100,90,75,40,35,0,40,65,62.5
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Educational,https://pethubonline.com/cat-supply-essentials-glossary-understanding-cat-care-products/,2338,80,100,100,100,60,40,35,0,40,65,62.0
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,https://pethubonline.com/cat-toy-terminology-understanding-play-types-and-toy-features/,2460,80,90,100,70,60,40,60,0,40,70,61.0
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,https://pethubonline.com/indoor-cat-terminology-a-complete-glossary-for-cat-owners/,2388,80,100,100,100,60,40,20,0,40,65,60.5
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,https://pethubonline.com/dog-bed-terminology-materials-types-and-sizing-terms-explained/,2098,80,90,100,100,60,40,20,0,40,70,60.0
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Puppy Care,https://pethubonline.com/puppy-care-glossary-essential-terms-for-new-puppy-owners/,2261,80,100,100,80,60,40,30,0,40,65,59.5
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,https://pethubonline.com/dog-food-glossary-understanding-ingredients-and-nutrition-labels/,2343,80,100,100,90,60,40,10,0,40,65,58.5
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,https://pethubonline.com/dog-bed-safety-non-toxic-materials/,1172,60,60,100,10,70,40,35,0,40,65,48.0
