mismatch_id,post_id,URL,expected_count,actual_count,mismatch_type,severity,suspected_cause,remediation_recommendation,auto_fix_possible_yes_no,owner_approval_required_yes_no,assigned_agent,status,next_action
mm-0b4d3365,4160,https://pethubonline.com/best-elevated-dog-bowls-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-fba788e3,4167,https://pethubonline.com/best-dog-water-bottles-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-732b5bfd,4174,https://pethubonline.com/best-cat-toys-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-b83418be,4181,https://pethubonline.com/best-interactive-cat-toys-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-0b5601fc,4188,https://pethubonline.com/best-catnip-toys-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-708397ca,4195,https://pethubonline.com/best-cat-toys-indoor-cats-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-0ae2a301,4202,https://pethubonline.com/best-cat-beds-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-62c28326,4209,https://pethubonline.com/best-heated-cat-beds-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-f9032e35,4216,https://pethubonline.com/best-cat-radiator-beds-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-2ca218b5,4223,https://pethubonline.com/best-cat-window-perches-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-a84ee4ad,4230,https://pethubonline.com/best-cat-grooming-supplies-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-d99bbe52,4237,https://pethubonline.com/best-cat-brushes-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-913ada2e,4244,https://pethubonline.com/best-cat-nail-clippers-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-60eb9a01,4251,https://pethubonline.com/best-cat-shampoo-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-8bdae738,4258,https://pethubonline.com/best-cat-collars-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-4dc07d0e,4265,https://pethubonline.com/best-cat-gps-trackers-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-f6998b2e,4272,https://pethubonline.com/best-cat-id-tags-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-7c81ce36,4279,https://pethubonline.com/best-cat-harnesses-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-ade4842f,4286,https://pethubonline.com/best-cat-scratching-posts-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-b6afa5d3,4293,https://pethubonline.com/best-cat-trees-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-2f33c118,4300,https://pethubonline.com/best-cardboard-cat-scratchers-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-c4ff86b8,4307,https://pethubonline.com/best-wall-mounted-cat-scratchers-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-5ca3ce91,4314,https://pethubonline.com/best-cat-litter-trays-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-0f777504,4321,https://pethubonline.com/best-cat-litter-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-030f84a3,4328,https://pethubonline.com/best-self-cleaning-litter-trays-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-b14ecb32,4335,https://pethubonline.com/best-cat-litter-disposal-uk/,unverified,unverified,product_count,HIGH,title_implies_ranked_list,verify_product_count_matches_content,no,yes,content-agent,OPEN,content_verification_required
mm-b21b81e7,4785,https://pethubonline.com/how-to-wash-dog-bed/,unverified,unverified,product_count,HIGH,informational_not_product_content,reclassify_as_educational_guide,no,yes,content-agent,OPEN,content_verification_required
mm-2de7854e,4786,https://pethubonline.com/where-to-place-dog-bed/,unverified,unverified,product_count,HIGH,informational_not_product_content,reclassify_as_educational_guide,no,yes,content-agent,OPEN,content_verification_required
