id,title,cluster,blocks_added,comparison_tables_added,trust_refs_added,glossary_added,practical_enhanced,extractability_enhanced,status
696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,Cat Supplies,research_sources|practical_guide,0,1,0,1,0,updated
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,research_sources|comparison_table|practical_guide|why_sources,1,2,0,1,0,updated
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,research_sources|comparison_table|practical_guide|why_sources,1,2,0,1,0,updated
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Training Supplies,why_sources,0,1,0,0,0,updated
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,research_sources|comparison_table|practical_guide|why_sources,1,2,0,1,0,updated
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,research_sources|why_sources,0,2,0,0,0,updated
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,research_sources|comparison_table|practical_guide|why_sources,1,2,0,1,0,updated
4125,Best Dog Training Treats UK (2026) – Reward Guide,Training Supplies,why_sources,0,1,0,0,0,updated
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Training Supplies,why_sources,0,1,0,0,0,updated
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,research_sources|comparison_table|practical_guide|why_sources,1,2,0,1,0,updated
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,practical_guide,0,0,0,1,0,updated
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,research_sources|practical_guide,0,1,0,1,0,updated
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,research_sources|comparison_table|practical_guide|why_sources,1,2,0,1,0,updated
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,comparison_table|why_sources,1,1,0,0,0,updated
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,why_sources,0,1,0,0,0,updated
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
5033,How to Choose the Right Cat Toy for Your Cat’s Personality,Cat Toys,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,why_sources,0,1,0,0,0,updated
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,research_sources|comparison_table|practical_guide|why_sources,1,2,0,1,0,updated
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
4791,How to Choose the Right Dog Training Treats,Training Supplies,why_sources,0,1,0,0,0,updated
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,research_sources|why_sources,0,2,0,0,0,updated
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,research_sources|practical_guide|why_sources,0,2,0,1,0,updated
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,research_sources|practical_guide|at_a_glance|why_sources,0,2,0,1,1,updated
