timestamp,post_id,title,cluster,status,detail,blocks_added
2026-05-29T02:46:18.492176,4573,Seasonal Pet Safety: Protecting Pets Through the Year,Uncategorized,OK,rev6537:9231->15234,"at_a_glance,why_this_matters,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:46:30.363530,4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Uncategorized,OK,rev6292:8987->14929,"at_a_glance,why_this_matters,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:49:22.891378,4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Grooming,OK,rev6469:11184->18399,"at_a_glance,why_this_matters,what_we_considered,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:49:33.935663,4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Grooming,OK,rev6531:11980->18899,"at_a_glance,why_this_matters,what_we_considered,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:49:45.376679,4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Grooming,OK,rev6465:12130->19107,"at_a_glance,why_this_matters,what_we_considered,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:49:56.821284,4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,OK,rev6532:14079->21304,"at_a_glance,why_this_matters,what_we_considered,troubleshooting,when_to_seek_help,key_takeaways,trust_footer"
2026-05-29T02:50:07.006444,4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,OK,19089->20121,at_a_glance
2026-05-29T02:50:16.813404,4272,Best Cat ID Tags UK (2026) – Identification Guide,Educational,OK,20370->21369,at_a_glance
2026-05-29T02:50:27.158254,4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Educational,OK,19245->20276,at_a_glance
2026-05-29T02:50:36.928664,4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Educational,OK,18508->19519,at_a_glance
2026-05-29T02:50:46.799632,4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Educational,OK,19421->20432,at_a_glance
2026-05-29T02:50:56.709603,4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Educational,OK,18733->19750,at_a_glance
2026-05-29T02:51:06.299282,4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Educational,OK,19870->20897,at_a_glance
2026-05-29T02:51:15.406285,4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Uncategorized,OK,19552->20571,at_a_glance
2026-05-29T02:51:24.902974,4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Uncategorized,OK,20373->21404,at_a_glance
2026-05-29T02:51:34.324664,4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Uncategorized,OK,19567->20594,at_a_glance
2026-05-29T02:51:44.034223,4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Uncategorized,OK,21095->22105,at_a_glance
