id,title,days_stale,needs_refresh,refresh_priority
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,-1,False,FRESH
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,-1,False,FRESH
4571,Pet First Aid Basics: What Every Owner Should Know,-1,False,FRESH
4568,Dog Dental Health: A Practical Care Guide,-1,False,FRESH
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,-1,False,FRESH
4563,Dog Grooming Basics: A Complete Guide for Owners,-1,False,FRESH
4415,Cat Toy Safety Guide: What Every Owner Should Know,-1,False,FRESH
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,-1,False,FRESH
4414,Harness vs Collar: Which Is Better for Your Dog?,-1,False,FRESH
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,-1,False,FRESH
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,-1,False,FRESH
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",-1,False,FRESH
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,-1,False,FRESH
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,-1,False,FRESH
4408,How Often Should You Replace Cat Toys? A Practical Guide,-1,False,FRESH
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,-1,False,FRESH
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,-1,False,FRESH
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,-1,False,FRESH
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,-1,False,FRESH
4314,Best Cat Litter Trays UK (2026) – Complete Guide,-1,False,FRESH
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,-1,False,FRESH
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,-1,False,FRESH
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,-1,False,FRESH
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,-1,False,FRESH
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,-1,False,FRESH
4272,Best Cat ID Tags UK (2026) – Identification Guide,-1,False,FRESH
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,-1,False,FRESH
4258,Best Cat Collars UK (2026) – Complete Safety Guide,-1,False,FRESH
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,-1,False,FRESH
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,-1,False,FRESH
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,-1,False,FRESH
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,-1,False,FRESH
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,-1,False,FRESH
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,-1,False,FRESH
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,-1,False,FRESH
4202,Best Cat Beds UK (2026) – Complete Guide,-1,False,FRESH
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,-1,False,FRESH
4188,Best Catnip Toys UK (2026) – What Works and Why,-1,False,FRESH
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,-1,False,FRESH
4174,Best Cat Toys UK (2026) – Complete Guide,-1,False,FRESH
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,-1,False,FRESH
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,-1,False,FRESH
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,-1,False,FRESH
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,-1,False,FRESH
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,-1,False,FRESH
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,-1,False,FRESH
4125,Best Dog Training Treats UK (2026) – Reward Guide,-1,False,FRESH
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,-1,False,FRESH
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,-1,False,FRESH
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,-1,False,FRESH
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,-1,False,FRESH
4089,Best Dog Health and Care UK (2026) – Complete Guide,-1,False,FRESH
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,-1,False,FRESH
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,-1,False,FRESH
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,-1,False,FRESH
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,-1,False,FRESH
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,-1,False,FRESH
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,-1,False,FRESH
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,-1,False,FRESH
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,-1,False,FRESH
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,-1,False,FRESH
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,-1,False,FRESH
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,-1,False,FRESH
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,-1,False,FRESH
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,-1,False,FRESH
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,-1,False,FRESH
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,-1,False,FRESH
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,-1,False,FRESH
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,-1,False,FRESH
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,-1,False,FRESH
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,-1,False,FRESH
3836,Best Dog Food UK (2026) – Complete Buying Guide,-1,False,FRESH
696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,-1,False,FRESH
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,-1,False,FRESH
