source_id,source_title,target_id,target_title,anchor_text,status
4568,Dog Dental Health: A Practical Care Guide,5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",,ALREADY_LINKED
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",dog health basics,INSERTED_BLOCK
4089,Best Dog Health and Care UK (2026) – Complete Guide,5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",,ALREADY_LINKED
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",,ALREADY_LINKED
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas","Pet Enrichment Explained: Types, Benefits, and Practical Ideas",INSERTED_BLOCK
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas","Pet Enrichment Explained: Types, Benefits, and Practical Ideas",INSERTED_BLOCK
4783,How to Choose the Right Dog Bed Size,5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,,ALREADY_LINKED
5033,How to Choose the Right Cat Toy for Your Cat's Personality,5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,INSERTED_BLOCK
4791,How to Choose the Right Dog Training Treats,5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,INSERTED_BLOCK
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,,ALREADY_LINKED
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Development Stages: A Complete Guide from Birth to Maturity,INSERTED_BLOCK
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Development Stages: A Complete Guide from Birth to Maturity,INSERTED_BLOCK
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",,ALREADY_LINKED
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",,ALREADY_LINKED
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",,ALREADY_LINKED
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,INSERTED
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,INSERTED
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,,ALREADY_LINKED
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,INSERTED_BLOCK
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,INSERTED_BLOCK
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,,ALREADY_LINKED
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Puppy-Safe Dog Toys: What to Look For and What to Avoid,INSERTED_BLOCK
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Puppy-Safe Dog Toys: What to Look For and What to Avoid,INSERTED_BLOCK
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Puppy-Safe Dog Toys: What to Look For and What to Avoid,INSERTED_BLOCK
5462,Dog Training Terminology Explained: Key Concepts for New Owners,5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Care Basics: A Glossary for New Cat Owners,INSERTED_BLOCK
5416,Dog Bed Types Explained: A Complete Glossary,5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Care Basics: A Glossary for New Cat Owners,INSERTED_BLOCK
5414,Cat Toy Types Explained: A Complete Glossary,5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Care Basics: A Glossary for New Cat Owners,INSERTED_BLOCK
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",5418,Dog Harness Types Explained: Finding the Right Fit,,ALREADY_LINKED
4414,Harness vs Collar: Which Is Better for Your Dog?,5418,Dog Harness Types Explained: Finding the Right Fit,,ALREADY_LINKED
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harness Types Explained: Finding the Right Fit,INSERTED
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Dog Play Styles Explained: Understanding How Your Dog Plays,INSERTED_BLOCK
5462,Dog Training Terminology Explained: Key Concepts for New Owners,5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Dog Play Styles Explained: Understanding How Your Dog Plays,INSERTED_BLOCK
5416,Dog Bed Types Explained: A Complete Glossary,5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Dog Play Styles Explained: Understanding How Your Dog Plays,INSERTED_BLOCK
5416,Dog Bed Types Explained: A Complete Glossary,5414,Cat Toy Types Explained: A Complete Glossary,Cat Toy Types Explained: A Complete Glossary,INSERTED_BLOCK
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",5414,Cat Toy Types Explained: A Complete Glossary,Cat Toy Types Explained: A Complete Glossary,INSERTED_BLOCK
5462,Dog Training Terminology Explained: Key Concepts for New Owners,5414,Cat Toy Types Explained: A Complete Glossary,Cat Toy Types Explained: A Complete Glossary,INSERTED_BLOCK
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,,ALREADY_LINKED
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,,ALREADY_LINKED
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,,ALREADY_LINKED
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Brushes: Guide by Coat Type,INSERTED_BLOCK
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Brushes: Guide by Coat Type,INSERTED_BLOCK
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Brushes: Guide by Coat Type,INSERTED_BLOCK
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,,ALREADY_LINKED
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,,ALREADY_LINKED
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,,ALREADY_LINKED
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,,ALREADY_LINKED
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,,ALREADY_LINKED
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,,ALREADY_LINKED
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,,ALREADY_LINKED
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Toys: Teething & First Toys Guide,INSERTED_BLOCK
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Toys: Teething & First Toys Guide,INSERTED_BLOCK
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Interactive Dog Toys: Puzzle & Enrichment Guide,INSERTED_BLOCK
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Interactive Dog Toys: Puzzle & Enrichment Guide,INSERTED_BLOCK
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,,ALREADY_LINKED
