id,title,cluster,directness,usefulness,completeness,practical_guidance,comparison_richness,trust_depth,extractability,citation_confidence,best_answer_score
7337,Puppy Vaccination Schedule UK: What to Expect and When,Puppy Care,36,74,98,44,44,70,94,70,62.9
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,65,55,100,14,52,80,94,76,62.9
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,47,73,100,25,39,86,85,79,62.6
4570,First-Time Dog Owner Essentials: What You Need to Know,Puppy Care,60,68,92,29,36,83,94,67,62.5
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Supplies,60,62,91,18,56,72,98,69,62.4
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Grooming,58,59,98,39,47,73,94,54,62.4
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Indoor Cats,67,72,88,18,39,81,94,64,62.1
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,73,58,98,21,37,77,94,67,62.0
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Dog Grooming,59,77,88,42,45,50,94,53,62.0
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Puppy Care,65,75,83,47,45,65,64,59,61.9
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,60,55,85,35,41,80,94,72,61.8
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,56,70,100,18,38,76,94,74,61.7
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Grooming,59,59,100,33,52,64,87,61,61.6
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,60,64,100,22,37,77,94,70,61.5
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Dog Supplies,50,70,100,18,47,74,94,70,61.5
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,35,62,98,29,57,77,94,70,61.4
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,65,55,91,17,57,70,95,66,61.3
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,65,62,91,20,39,84,94,64,61.2
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Dog Supplies,63,61,100,22,42,74,85,70,61.1
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Supplies,60,44,100,5,67,74,98,67,60.3
4785,How to Wash and Maintain Your Dog's Bed,Dog Beds,56,62,98,28,34,71,94,70,60.3
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Puppy Care,59,62,98,26,32,69,94,69,59.9
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,59,62,96,18,34,77,94,72,59.9
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Indoor Cats,53,68,91,21,39,72,94,69,59.8
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,53,59,98,24,34,78,94,72,59.7
4568,Dog Dental Health: A Practical Care Guide,Dog Health,51,63,91,23,39,86,94,62,59.7
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,47,63,93,25,54,66,94,58,59.5
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Dog Grooming,56,68,89,32,45,59,94,51,59.5
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Dog Grooming,73,69,74,39,45,56,76,48,59.3
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,58,56,91,22,32,84,94,70,59.1
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,59,54,97,21,42,72,94,63,59.0
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,55,52,87,18,66,67,98,51,59.0
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,53,56,85,32,35,77,94,68,58.8
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Puppy Care,55,74,98,26,41,42,94,59,58.7
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,45,62,90,11,48,80,94,74,58.7
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,58,53,90,17,44,77,94,63,58.2
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,50,42,97,8,67,74,98,61,58.1
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,47,65,88,20,39,79,94,64,58.1
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Supplies,73,57,91,15,32,72,94,57,57.9
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,65,54,91,19,44,65,94,55,57.8
7341,First Week with a New Puppy: A Day-by-Day Guide,Puppy Care,38,65,98,18,43,70,94,68,57.6
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,50,65,94,18,32,69,94,70,57.5
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Supplies,65,55,98,11,34,77,94,57,57.4
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Supplies,65,54,82,23,32,70,91,68,57.2
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Puppy Care,33,65,98,18,44,70,94,68,57.0
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,59,45,100,14,34,86,94,61,56.9
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,58,62,98,20,36,58,94,54,56.8
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,50,41,90,21,54,73,94,62,56.8
5414,Cat Toy Types Explained: A Complete Glossary,Cat Supplies,44,62,97,15,42,70,94,62,56.8
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Supplies,47,61,97,18,34,72,94,63,56.6
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,59,57,98,15,34,66,94,60,56.5
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,63,34,90,3,62,70,98,61,56.2
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,59,57,96,15,39,76,76,59,56.2
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Supplies,60,62,85,17,34,67,94,56,56.1
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,53,58,98,17,36,60,94,61,55.9
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Puppy Care,41,57,92,20,44,65,94,64,55.8
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Supplies,61,51,83,20,34,75,91,60,55.8
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,50,56,88,18,32,74,94,67,55.7
4791,How to Choose the Right Dog Training Treats,Dog Training,58,50,98,7,39,76,94,57,55.6
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,68,40,85,12,41,75,91,62,55.4
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Dog Supplies,55,39,80,13,57,77,98,53,55.4
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Supplies,59,52,88,13,34,74,94,60,55.3
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,55,50,85,14,41,79,94,53,55.1
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,58,40,89,11,44,79,94,56,54.8
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,60,36,98,5,42,77,94,60,54.4
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Dog Supplies,53,39,91,11,42,75,94,58,53.5
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,55,38,91,10,34,84,94,61,53.5
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,45,45,100,10,42,72,85,64,53.4
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,66,44,70,16,42,80,79,51,53.2
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,57,48,93,17,36,49,94,57,53.0
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,51,41,98,12,39,68,94,53,52.8
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Supplies,56,41,86,11,39,70,94,55,52.5
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,51,50,92,9,34,77,94,46,52.5
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,60,37,93,9,44,65,94,46,52.3
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care General,51,35,83,9,42,77,94,59,51.9
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,47,38,91,9,41,75,94,55,51.8
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,64,39,98,10,41,44,94,45,51.2
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,45,41,87,16,39,77,76,58,51.0
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,47,32,98,3,39,79,94,57,51.0
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,60,45,77,11,41,66,61,65,50.5
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,65,29,93,4,49,54,94,42,50.4
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,59,38,94,3,34,69,94,44,50.2
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,59,38,87,9,34,72,76,54,49.9
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,55,27,93,2,49,64,94,45,49.6
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,47,42,87,7,39,79,72,55,49.6
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Grooming,47,54,48,27,42,67,71,53,49.4
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care General,55,21,83,3,42,77,94,53,48.9
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,68,26,92,5,36,55,94,43,48.6
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,39,57,85,21,0,81,75,69,48.5
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,53,28,87,16,34,74,76,50,48.4
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Puppy Care,31,32,89,7,46,70,94,51,47.8
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,56,44,48,13,40,72,69,45,46.4
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,73,28,48,7,40,67,71,45,45.3
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,55,28,48,5,40,67,71,41,41.9
8172,Our Research Standards,Uncategorized,27,27,69,9,39,80,47,47,39.6
8171,Why PetHub Online Exists,Uncategorized,18,22,47,6,39,80,29,44,32.8
