id,title,cluster,glossary_depth,trust_depth,practical_depth,comparison_depth,faq_depth,citation_confidence,semantic_density,authority_moat_score
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,100,72,51,53,80,72,92,74.3
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,100,80,15,70,85,76,93,74.1
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,100,75,49,58,70,73,93,74.0
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,96,66,47,59,90,69,91,74.0
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,100,80,65,59,48,72,93,73.9
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,100,90,50,53,59,72,93,73.9
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,100,77,38,58,80,70,93,73.7
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,100,81,70,52,51,68,93,73.6
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Supplies,80,89,32,50,85,82,95,73.3
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,100,69,19,78,85,69,93,73.3
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,82,78,30,70,70,89,93,73.1
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,100,76,54,52,65,72,93,73.1
7337,Puppy Vaccination Schedule UK: What to Expect and When,Puppy Care,100,70,57,59,72,70,83,73.0
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Dog Supplies,100,74,25,64,85,70,93,73.0
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Puppy Care,100,85,57,52,54,70,93,73.0
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,100,81,52,58,57,70,93,73.0
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Training,100,68,55,62,70,65,91,73.0
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,100,82,66,52,51,64,95,72.9
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Supplies,100,77,29,69,75,68,91,72.7
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,100,77,32,67,75,67,91,72.7
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,100,84,45,47,72,70,91,72.7
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,100,85,52,53,54,72,93,72.7
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Supplies,100,74,35,70,75,63,91,72.6
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,100,81,43,56,59,76,93,72.6
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,100,86,50,52,54,70,95,72.4
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,100,77,30,49,85,72,93,72.3
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Training,100,79,52,56,59,72,88,72.3
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,100,67,45,53,75,72,93,72.1
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Dog Toys,100,77,39,50,75,68,95,72.0
4783,How to Choose the Right Dog Bed Size,Dog Beds,82,79,43,56,70,74,100,72.0
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,100,66,55,71,67,58,86,71.9
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,100,78,34,62,70,62,97,71.9
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Puppy Care,82,82,35,56,75,78,94,71.7
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Supplies,100,72,29,66,75,69,91,71.7
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,82,93,45,52,62,68,100,71.7
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,100,88,19,58,75,67,95,71.7
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Toys,100,77,29,52,85,70,88,71.6
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,100,75,40,56,67,68,95,71.6
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Supplies,100,74,2,79,85,67,93,71.4
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Toys,100,76,27,50,85,74,88,71.4
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,96,79,26,58,75,71,95,71.4
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,100,76,49,58,60,65,91,71.3
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,100,73,40,58,70,70,88,71.3
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,100,67,45,55,70,72,90,71.3
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,100,72,32,76,57,69,91,71.0
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Grooming,100,82,38,56,65,61,95,71.0
4570,First-Time Dog Owner Essentials: What You Need to Know,Puppy Care,100,83,33,50,70,67,93,70.9
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Supplies,80,67,28,82,85,67,86,70.7
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,100,72,22,58,80,63,100,70.7
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Indoor Cats,100,78,45,53,59,66,93,70.6
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,98,70,26,67,75,66,91,70.4
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Grooming,100,78,45,59,57,59,95,70.4
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,100,79,36,56,67,62,93,70.4
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Supplies,98,70,36,47,80,68,93,70.3
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,100,77,25,52,80,67,91,70.3
4568,Dog Dental Health: A Practical Care Guide,Dog Health,100,86,30,55,65,62,93,70.1
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Dog Harnesses,100,79,45,56,48,70,93,70.1
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,96,80,24,64,75,74,77,70.0
4785,How to Wash and Maintain Your Dog's Bed,Dog Beds,100,71,37,49,70,70,93,70.0
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Puppy Care,100,70,35,59,67,68,90,69.9
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,100,86,4,49,90,61,99,69.9
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,100,72,49,52,59,66,91,69.9
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Indoor Cats,100,81,27,53,70,64,93,69.7
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,100,80,15,56,75,72,89,69.6
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,45,77,30,83,85,77,90,69.6
5414,Cat Toy Types Explained: A Complete Glossary,Cat Supplies,100,70,37,58,67,62,93,69.6
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Indoor Cats,100,72,25,55,75,69,91,69.6
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,100,84,32,55,59,64,93,69.6
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,100,65,37,59,80,55,90,69.4
7341,First Week with a New Puppy: A Day-by-Day Guide,Puppy Care,100,70,30,58,67,68,93,69.4
4202,Best Cat Beds UK (2026) – Complete Guide,Dog Beds,100,76,40,52,59,66,93,69.4
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Dog Beds,100,81,36,52,57,68,91,69.3
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,100,84,45,52,49,62,93,69.3
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Supplies,100,72,25,49,80,63,93,68.9
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,96,78,35,49,62,72,88,68.6
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,100,81,36,52,56,64,91,68.6
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Dog Beds,100,73,36,52,64,64,91,68.6
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Grooming,100,73,30,58,65,54,100,68.6
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,100,85,36,52,48,64,93,68.3
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Puppy Care,100,65,37,54,67,64,88,67.9
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,100,69,32,47,62,70,93,67.6
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,100,83,32,53,48,62,95,67.6
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Dog Supplies,100,75,11,58,70,58,100,67.4
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,100,79,32,53,51,64,93,67.4
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Dog Beds,100,76,30,52,56,65,93,67.4
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Supplies,100,77,22,49,75,57,91,67.3
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Dog Supplies,95,77,2,68,75,53,99,67.0
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Supplies,100,74,20,49,75,60,91,67.0
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,100,74,2,74,65,61,93,67.0
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,100,76,22,55,65,59,91,66.9
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Puppy Care,100,42,42,56,75,59,93,66.7
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Puppy Care,82,69,30,47,70,69,100,66.7
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Supplies,100,72,22,47,80,57,88,66.6
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,100,77,2,58,75,60,93,66.4
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,100,74,23,47,62,67,91,66.3
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,100,58,32,50,80,54,88,66.0
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Supplies,100,70,18,55,75,55,88,65.9
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care General,100,77,9,58,70,59,88,65.9
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,100,79,20,59,54,56,93,65.9
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Supplies,80,75,24,49,80,60,91,65.6
4791,How to Choose the Right Dog Training Treats,Dog Training,100,76,13,55,65,57,93,65.6
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,100,84,4,49,70,61,91,65.6
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,100,66,22,49,70,60,91,65.4
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Supplies,100,67,24,49,75,56,86,65.3
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,37,86,31,50,82,79,90,65.0
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,82,70,0,73,75,61,93,64.9
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,100,75,13,56,62,55,93,64.9
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,82,73,2,71,75,62,86,64.4
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,100,79,13,56,59,53,91,64.4
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,80,72,2,58,85,64,88,64.1
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Puppy Care,100,70,9,61,67,51,90,64.0
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,100,68,6,55,75,53,91,64.0
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,100,65,18,59,72,46,87,63.9
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,82,60,26,50,75,61,93,63.9
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,96,71,52,56,20,59,93,63.9
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Grooming,41,64,30,70,85,61,95,63.7
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,100,67,25,78,35,51,90,63.7
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,100,79,0,50,67,57,93,63.7
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,100,49,24,50,75,57,90,63.6
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,82,77,15,55,65,58,93,63.6
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care General,100,77,0,58,65,53,91,63.4
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,82,77,13,59,72,63,77,63.3
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,82,66,13,56,75,65,85,63.1
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,72,75,11,56,75,62,85,62.3
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Dog Supplies,37,74,19,52,85,70,97,62.0
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,100,64,9,59,67,45,89,61.9
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,100,69,0,49,75,44,93,61.4
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Dog Grooming,96,59,41,56,34,51,93,61.4
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,100,44,20,51,75,45,92,61.0
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,100,54,9,65,67,42,88,60.7
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,82,72,11,49,62,54,93,60.4
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Dog Grooming,96,50,51,56,23,53,93,60.3
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,100,55,2,50,75,43,90,59.3
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,82,74,2,49,45,50,100,57.4
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,82,77,11,49,40,46,93,56.9
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Grooming,80,67,36,58,8,53,89,55.9
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Dog Grooming,94,56,34,56,8,48,89,55.0
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,82,80,13,58,8,51,92,54.9
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Puppy Care,20,65,51,56,20,59,97,52.6
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,20,81,25,20,62,69,83,51.4
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,73,72,20,56,8,45,75,49.9
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,98,67,2,56,8,41,71,49.0
8172,Our Research Standards,Uncategorized,60,80,0,55,0,47,88,47.1
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,80,67,2,50,8,45,78,47.1
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,41,79,4,55,8,55,86,46.9
8171,Why PetHub Online Exists,Uncategorized,0,80,7,55,0,44,77,37.6
