rank,id,title,cluster,authority_moat_score,strongest_moat,weakest_moat
79,4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Dog Harnesses,70.1,glossary_depth,practical_depth
80,7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,70.0,glossary_depth,practical_depth
81,4785,How to Wash and Maintain Your Dog's Bed,Dog Beds,70.0,glossary_depth,practical_depth
82,7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Puppy Care,69.9,glossary_depth,practical_depth
83,5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,69.9,glossary_depth,practical_depth
84,4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,69.9,glossary_depth,practical_depth
85,4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Indoor Cats,69.7,glossary_depth,practical_depth
86,7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,69.6,glossary_depth,practical_depth
87,5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,69.6,semantic_density,practical_depth
88,5414,Cat Toy Types Explained: A Complete Glossary,Cat Supplies,69.6,glossary_depth,practical_depth
89,5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Indoor Cats,69.6,glossary_depth,practical_depth
90,4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,69.6,glossary_depth,practical_depth
91,7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,69.4,glossary_depth,practical_depth
92,7341,First Week with a New Puppy: A Day-by-Day Guide,Puppy Care,69.4,glossary_depth,practical_depth
93,4202,Best Cat Beds UK (2026) – Complete Guide,Dog Beds,69.4,glossary_depth,practical_depth
94,4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Dog Beds,69.3,glossary_depth,practical_depth
95,4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,69.3,glossary_depth,practical_depth
96,5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Supplies,68.9,glossary_depth,practical_depth
97,4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,68.6,glossary_depth,practical_depth
98,4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,68.6,glossary_depth,practical_depth
99,4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Dog Beds,68.6,glossary_depth,practical_depth
100,4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Grooming,68.6,glossary_depth,practical_depth
101,4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,68.3,glossary_depth,practical_depth
102,7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Puppy Care,67.9,glossary_depth,practical_depth
103,5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,67.6,glossary_depth,practical_depth
104,4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,67.6,glossary_depth,practical_depth
105,5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Dog Supplies,67.4,glossary_depth,practical_depth
106,4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,67.4,glossary_depth,practical_depth
107,4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Dog Beds,67.4,glossary_depth,practical_depth
108,5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Supplies,67.3,glossary_depth,practical_depth
109,6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Dog Supplies,67.0,semantic_density,practical_depth
110,5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Dog Supplies,67.0,glossary_depth,practical_depth
111,5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,67.0,glossary_depth,practical_depth
112,4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,66.9,glossary_depth,practical_depth
113,7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Puppy Care,66.7,glossary_depth,trust_depth
114,5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Puppy Care,66.7,semantic_density,practical_depth
115,5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Supplies,66.6,glossary_depth,practical_depth
116,5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Dog Toys,66.4,glossary_depth,practical_depth
117,4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,66.3,glossary_depth,practical_depth
118,7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,66.0,glossary_depth,practical_depth
119,5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Supplies,65.9,glossary_depth,practical_depth
120,4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care General,65.9,glossary_depth,practical_depth
121,4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,65.9,glossary_depth,practical_depth
122,6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Supplies,65.6,semantic_density,practical_depth
123,4791,How to Choose the Right Dog Training Treats,Dog Training,65.6,glossary_depth,practical_depth
124,4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,65.6,glossary_depth,practical_depth
125,5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,65.4,glossary_depth,practical_depth
126,5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Supplies,65.3,glossary_depth,practical_depth
127,5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,65.0,semantic_density,practical_depth
128,5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,64.9,semantic_density,practical_depth
129,4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,64.9,glossary_depth,practical_depth
130,7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,64.4,semantic_density,practical_depth
131,4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,64.4,glossary_depth,practical_depth
132,5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,64.1,semantic_density,practical_depth
133,7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Puppy Care,64.0,glossary_depth,practical_depth
134,5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Dog Toys,64.0,glossary_depth,practical_depth
135,7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,63.9,glossary_depth,practical_depth
136,5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,63.9,semantic_density,practical_depth
137,4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,63.9,glossary_depth,faq_depth
138,5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Grooming,63.7,semantic_density,practical_depth
139,5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,63.7,glossary_depth,practical_depth
140,4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,63.7,glossary_depth,practical_depth
141,7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,63.6,glossary_depth,practical_depth
142,4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,63.6,semantic_density,practical_depth
143,4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care General,63.4,glossary_depth,practical_depth
144,7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,63.3,glossary_depth,practical_depth
145,7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,63.1,semantic_density,practical_depth
146,7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,62.3,semantic_density,practical_depth
147,5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Dog Supplies,62.0,semantic_density,practical_depth
148,7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,61.9,glossary_depth,practical_depth
149,4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,61.4,glossary_depth,practical_depth
150,4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Dog Grooming,61.4,glossary_depth,faq_depth
151,7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,61.0,glossary_depth,practical_depth
152,7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,60.7,glossary_depth,practical_depth
153,4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,60.4,semantic_density,practical_depth
154,4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Dog Grooming,60.3,glossary_depth,faq_depth
155,7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,59.3,glossary_depth,practical_depth
156,4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,57.4,semantic_density,practical_depth
157,5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,56.9,semantic_density,practical_depth
158,4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Grooming,55.9,semantic_density,faq_depth
159,4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Dog Grooming,55.0,glossary_depth,faq_depth
160,5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,54.9,semantic_density,faq_depth
161,4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Puppy Care,52.6,semantic_density,glossary_depth
162,3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,51.4,semantic_density,glossary_depth
163,4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,49.9,semantic_density,faq_depth
164,4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,49.0,glossary_depth,practical_depth
165,8172,Our Research Standards,Uncategorized,47.1,semantic_density,practical_depth
166,4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,47.1,glossary_depth,practical_depth
167,5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,46.9,semantic_density,practical_depth
168,8171,Why PetHub Online Exists,Uncategorized,37.6,trust_depth,glossary_depth
