source_id,source_title,target_id,target_title,suggested_anchor_text,corridor,priority
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,dog health terminology: understanding common veterinary,Educational <-> Dog Health,1
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,dog health terminology: understanding common veterinary,Educational <-> Dog Health,2
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,dog dental care teeth cleaning guide,Educational <-> Dog Health,3
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,dog dental care teeth cleaning guide,Educational <-> Dog Health,4
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,dog joint supplements mobility support guide,Educational <-> Dog Health,5
5419,Cat Care Basics: A Glossary for New Cat Owners,4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,dog dental care teeth cleaning guide,Educational <-> Dog Health,6
5419,Cat Care Basics: A Glossary for New Cat Owners,7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,dog health terminology: understanding common veterinary,Educational <-> Dog Health,7
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,dog dental care teeth cleaning guide,Educational <-> Dog Health,8
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,dog health terminology: understanding common veterinary,Educational <-> Dog Health,9
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,dog health terminology: understanding common veterinary,Educational <-> Dog Health,10
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,dog toy lifespan: when to replace,Educational <-> Dog Toys,1
5419,Cat Care Basics: A Glossary for New Cat Owners,4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,cat toys for indoor cats enrichment,Educational <-> Dog Toys,2
5419,Cat Care Basics: A Glossary for New Cat Owners,3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,interactive dog toys puzzle & enrichment,Educational <-> Dog Toys,3
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,interactive cat toys wand & puzzle,Educational <-> Dog Toys,4
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work","mental stimulation toys for dogs: puzzles,",Educational <-> Dog Toys,5
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,interactive dog toys puzzle & enrichment,Educational <-> Dog Toys,6
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,dog toy lifespan: when to replace,Educational <-> Dog Toys,7
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,cat toys for indoor cats enrichment,Educational <-> Dog Toys,8
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,5473,Senior Dog Toys: Gentle Play Options for Older Dogs,senior dog toys: gentle play options,Educational <-> Dog Toys,9
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,cat toys for indoor cats enrichment,Educational <-> Dog Toys,10
5419,Cat Care Basics: A Glossary for New Cat Owners,5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,indoor cat toys : complete guide,Educational <-> Cat Toys,1
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,indoor cat toys : complete guide,Educational <-> Cat Toys,2
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,indoor cat toys : complete guide,Educational <-> Cat Toys,3
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,indoor cat toys : complete guide,Educational <-> Cat Toys,4
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,4415,Cat Toy Safety Guide: What Every Owner Should Know,cat toy safety guide: what every,Educational <-> Cat Toys,5
5419,Cat Care Basics: A Glossary for New Cat Owners,4415,Cat Toy Safety Guide: What Every Owner Should Know,cat toy safety guide: what every,Educational <-> Cat Toys,6
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,diy cat toys: safe homemade options,Educational <-> Cat Toys,7
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,4415,Cat Toy Safety Guide: What Every Owner Should Know,cat toy safety guide: what every,Educational <-> Cat Toys,8
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,4415,Cat Toy Safety Guide: What Every Owner Should Know,cat toy safety guide: what every,Educational <-> Cat Toys,9
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,4408,How Often Should You Replace Cat Toys? A Practical Guide,how often should you replace cat,Educational <-> Cat Toys,10
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained","dog bed terminology: materials, types, and",Educational <-> Dog Beds,1
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,5416,Dog Bed Types Explained: A Complete Glossary,dog bed types explained: a complete,Educational <-> Dog Beds,2
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,cooling dog beds temperature regulation guide,Educational <-> Dog Beds,3
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,5416,Dog Bed Types Explained: A Complete Glossary,dog bed types explained: a complete,Educational <-> Dog Beds,4
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,seasonal dog bedding: adjusting comfort through,Educational <-> Dog Beds,5
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,dog bed placement guide: where to,Educational <-> Dog Beds,6
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,dog bed placement guide: where to,Educational <-> Dog Beds,7
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,dog bed sizing guide: how to,Educational <-> Dog Beds,8
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,dog beds complete guide & honest,Educational <-> Dog Beds,9
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,dog beds complete guide & honest,Educational <-> Dog Beds,10
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,dog behaviour explained: understanding your dog’s,Educational <-> Dog Training,1
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,dog behaviour explained: understanding your dog’s,Educational <-> Dog Training,2
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,cat play behaviour: what different play,Educational <-> Dog Training,3
5419,Cat Care Basics: A Glossary for New Cat Owners,5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,dog behaviour explained: understanding your dog’s,Educational <-> Dog Training,4
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,cat play behaviour: what different play,Educational <-> Dog Training,5
5419,Cat Care Basics: A Glossary for New Cat Owners,5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,cat play behaviour: what different play,Educational <-> Dog Training,6
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,dog behaviour explained: understanding your dog’s,Educational <-> Dog Training,7
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,cat scratching behaviour explained: why cats,Educational <-> Dog Training,8
5419,Cat Care Basics: A Glossary for New Cat Owners,4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,dog training and behaviour complete guide,Educational <-> Dog Training,9
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,cat play behaviour: what different play,Educational <-> Dog Training,10
5419,Cat Care Basics: A Glossary for New Cat Owners,4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,no pull dog harnesses training &,Educational <-> Dog Harnesses,1
5419,Cat Care Basics: A Glossary for New Cat Owners,4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,dog collars and harnesses complete guide,Educational <-> Dog Harnesses,2
5419,Cat Care Basics: A Glossary for New Cat Owners,4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,dog leads walking & training lead,Educational <-> Dog Harnesses,3
5419,Cat Care Basics: A Glossary for New Cat Owners,4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",dog harnesses: the complete guide to,Educational <-> Dog Harnesses,4
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,4412,No-Pull Dog Harness Guide: How They Work and When to Use One,no pull dog harness guide: how,Educational <-> Dog Harnesses,5
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,dog leads walking & training lead,Educational <-> Dog Harnesses,6
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,no pull dog harnesses training &,Educational <-> Dog Harnesses,7
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,dog collars and harnesses complete guide,Educational <-> Dog Harnesses,8
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,dog leads walking & training lead,Educational <-> Dog Harnesses,9
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,5418,Dog Harness Types Explained: Finding the Right Fit,dog harness types explained: finding the,Educational <-> Dog Harnesses,10
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,4321,Best Cat Litter UK (2026) – Types & Comparison Guide,cat litter types & comparison guide,Educational <-> Cat Supplies,1
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,4321,Best Cat Litter UK (2026) – Types & Comparison Guide,cat litter types & comparison guide,Educational <-> Cat Supplies,2
5419,Cat Care Basics: A Glossary for New Cat Owners,4321,Best Cat Litter UK (2026) – Types & Comparison Guide,cat litter types & comparison guide,Educational <-> Cat Supplies,3
5419,Cat Care Basics: A Glossary for New Cat Owners,4314,Best Cat Litter Trays UK (2026) – Complete Guide,cat litter trays complete guide,Educational <-> Cat Supplies,4
5419,Cat Care Basics: A Glossary for New Cat Owners,4258,Best Cat Collars UK (2026) – Complete Safety Guide,cat collars complete safety guide,Educational <-> Cat Supplies,5
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,4321,Best Cat Litter UK (2026) – Types & Comparison Guide,cat litter types & comparison guide,Educational <-> Cat Supplies,6
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,cat litter disposal waste management guide,Educational <-> Cat Supplies,7
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,4314,Best Cat Litter Trays UK (2026) – Complete Guide,cat litter trays complete guide,Educational <-> Cat Supplies,8
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,4258,Best Cat Collars UK (2026) – Complete Safety Guide,cat collars complete safety guide,Educational <-> Cat Supplies,9
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,heated cat beds winter warmth guide,Educational <-> Cat Supplies,10
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,puppy care essentials: key terms every,Educational <-> Puppy Care,1
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,puppy care essentials: key terms every,Educational <-> Puppy Care,2
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,puppy care glossary: essential terms for,Educational <-> Puppy Care,3
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,puppy care essentials: key terms every,Educational <-> Puppy Care,4
5419,Cat Care Basics: A Glossary for New Cat Owners,5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,puppy care essentials: key terms every,Educational <-> Puppy Care,5
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,puppy toys teething & first toys,Educational <-> Puppy Care,6
5419,Cat Care Basics: A Glossary for New Cat Owners,4132,Best Puppy Training Guide UK (2026) – First Year Essentials,puppy training guide first year essentials,Educational <-> Puppy Care,7
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,puppy toys teething & first toys,Educational <-> Puppy Care,8
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,puppy care essentials: key terms every,Educational <-> Puppy Care,9
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,puppy care glossary: essential terms for,Educational <-> Puppy Care,10
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,dog nail clippers trimming & grinding,Educational <-> Dog Grooming,1
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,cat nail clippers safe trimming guide,Educational <-> Dog Grooming,2
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,4064,Best Dog Brushes UK (2026) – Guide by Coat Type,dog brushes guide by coat type,Educational <-> Dog Grooming,3
5419,Cat Care Basics: A Glossary for New Cat Owners,4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,dog grooming supplies complete guide,Educational <-> Dog Grooming,4
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,4237,Best Cat Brushes UK (2026) – Guide by Coat Type,cat brushes guide by coat type,Educational <-> Dog Grooming,5
5419,Cat Care Basics: A Glossary for New Cat Owners,4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,cat nail clippers safe trimming guide,Educational <-> Dog Grooming,6
5419,Cat Care Basics: A Glossary for New Cat Owners,4064,Best Dog Brushes UK (2026) – Guide by Coat Type,dog brushes guide by coat type,Educational <-> Dog Grooming,7
5419,Cat Care Basics: A Glossary for New Cat Owners,4237,Best Cat Brushes UK (2026) – Guide by Coat Type,cat brushes guide by coat type,Educational <-> Dog Grooming,8
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,4563,Dog Grooming Basics: A Complete Guide for Owners,dog grooming basics: a complete guide,Educational <-> Dog Grooming,9
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,dog grooming supplies complete guide,Educational <-> Dog Grooming,10
5419,Cat Care Basics: A Glossary for New Cat Owners,5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,indoor cat care: a complete guide,Educational <-> Indoor Cats,1
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,indoor cat care: a complete guide,Educational <-> Indoor Cats,2
5419,Cat Care Basics: A Glossary for New Cat Owners,7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,indoor cat exercise: keeping house cats,Educational <-> Indoor Cats,3
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,indoor cat exercise: keeping house cats,Educational <-> Indoor Cats,4
