Post ID,Slug,URL,Status,In Sitemap,Notes
4146,best-dog-bowls-feeding-uk,https://pethubonline.com/best-dog-bowls-feeding-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
4139,best-dog-training-leads-uk,https://pethubonline.com/best-dog-training-leads-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
4132,best-puppy-training-guide-uk,https://pethubonline.com/best-puppy-training-guide-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
4125,best-dog-training-treats-uk,https://pethubonline.com/best-dog-training-treats-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
4118,best-dog-training-behaviour-uk,https://pethubonline.com/best-dog-training-behaviour-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
4110,best-dog-joint-supplements-uk,https://pethubonline.com/best-dog-joint-supplements-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
4103,best-dog-flea-treatment-uk,https://pethubonline.com/best-dog-flea-treatment-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
4096,best-dog-dental-care-uk,https://pethubonline.com/best-dog-dental-care-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
4089,best-dog-health-care-uk,https://pethubonline.com/best-dog-health-care-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
4078,best-dog-nail-clippers-uk,https://pethubonline.com/best-dog-nail-clippers-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
4071,best-dog-shampoo-uk,https://pethubonline.com/best-dog-shampoo-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
4064,best-dog-brushes-uk,https://pethubonline.com/best-dog-brushes-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
4057,best-dog-grooming-supplies-uk,https://pethubonline.com/best-dog-grooming-supplies-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
4049,best-puppy-collars-uk,https://pethubonline.com/best-puppy-collars-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
4042,best-dog-leads-uk,https://pethubonline.com/best-dog-leads-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
4034,best-no-pull-dog-harnesses-uk,https://pethubonline.com/best-no-pull-dog-harnesses-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
4027,best-dog-collars-and-harnesses-uk,https://pethubonline.com/best-dog-collars-and-harnesses-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
4018,best-puppy-beds-uk,https://pethubonline.com/best-puppy-beds-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
4011,best-cooling-dog-beds-uk,https://pethubonline.com/best-cooling-dog-beds-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
4004,best-orthopaedic-dog-beds-uk,https://pethubonline.com/best-orthopaedic-dog-beds-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
3996,best-dog-beds-uk,https://pethubonline.com/best-dog-beds-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
3960,best-puppy-toys-uk,https://pethubonline.com/best-puppy-toys-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
3959,best-interactive-dog-toys-uk,https://pethubonline.com/best-interactive-dog-toys-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
3957,best-indestructible-dog-toys-uk,https://pethubonline.com/best-indestructible-dog-toys-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
3956,best-dog-toys-uk,https://pethubonline.com/best-dog-toys-uk/,publish,No,MISSING - Rank Math internal table not populated for API-created posts
3839,best-puppy-food-uk,https://pethubonline.com/best-puppy-food-uk/,publish,Yes,OK
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/dry-vs-wet-dog-food-uk/,publish,Yes,OK
3837,best-dry-dog-food-uk,https://pethubonline.com/best-dry-dog-food-uk/,publish,Yes,OK
3836,best-dog-food-uk,https://pethubonline.com/best-dog-food-uk/,publish,Yes,OK
696,essential-cat-supplies-for-cat-owners,https://pethubonline.com/essential-cat-supplies-for-cat-owners/,publish,Yes,OK
3,top-dog-toys-every-pet-owner-needs-in-2026,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026/,publish,Yes,OK
,,,,,
SUMMARY,6 URLs in sitemap,58 published posts,6 in sitemap,52 missing,
ROOT CAUSE,Posts created via REST API not registered in Rank Math internal sitemap table,,,,
ACTION TAKEN,Registered all 58 posts with Rank Math via updateMeta API (focus keywords + robots meta),,,,
ACTION TAKEN,Toggled sitemap module off/on to force regeneration,,,,
ACTION TAKEN,Submitted 4 Dog Food URLs via Rank Math Instant Indexing (success),,,,
REMAINING,52 non-food posts still missing from sitemap. Requires editor-based save or Rank Math support.,,,,
