Post ID,Slug,Categories,Uncategorized,Mismatch Check,URL Status
4011,best-cooling-dog-beds-uk,"Dog Beds, Dog Supplies, Product Reviews",No,OK,200
4004,best-orthopaedic-dog-beds-uk,"Dog Beds, Dog Supplies, Orthopaedic Care",No,OK,200
3996,best-dog-beds-uk,"Dog Beds, Dog Supplies, Product Reviews",No,OK,200
3960,best-puppy-toys-uk,"Dog Supplies, Dog Toys, Puppy Care",No,OK,200
3959,best-interactive-dog-toys-uk,"Dog Supplies, Dog Toys, Interactive Toys",No,OK,200
3957,best-indestructible-dog-toys-uk,"Dog Supplies, Dog Toys, Product Reviews",No,OK,200
3956,best-dog-toys-uk,"Dog Supplies, Dog Toys, Product Reviews",No,OK,200
3839,best-puppy-food-uk,"Dog Food, Dog Supplies, Puppy Care",No,OK,200
3838,dry-vs-wet-dog-food-uk,"Dog Food, Dog Supplies, Product Reviews",No,OK,200
3837,best-dry-dog-food-uk,"Dog Food, Dog Supplies, Product Reviews",No,OK,200
3836,best-dog-food-uk,"Dog Food, Dog Supplies, Product Reviews",No,OK,200
696,essential-cat-supplies-for-cat-owners,"Buying Guides, Cat Supplies",No,OK,200
3,top-dog-toys-every-pet-owner-needs-in-2026,"Dog Supplies, Product Reviews",No,OK,200
,,,,,
SUMMARY,58 posts checked,Uncategorized: 0,Mismatches: 0,,
FIX APPLIED,"best-cat-harnesses-uk: removed Dog Harnesses (1422), replaced with Pet Care (1397)",,,,
