post_id,title,table_count,total_rows,max_columns,has_comparison_heading,has_vs_structure,comparison_score
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,0,0,0,True,False,10
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,0,0,0,True,False,10
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,0,0,0,True,False,10
4272,Best Cat ID Tags UK (2026) – Identification Guide,0,0,0,True,False,10
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,0,0,0,True,False,10
4258,Best Cat Collars UK (2026) – Complete Safety Guide,0,0,0,True,False,10
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,0,0,0,True,False,10
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,0,0,0,True,False,10
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,0,0,0,True,False,10
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,0,0,0,True,False,10
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,0,0,0,True,False,10
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,0,0,0,True,False,10
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,0,0,0,True,False,10
4202,Best Cat Beds UK (2026) – Complete Guide,0,0,0,True,False,10
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,0,0,0,True,False,10
4188,Best Catnip Toys UK (2026) – What Works and Why,0,0,0,True,False,10
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,0,0,0,True,False,10
4174,Best Cat Toys UK (2026) – Complete Guide,0,0,0,True,False,10
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,0,0,0,True,False,10
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,0,0,0,True,False,10
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,0,0,0,True,False,10
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,0,0,0,True,False,10
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,0,0,0,True,False,10
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,0,0,0,True,False,10
4125,Best Dog Training Treats UK (2026) – Reward Guide,0,0,0,True,False,10
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,0,0,0,True,False,10
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,0,0,0,True,False,10
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,0,0,0,True,False,10
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,0,0,0,True,False,10
4089,Best Dog Health and Care UK (2026) – Complete Guide,0,0,0,True,False,10
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,0,0,0,True,False,10
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,0,0,0,True,False,10
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,0,0,0,True,False,10
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,0,0,0,True,False,10
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,0,0,0,True,False,10
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,0,0,0,True,False,10
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,0,0,0,True,False,10
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,0,0,0,True,False,10
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,0,0,0,True,False,10
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,0,0,0,True,False,10
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,0,0,0,True,False,10
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,0,0,0,True,False,10
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,0,0,0,True,False,10
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,0,0,0,True,False,10
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,0,0,0,True,False,10
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,0,0,0,True,False,10
5950,Dog Toy Durability Guide: What Lasts and What Does Not,0,0,0,False,False,0
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",0,0,0,False,False,0
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,0,0,0,False,False,0
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,0,0,0,False,False,0
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,0,0,0,False,False,0
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",0,0,0,False,False,0
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,0,0,0,False,False,0
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,0,0,0,False,False,0
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",0,0,0,False,False,0
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,0,0,0,False,False,0
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",0,0,0,False,False,0
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,0,0,0,False,False,0
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",0,0,0,False,False,0
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,0,0,0,False,False,0
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,0,0,0,False,False,0
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,0,0,0,False,False,0
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",0,0,0,False,False,0
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,0,0,0,False,False,0
5462,Dog Training Terminology Explained: Key Concepts for New Owners,0,0,0,False,False,0
5425,Dog Toys FAQ: Common Questions Answered,0,0,0,False,False,0
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,0,0,0,False,False,0
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,0,0,0,False,False,0
5419,Cat Care Basics: A Glossary for New Cat Owners,0,0,0,False,False,0
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,0,0,0,False,False,0
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,0,0,0,False,False,0
5414,Cat Toy Types Explained: A Complete Glossary,0,0,0,False,False,0
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,0,0,0,False,False,0
5033,How to Choose the Right Cat Toy for Your Cat's Personality,0,0,0,False,False,0
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,0,0,0,False,False,0
5032,Cat Toys FAQ: Common Questions Answered,0,0,0,False,False,0
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,0,0,0,False,False,0
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,0,0,0,False,False,0
4792,Puppy Socialisation: A Complete Timeline Guide,0,0,0,False,False,0
4791,How to Choose the Right Dog Training Treats,0,0,0,False,False,0
4790,DIY Dog Toys: Safe Homemade Options,0,0,0,False,False,0
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,0,0,0,False,False,0
4787,Dog Toy Safety: What Every Owner Needs to Know,0,0,0,False,False,0
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,0,0,0,False,False,0
4785,How to Wash and Maintain Your Dog's Bed,0,0,0,False,False,0
4573,Seasonal Pet Safety: Protecting Pets Through the Year,0,0,0,False,False,0
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,0,0,0,False,False,0
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,0,0,0,False,False,0
4571,Pet First Aid Basics: What Every Owner Should Know,0,0,0,False,False,0
4568,Dog Dental Health: A Practical Care Guide,0,0,0,False,False,0
4563,Dog Grooming Basics: A Complete Guide for Owners,0,0,0,False,False,0
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,0,0,0,False,False,0
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,0,0,0,False,False,0
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,0,0,0,False,False,0
4408,How Often Should You Replace Cat Toys? A Practical Guide,0,0,0,False,False,0
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,0,0,0,False,False,0
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,0,0,0,False,False,0
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,0,0,0,False,False,0
