post_id,title,has_trust_block,has_disclosure,has_methodology_link,has_corrections_link,has_ai_transparency,has_qa_link,has_date_updated,has_external_trust_refs,trust_density_score
4272,Best Cat ID Tags UK (2026) – Identification Guide,True,True,True,True,True,True,False,False,75
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,True,True,True,True,True,True,False,False,75
4258,Best Cat Collars UK (2026) – Complete Safety Guide,True,True,True,True,True,True,False,False,75
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,True,True,True,True,True,True,False,False,75
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,True,True,True,True,True,True,False,False,75
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,True,True,True,True,True,True,False,False,75
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,True,True,True,True,True,True,False,False,75
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,True,True,True,True,True,True,False,False,75
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,True,True,True,True,True,True,False,False,75
4202,Best Cat Beds UK (2026) – Complete Guide,True,True,True,True,True,True,False,False,75
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,True,True,True,True,True,True,False,False,75
4188,Best Catnip Toys UK (2026) – What Works and Why,True,True,True,True,True,True,False,False,75
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,True,True,True,True,True,True,False,False,75
4174,Best Cat Toys UK (2026) – Complete Guide,True,True,True,True,True,True,False,False,75
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,True,True,True,True,True,True,False,False,75
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,True,True,True,True,True,True,False,False,75
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,True,True,True,True,True,True,False,False,75
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,True,True,True,True,True,True,False,False,75
4125,Best Dog Training Treats UK (2026) – Reward Guide,True,True,True,True,True,True,False,False,75
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,True,True,True,True,True,True,False,False,75
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,True,True,True,True,True,True,False,False,75
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,True,True,True,True,True,True,False,False,75
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,True,True,True,True,True,True,False,False,75
4089,Best Dog Health and Care UK (2026) – Complete Guide,True,True,True,True,True,True,False,False,75
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,True,True,True,True,True,True,False,False,75
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,True,True,True,True,True,True,False,False,75
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,True,True,True,True,True,True,False,False,75
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,True,True,True,True,True,True,False,False,75
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,True,True,True,True,True,True,False,False,75
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,True,True,True,True,True,True,False,False,75
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,True,True,True,True,True,True,False,False,75
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,True,True,True,True,True,True,False,False,75
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,True,True,True,True,True,True,False,False,75
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,True,True,True,True,True,True,False,False,75
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,True,True,True,True,True,True,False,False,75
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,True,True,True,True,True,True,False,False,75
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,True,True,True,True,True,True,False,False,75
3836,Best Dog Food UK (2026) - Complete Buying Guide,True,True,True,True,True,True,False,False,75
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,True,True,True,True,True,True,False,False,75
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",False,True,True,True,True,True,False,True,70
4791,How to Choose the Right Dog Training Treats,True,False,True,True,True,True,True,False,70
4790,DIY Dog Toys: Safe Homemade Options,True,False,True,True,True,True,True,False,70
4789,Best Types of Dog Toys for Different Play Styles,True,False,True,True,True,True,True,False,70
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,True,False,True,True,True,True,True,False,70
4787,Dog Toy Safety: What Every Owner Needs to Know,True,False,True,True,True,True,True,False,70
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,True,False,True,True,True,True,True,False,70
4785,How to Wash and Maintain Your Dog's Bed,True,False,True,True,True,True,True,False,70
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",True,False,True,True,True,True,True,False,70
4783,How to Choose the Right Dog Bed Size,True,False,True,True,True,True,True,False,70
4573,Seasonal Pet Safety: Protecting Pets Through the Year,True,False,True,True,True,True,True,False,70
4570,First-Time Dog Owner Essentials: What You Need to Know,True,False,True,True,True,True,True,False,70
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,True,False,True,True,True,True,True,False,70
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,True,False,True,True,True,True,True,False,70
4571,Pet First Aid Basics: What Every Owner Should Know,True,False,True,True,True,True,True,False,70
4568,Dog Dental Health: A Practical Care Guide,False,True,True,True,True,False,True,True,70
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,True,False,True,True,True,True,True,False,70
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,True,False,True,True,True,True,True,False,70
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,True,False,True,True,True,True,True,False,70
5950,Dog Toy Durability Guide: What Lasts and What Does Not,True,False,True,True,True,True,False,False,60
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",True,False,True,True,True,True,False,False,60
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,True,False,True,True,True,True,False,False,60
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,True,False,True,True,True,True,False,False,60
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,True,False,True,True,True,True,False,False,60
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,True,False,True,True,True,True,False,False,60
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",True,False,True,True,True,True,False,False,60
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,True,False,True,True,True,True,False,False,60
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,True,False,True,True,True,True,False,False,60
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,True,False,True,True,True,True,False,False,60
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",True,False,True,True,True,True,False,False,60
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,True,False,True,True,True,True,False,False,60
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,True,False,True,True,True,True,False,False,60
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,True,False,True,True,True,True,False,False,60
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",True,False,True,True,True,True,False,False,60
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,True,False,True,True,True,True,False,False,60
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",True,False,True,True,True,True,False,False,60
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,True,False,True,True,True,True,False,False,60
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,True,False,True,True,True,True,False,False,60
5462,Dog Training Terminology Explained: Key Concepts for New Owners,True,False,True,True,True,True,False,False,60
5425,Dog Toys FAQ: Common Questions Answered,True,False,True,True,True,True,False,False,60
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,True,False,True,True,True,True,False,False,60
5423,Dog Toy Enrichment: Beyond Basic Fetch,True,False,True,True,True,True,False,False,60
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,True,False,True,True,True,True,False,False,60
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,True,False,True,True,True,True,False,False,60
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,True,False,True,True,True,True,False,False,60
5419,Cat Care Basics: A Glossary for New Cat Owners,True,False,True,True,True,True,False,False,60
5418,Dog Harness Types Explained: Finding the Right Fit,True,False,True,True,True,True,False,False,60
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,True,False,True,True,True,True,False,False,60
5416,Dog Bed Types Explained: A Complete Glossary,True,False,True,True,True,True,False,False,60
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,True,False,True,True,True,True,False,False,60
5414,Cat Toy Types Explained: A Complete Glossary,True,False,True,True,True,True,False,False,60
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,True,False,True,True,True,True,False,False,60
5033,How to Choose the Right Cat Toy for Your Cat's Personality,True,False,True,True,True,True,False,False,60
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,True,False,True,True,True,True,False,False,60
5032,Cat Toys FAQ: Common Questions Answered,True,False,True,True,True,True,False,False,60
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,True,False,True,True,True,True,False,False,60
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,True,False,True,True,True,True,False,False,60
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,False,True,True,True,True,False,False,True,60
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,True,False,True,True,True,True,False,False,60
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,True,False,True,True,True,True,False,False,60
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,True,False,True,True,True,True,False,False,60
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,True,False,True,True,True,True,False,False,60
4563,Dog Grooming Basics: A Complete Guide for Owners,False,True,True,True,True,False,True,False,55
4415,Cat Toy Safety Guide: What Every Owner Should Know,False,True,True,True,True,False,True,False,55
4414,Harness vs Collar: Which Is Better for Your Dog?,False,True,True,True,True,False,True,False,55
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,False,True,True,True,True,False,True,False,55
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,False,True,True,True,True,False,True,False,55
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",False,True,True,True,True,False,True,False,55
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,False,True,True,True,True,False,True,False,55
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,False,True,True,True,True,False,True,False,55
4408,How Often Should You Replace Cat Toys? A Practical Guide,False,True,True,True,True,False,True,False,55
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,False,True,True,True,True,False,False,False,45
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,False,True,True,True,True,False,False,False,45
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,False,True,True,True,True,False,False,False,45
