post_id,title,has_external_refs,external_ref_count,has_definitions,has_summary_block,has_faq,faq_count,has_trust_block,has_comparison_table,citation_score
4791,How to Choose the Right Dog Training Treats,False,0,True,False,True,5,True,False,50
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,False,0,True,False,True,5,True,False,50
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,False,0,True,False,True,5,True,False,50
4785,How to Wash and Maintain Your Dog's Bed,False,0,True,False,True,5,True,False,50
4783,How to Choose the Right Dog Bed Size,False,0,True,False,True,6,True,False,50
4573,Seasonal Pet Safety: Protecting Pets Through the Year,False,0,True,False,True,5,True,False,50
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,False,0,True,False,True,6,True,False,50
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,False,0,True,False,True,5,True,False,50
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,False,0,True,False,True,9,True,False,50
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,False,0,True,False,True,9,True,False,50
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,False,0,True,False,True,7,True,False,50
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,False,0,True,False,True,8,True,False,50
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,False,0,True,False,True,9,True,False,50
4314,Best Cat Litter Trays UK (2026) – Complete Guide,False,0,True,False,True,8,True,False,50
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,False,0,True,False,True,8,True,False,50
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,False,0,True,False,True,8,True,False,50
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,False,0,True,False,True,8,True,False,50
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,False,0,True,False,True,8,True,False,50
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,False,0,True,False,True,7,True,False,50
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,False,0,True,False,True,7,True,False,50
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,False,0,True,False,True,8,True,False,50
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,False,0,True,False,True,7,True,False,50
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,False,0,True,False,True,8,True,False,50
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,False,0,True,False,True,7,True,False,50
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,False,0,True,False,True,7,True,False,50
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,False,0,True,False,True,7,True,False,50
4202,Best Cat Beds UK (2026) – Complete Guide,False,0,True,False,True,9,True,False,50
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,False,0,True,False,True,8,True,False,50
4188,Best Catnip Toys UK (2026) – What Works and Why,False,0,True,False,True,8,True,False,50
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,False,0,True,False,True,8,True,False,50
4174,Best Cat Toys UK (2026) – Complete Guide,False,0,True,False,True,9,True,False,50
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,False,0,True,False,True,9,True,False,50
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,False,0,True,False,True,10,True,False,50
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,False,0,True,False,True,8,True,False,50
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,False,0,True,False,True,9,True,False,50
4125,Best Dog Training Treats UK (2026) – Reward Guide,False,0,True,False,True,8,True,False,50
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,False,0,True,False,True,8,True,False,50
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,False,0,True,False,True,9,True,False,50
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,False,0,True,False,True,8,True,False,50
4089,Best Dog Health and Care UK (2026) – Complete Guide,False,0,True,False,True,8,True,False,50
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,False,0,True,False,True,7,True,False,50
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,False,0,True,False,True,9,True,False,50
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,False,0,True,False,True,9,True,False,50
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,False,0,True,False,True,9,True,False,50
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,False,0,True,False,True,8,True,False,50
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,False,0,True,False,True,10,True,False,50
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,False,0,True,False,True,8,True,False,50
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,False,0,True,False,True,9,True,False,50
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,False,0,True,False,True,9,True,False,50
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,False,0,True,False,True,11,True,False,50
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,False,0,True,False,True,15,True,False,50
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,False,0,True,False,True,19,True,False,50
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,False,0,True,False,True,15,True,False,50
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,False,0,True,False,True,1,True,True,48
4571,Pet First Aid Basics: What Every Owner Should Know,False,0,True,False,True,4,True,False,47
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,False,0,True,False,True,4,True,False,47
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",False,0,False,False,True,29,True,True,45
5462,Dog Training Terminology Explained: Key Concepts for New Owners,False,0,False,True,True,26,True,False,45
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,True,1,True,False,True,0,False,False,45
5033,How to Choose the Right Cat Toy for Your Cat's Personality,False,0,True,False,True,3,True,False,44
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,False,0,True,False,True,3,True,False,44
5032,Cat Toys FAQ: Common Questions Answered,False,0,True,False,True,3,True,False,44
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,False,0,True,False,True,3,True,False,44
4272,Best Cat ID Tags UK (2026) – Identification Guide,False,0,True,False,True,2,True,False,41
4258,Best Cat Collars UK (2026) – Complete Safety Guide,False,0,True,False,True,2,True,False,41
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,False,0,True,False,True,2,True,False,41
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",True,2,False,False,True,1,False,False,38
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,False,0,True,False,True,1,True,False,38
5423,Dog Toy Enrichment: Beyond Basic Fetch,False,0,True,False,True,1,True,False,38
4414,Harness vs Collar: Which Is Better for Your Dog?,False,0,True,False,True,1,False,True,38
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",False,0,True,False,True,1,False,True,38
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,False,0,False,False,True,29,True,False,35
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,False,0,False,False,True,25,True,False,35
5425,Dog Toys FAQ: Common Questions Answered,False,0,True,False,True,0,True,False,35
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,False,0,True,False,True,0,True,False,35
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,False,0,True,False,True,0,True,False,35
4790,DIY Dog Toys: Safe Homemade Options,False,0,True,False,True,0,True,False,35
4789,Best Types of Dog Toys for Different Play Styles,False,0,True,False,True,0,True,False,35
4787,Dog Toy Safety: What Every Owner Needs to Know,False,0,True,False,True,0,True,False,35
4563,Dog Grooming Basics: A Complete Guide for Owners,False,0,True,False,True,0,False,False,25
4415,Cat Toy Safety Guide: What Every Owner Should Know,False,0,True,False,True,0,False,False,25
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,False,0,True,False,True,0,False,False,25
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,False,0,True,False,True,0,False,False,25
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,False,0,True,False,True,0,False,False,25
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,False,0,True,False,True,0,False,False,25
4408,How Often Should You Replace Cat Toys? A Practical Guide,False,0,True,False,True,0,False,False,25
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,False,0,True,False,True,0,False,False,25
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,False,0,True,False,True,0,False,False,25
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,False,0,True,False,True,0,False,False,25
