post_id,title,total_internal_links,glossary_links,faq_links,trust_links,educational_links,hub_links,valid_links,broken_links,semantic_link_score
4570,First-Time Dog Owner Essentials: What You Need to Know,6,1,0,4,0,0,1,5,45
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,8,1,0,4,0,0,2,6,45
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,7,0,0,4,0,1,0,7,45
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,7,0,0,4,0,1,0,7,45
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,7,0,0,4,0,1,0,7,45
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,7,0,0,4,0,1,0,7,45
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,7,0,0,4,0,1,0,7,45
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,7,0,0,4,0,1,0,7,45
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,7,0,0,4,0,1,0,7,45
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,9,0,0,4,0,1,1,8,45
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,13,0,0,4,0,5,0,13,45
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,8,0,0,4,0,3,0,8,45
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,6,0,0,4,1,0,2,4,40
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",6,0,0,4,1,0,2,4,40
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,7,0,0,4,1,0,3,4,40
5423,Dog Toy Enrichment: Beyond Basic Fetch,11,0,0,4,1,0,7,4,40
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,11,0,0,4,1,0,7,4,40
5419,Cat Care Basics: A Glossary for New Cat Owners,6,0,0,4,1,0,2,4,40
4791,How to Choose the Right Dog Training Treats,7,0,0,4,1,0,2,5,40
4787,Dog Toy Safety: What Every Owner Needs to Know,8,0,0,4,1,0,2,6,40
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,7,0,0,4,1,0,2,5,40
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,6,0,0,4,1,0,1,5,40
4563,Dog Grooming Basics: A Complete Guide for Owners,7,0,0,4,1,0,1,6,40
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,8,0,0,4,1,0,1,7,40
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",7,0,0,4,0,0,3,4,35
4790,DIY Dog Toys: Safe Homemade Options,9,0,0,4,0,0,3,6,35
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,7,0,0,4,0,0,1,6,35
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,5,0,0,4,0,0,0,5,35
4571,Pet First Aid Basics: What Every Owner Should Know,5,0,0,4,0,0,0,5,35
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,5,0,0,4,0,0,0,5,35
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,5,0,0,4,0,0,1,4,35
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,7,0,0,4,0,0,0,7,35
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,7,0,0,4,0,0,0,7,35
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,7,0,0,4,0,0,0,7,35
4202,Best Cat Beds UK (2026) – Complete Guide,7,0,0,4,0,0,0,7,35
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,8,0,0,4,0,0,1,7,35
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,7,0,0,4,0,0,0,7,35
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,7,0,0,4,0,0,0,7,35
4125,Best Dog Training Treats UK (2026) – Reward Guide,7,0,0,4,0,0,0,7,35
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,7,0,0,4,0,0,0,7,35
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,7,0,0,4,0,0,0,7,35
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,7,0,0,4,0,0,0,7,35
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,7,0,0,4,0,0,0,7,35
4089,Best Dog Health and Care UK (2026) – Complete Guide,7,0,0,4,0,0,0,7,35
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,6,0,0,4,0,0,0,6,35
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,7,0,0,4,0,0,0,7,35
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,7,0,0,4,0,0,0,7,35
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,7,0,0,4,0,0,0,7,35
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,8,0,0,4,0,0,3,5,35
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,8,0,0,4,0,0,3,5,35
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,8,0,0,4,0,0,3,5,35
3836,Best Dog Food UK (2026) - Complete Buying Guide,5,0,0,4,0,0,0,5,35
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,4,0,0,4,0,0,0,4,31
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",4,0,0,4,0,0,0,4,31
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,4,0,0,4,0,0,0,4,31
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,4,0,0,4,0,0,0,4,31
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,4,0,0,4,0,0,0,4,31
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,4,0,0,4,0,0,0,4,31
5418,Dog Harness Types Explained: Finding the Right Fit,4,0,0,4,0,0,0,4,31
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,4,0,0,4,0,0,0,4,31
5416,Dog Bed Types Explained: A Complete Glossary,4,0,0,4,0,0,0,4,31
