id,title,cluster,methodology_depth,source_support,editorial_transparency,evidence_support,correction_visibility,disclosure_visibility,ai_transparency,overall_score
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Dog Toys,1.00,1.00,1.00,1.00,1.00,1.00,1.00,100.0
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,1.00,1.00,1.00,1.00,1.00,1.00,1.00,100.0
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Dog Training,0.67,1.00,1.00,0.67,1.00,1.00,1.00,88.2
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,1.00,1.00,1.00,1.00,1.00,1.00,1.00,100.0
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,1.00,1.00,1.00,1.00,1.00,1.00,1.00,100.0
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,1.00,1.00,1.00,0.33,1.00,1.00,1.00,88.2
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,1.00,1.00,1.00,0.33,1.00,1.00,1.00,88.2
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Dog Training,0.67,1.00,1.00,0.67,1.00,1.00,1.00,88.2
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Dog Toys,1.00,1.00,1.00,1.00,1.00,1.00,1.00,100.0
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Dog Toys,1.00,1.00,1.00,1.00,1.00,1.00,1.00,100.0
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Training,1.00,1.00,1.00,0.33,1.00,1.00,1.00,88.2
4791,How to Choose the Right Dog Training Treats,Dog Training,1.00,1.00,1.00,1.00,1.00,1.00,1.00,100.0
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,1.00,1.00,1.00,0.33,1.00,1.00,1.00,88.2
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,1.00,1.00,1.00,1.00,1.00,1.00,1.00,100.0
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,1.00,1.00,1.00,1.00,1.00,1.00,1.00,100.0
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,1.00,1.00,1.00,0.33,1.00,1.00,1.00,88.2
4415,Cat Toy Safety Guide: What Every Owner Should Know,Dog Toys,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Dog Toys,1.00,1.00,1.00,1.00,1.00,1.00,1.00,100.0
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Dog Toys,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Training,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Training,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Training,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,1.00,1.00,1.00,0.67,1.00,1.00,1.00,94.1
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,1.00,1.00,1.00,0.33,1.00,1.00,1.00,88.2
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,1.00,1.00,1.00,1.00,1.00,1.00,1.00,100.0
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,0.67,1.00,1.00,0.67,1.00,1.00,1.00,88.2
7337,Puppy Vaccination Schedule UK: What to Expect and When,Puppy Care,0.33,1.00,1.00,0.67,1.00,1.00,1.00,82.4
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Puppy Care,0.33,1.00,1.00,0.67,1.00,1.00,1.00,82.4
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Puppy Care,0.33,1.00,1.00,0.67,1.00,1.00,1.00,82.4
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Puppy Care,0.33,1.00,1.00,0.67,1.00,1.00,1.00,82.4
7341,First Week with a New Puppy: A Day-by-Day Guide,Puppy Care,0.33,1.00,1.00,0.67,1.00,1.00,1.00,82.4
