# generated_at: 2026-05-27T20:16:06Z
# verification_type: post_bulk_update
# sitemap_before: 6
# sitemap_after: 58
# posts_recovered: 52
# still_missing: 0
# issues_found: 0
post_id,slug,title,was_in_sitemap,now_in_sitemap,status,content_changed,categories_changed,modified_before,modified_after,url_status
4181,best-interactive-cat-toys-uk,Best Interactive Cat Toys UK (2026) – Wand &#038; Puzzle Gui,no,yes,RECOVERED,no,no,2026-05-27T19:46:10,2026-05-27T21:12:50,200
4174,best-cat-toys-uk,Best Cat Toys UK (2026) – Complete Guide,no,yes,RECOVERED,no,no,2026-05-27T19:46:15,2026-05-27T21:12:50,200
4167,best-dog-water-bottles-uk,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,no,yes,RECOVERED,no,no,2026-05-27T19:46:20,2026-05-27T21:12:51,200
4160,best-elevated-dog-bowls-uk,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,no,yes,RECOVERED,no,no,2026-05-27T19:46:24,2026-05-27T21:12:51,200
4153,best-slow-feeder-dog-bowls-uk,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,no,yes,RECOVERED,no,no,2026-05-27T19:46:30,2026-05-27T21:12:52,200
4146,best-dog-bowls-feeding-uk,Best Dog Bowls and Feeding UK (2026) – Complete Guide,no,yes,RECOVERED,no,no,2026-05-27T19:46:34,2026-05-27T21:12:52,200
4139,best-dog-training-leads-uk,Best Dog Training Leads UK (2026) – Long Lines &#038; Harnes,no,yes,RECOVERED,no,no,2026-05-27T19:46:39,2026-05-27T21:12:52,200
4132,best-puppy-training-guide-uk,Best Puppy Training Guide UK (2026) – First Year Essentials,no,yes,RECOVERED,no,no,2026-05-27T19:46:44,2026-05-27T21:12:53,200
4125,best-dog-training-treats-uk,Best Dog Training Treats UK (2026) – Reward Guide,no,yes,RECOVERED,no,no,2026-05-27T19:46:48,2026-05-27T21:12:53,200
4118,best-dog-training-behaviour-uk,Best Dog Training and Behaviour UK (2026) – Complete Guide,no,yes,RECOVERED,no,no,2026-05-27T19:46:53,2026-05-27T21:12:54,200
4110,best-dog-joint-supplements-uk,Best Dog Joint Supplements UK (2026) – Mobility Support Guid,no,yes,RECOVERED,no,no,2026-05-27T19:46:58,2026-05-27T21:12:54,200
4103,best-dog-flea-treatment-uk,Best Dog Flea Treatment UK (2026) – Prevention Guide,no,yes,RECOVERED,no,no,2026-05-27T19:47:03,2026-05-27T21:12:54,200
4096,best-dog-dental-care-uk,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,no,yes,RECOVERED,no,no,2026-05-27T19:47:07,2026-05-27T21:12:55,200
4089,best-dog-health-care-uk,Best Dog Health and Care UK (2026) – Complete Guide,no,yes,RECOVERED,no,no,2026-05-27T19:47:12,2026-05-27T21:12:55,200
4078,best-dog-nail-clippers-uk,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding ,no,yes,RECOVERED,no,no,2026-05-27T19:47:18,2026-05-27T21:12:56,200
4071,best-dog-shampoo-uk,Best Dog Shampoo UK (2026) – Ingredients &#038; Safety Guide,no,yes,RECOVERED,no,no,2026-05-27T19:47:23,2026-05-27T21:12:56,200
4064,best-dog-brushes-uk,Best Dog Brushes UK (2026) – Guide by Coat Type,no,yes,RECOVERED,no,no,2026-05-27T19:47:28,2026-05-27T21:12:56,200
4057,best-dog-grooming-supplies-uk,Best Dog Grooming Supplies UK (2026) – Complete Guide,no,yes,RECOVERED,no,no,2026-05-27T19:47:32,2026-05-27T21:12:57,200
4049,best-puppy-collars-uk,Best Puppy Collars UK (2026) – First Collar &#038; Harness G,no,yes,RECOVERED,no,no,2026-05-27T19:47:37,2026-05-27T21:12:57,200
4042,best-dog-leads-uk,Best Dog Leads UK (2026) – Walking &#038; Training Lead Guid,no,yes,RECOVERED,no,no,2026-05-27T19:47:42,2026-05-27T21:12:58,200
4034,best-no-pull-dog-harnesses-uk,Best No-Pull Dog Harnesses UK (2026) – Training &#038; Comfo,no,yes,RECOVERED,no,no,2026-05-27T19:47:47,2026-05-27T21:12:58,200
4027,best-dog-collars-and-harnesses-uk,Best Dog Collars and Harnesses UK (2026) – Complete Guide,no,yes,RECOVERED,no,no,2026-05-27T19:47:52,2026-05-27T21:12:58,200
4018,best-puppy-beds-uk,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training ,no,yes,RECOVERED,no,no,2026-05-27T19:47:56,2026-05-27T21:12:59,200
4011,best-cooling-dog-beds-uk,Best Cooling Dog Beds UK (2026) – Temperature Regulation Gui,no,yes,RECOVERED,no,no,2026-05-27T19:48:01,2026-05-27T21:12:59,200
4004,best-orthopaedic-dog-beds-uk,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,no,yes,RECOVERED,no,no,2026-05-27T19:48:07,2026-05-27T21:13:00,200
3996,best-dog-beds-uk,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Revie,no,yes,RECOVERED,no,no,2026-05-27T19:48:11,2026-05-27T21:13:00,200
3960,best-puppy-toys-uk,Best Puppy Toys UK (2026) – Teething &#038; First Toys Guide,no,yes,RECOVERED,no,no,2026-05-27T19:48:15,2026-05-27T21:13:00,200
3959,best-interactive-dog-toys-uk,Best Interactive Dog Toys UK (2026) – Puzzle &#038; Enrichme,no,yes,RECOVERED,no,no,2026-05-27T19:48:21,2026-05-27T21:13:01,200
3957,best-indestructible-dog-toys-uk,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heav,no,yes,RECOVERED,no,no,2026-05-27T19:48:25,2026-05-27T21:13:01,200
3956,best-dog-toys-uk,Best Dog Toys UK (2026) – Complete Guide &#038; Honest Revie,no,yes,RECOVERED,no,no,2026-05-27T19:48:30,2026-05-27T21:13:02,200
3839,best-puppy-food-uk,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Gui,yes,yes,unchanged,no,no,2026-05-27T19:52:58,2026-05-27T21:13:02,200
3838,dry-vs-wet-dog-food-uk,Dry vs Wet Dog Food UK &#8211; An Honest Comparison Guide,yes,yes,unchanged,no,no,2026-05-27T19:52:42,2026-05-27T21:13:02,200
3837,best-dry-dog-food-uk,Best Dry Dog Food UK (2026) &#8211; Evidence-Based Guide,yes,yes,unchanged,no,no,2026-05-27T19:52:50,2026-05-27T21:13:03,200
3836,best-dog-food-uk,Best Dog Food UK (2026) &#8211; Complete Buying Guide,yes,yes,unchanged,no,no,2026-05-27T19:53:06,2026-05-27T21:13:03,200
696,essential-cat-supplies-for-cat-owners,Essential Cat Supplies for Cat Owners &#8211; Number 1 Must-,yes,yes,unchanged,no,no,2026-05-27T19:48:35,2026-05-27T21:13:04,200
3,top-dog-toys-every-pet-owner-needs-in-2026,Top Dog Toys Every Pet Owner Needs in 2026,yes,yes,unchanged,no,no,2026-05-27T19:48:41,2026-05-27T21:13:04,200
