# generated_at: 2026-05-27T19:57:48Z
# source_server: 167.99.198.145
# git_commit: 40402f2
# generated_by: PetHub AI Platform - Phase 9I.1/9J/10 Generator
# data_source_label: LIVE WordPress + Rank Math API
# approval_status: planning_only
# next_action: owner_review
post_id,title,slug,post_type,post_status,post_date,post_modified,permalink,categories,in_sitemap,rest_created,manually_updated,rank_math_title,rank_math_robots,canonical,hypothesis
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,best-cat-gps-trackers-uk,post,publish,2026-05-27T01:12:54,2026-05-27T19:45:12,https://pethubonline.com/best-cat-gps-trackers-uk,Cat Supplies; Pet Care; Product Reviews,no,yes_REST_API,no_REST_only,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,index,https://pethubonline.com/best-cat-gps-trackers-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4258,Best Cat Collars UK (2026) – Complete Safety Guide,best-cat-collars-uk,post,publish,2026-05-27T01:12:33,2026-05-27T19:45:17,https://pethubonline.com/best-cat-collars-uk,Cat Supplies; Pet Care; Product Reviews,no,yes_REST_API,no_REST_only,Best Cat Collars UK (2026) – Complete Safety Guide,index,https://pethubonline.com/best-cat-collars-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4251,Best Cat Shampoo UK (2026) – When &#038; How to Bathe,best-cat-shampoo-uk,post,publish,2026-05-27T01:09:57,2026-05-27T19:45:21,https://pethubonline.com/best-cat-shampoo-uk,Cat Supplies; Pet Care; Product Reviews,no,yes_REST_API,no_REST_only,Best Cat Shampoo UK (2026) – When &#038; How to Bathe,index,https://pethubonline.com/best-cat-shampoo-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,best-cat-nail-clippers-uk,post,publish,2026-05-27T01:09:37,2026-05-27T19:45:25,https://pethubonline.com/best-cat-nail-clippers-uk,Cat Supplies; Pet Care; Product Reviews,no,yes_REST_API,no_REST_only,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,index,https://pethubonline.com/best-cat-nail-clippers-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,best-cat-brushes-uk,post,publish,2026-05-27T01:09:17,2026-05-27T19:45:29,https://pethubonline.com/best-cat-brushes-uk,Cat Supplies; Pet Care; Product Reviews,no,yes_REST_API,no_REST_only,Best Cat Brushes UK (2026) – Guide by Coat Type,index,https://pethubonline.com/best-cat-brushes-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,best-cat-grooming-supplies-uk,post,publish,2026-05-27T01:08:57,2026-05-27T19:45:35,https://pethubonline.com/best-cat-grooming-supplies-uk,Cat Supplies; Pet Care; Product Reviews,no,yes_REST_API,no_REST_only,Best Cat Grooming Supplies UK (2026) – Complete Guide,index,https://pethubonline.com/best-cat-grooming-supplies-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4223,Best Cat Window Perches UK (2026) – Sunning &#038; Bird Watc,best-cat-window-perches-uk,post,publish,2026-05-27T01:06:23,2026-05-27T19:45:40,https://pethubonline.com/best-cat-window-perches-uk,Cat Supplies; Pet Beds; Product Reviews,no,yes_REST_API,no_REST_only,Best Cat Window Perches UK (2026) – Sunning &#038; Bird Watc,index,https://pethubonline.com/best-cat-window-perches-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,best-cat-radiator-beds-uk,post,publish,2026-05-27T01:06:03,2026-05-27T19:45:45,https://pethubonline.com/best-cat-radiator-beds-uk,Cat Supplies; Pet Beds; Product Reviews,no,yes_REST_API,no_REST_only,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,index,https://pethubonline.com/best-cat-radiator-beds-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,best-heated-cat-beds-uk,post,publish,2026-05-27T01:05:43,2026-05-27T19:45:51,https://pethubonline.com/best-heated-cat-beds-uk,Cat Supplies; Pet Beds; Product Reviews,no,yes_REST_API,no_REST_only,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,index,https://pethubonline.com/best-heated-cat-beds-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4202,Best Cat Beds UK (2026) – Complete Guide,best-cat-beds-uk,post,publish,2026-05-27T01:05:20,2026-05-27T19:45:55,https://pethubonline.com/best-cat-beds-uk,Cat Supplies; Pet Beds; Product Reviews,no,yes_REST_API,no_REST_only,Best Cat Beds UK (2026) – Complete Guide,index,https://pethubonline.com/best-cat-beds-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,best-cat-toys-indoor-cats-uk,post,publish,2026-05-27T01:02:50,2026-05-27T19:46:00,https://pethubonline.com/best-cat-toys-indoor-cats-uk,Cat Supplies; Cat Toys; Indoor Cats,no,yes_REST_API,no_REST_only,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,index,https://pethubonline.com/best-cat-toys-indoor-cats-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4188,Best Catnip Toys UK (2026) – What Works and Why,best-catnip-toys-uk,post,publish,2026-05-27T01:02:29,2026-05-27T19:46:05,https://pethubonline.com/best-catnip-toys-uk,Cat Supplies; Cat Toys; Product Reviews,no,yes_REST_API,no_REST_only,Best Catnip Toys UK (2026) – What Works and Why,index,https://pethubonline.com/best-catnip-toys-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4181,Best Interactive Cat Toys UK (2026) – Wand &#038; Puzzle Gui,best-interactive-cat-toys-uk,post,publish,2026-05-27T01:02:09,2026-05-27T19:46:10,https://pethubonline.com/best-interactive-cat-toys-uk,Cat Supplies; Cat Toys; Interactive Toys,no,yes_REST_API,no_REST_only,Best Interactive Cat Toys UK (2026) – Wand &#038; Puzzle Gui,index,https://pethubonline.com/best-interactive-cat-toys-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4174,Best Cat Toys UK (2026) – Complete Guide,best-cat-toys-uk,post,publish,2026-05-27T01:01:49,2026-05-27T19:46:15,https://pethubonline.com/best-cat-toys-uk,Cat Supplies; Cat Toys; Product Reviews,no,yes_REST_API,no_REST_only,Best Cat Toys UK (2026) – Complete Guide,index,https://pethubonline.com/best-cat-toys-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,best-dog-water-bottles-uk,post,publish,2026-05-27T00:59:10,2026-05-27T19:46:20,https://pethubonline.com/best-dog-water-bottles-uk,Dog Supplies; Pet Care; Product Reviews,no,yes_REST_API,no_REST_only,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,index,https://pethubonline.com/best-dog-water-bottles-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,best-elevated-dog-bowls-uk,post,publish,2026-05-27T00:58:52,2026-05-27T19:46:24,https://pethubonline.com/best-elevated-dog-bowls-uk,Dog Supplies; Pet Care; Product Reviews,no,yes_REST_API,no_REST_only,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,index,https://pethubonline.com/best-elevated-dog-bowls-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,best-slow-feeder-dog-bowls-uk,post,publish,2026-05-27T00:58:30,2026-05-27T19:46:30,https://pethubonline.com/best-slow-feeder-dog-bowls-uk,Dog Supplies; Pet Care; Product Reviews,no,yes_REST_API,no_REST_only,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,index,https://pethubonline.com/best-slow-feeder-dog-bowls-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,best-dog-bowls-feeding-uk,post,publish,2026-05-27T00:58:10,2026-05-27T19:46:34,https://pethubonline.com/best-dog-bowls-feeding-uk,Dog Supplies; Pet Care; Product Reviews,no,yes_REST_API,no_REST_only,Best Dog Bowls and Feeding UK (2026) – Complete Guide,index,https://pethubonline.com/best-dog-bowls-feeding-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4139,Best Dog Training Leads UK (2026) – Long Lines &#038; Harnes,best-dog-training-leads-uk,post,publish,2026-05-27T00:55:27,2026-05-27T19:46:39,https://pethubonline.com/best-dog-training-leads-uk,Dog Supplies; Product Reviews; Training Supplies,no,yes_REST_API,no_REST_only,Best Dog Training Leads UK (2026) – Long Lines &#038; Harnes,index,https://pethubonline.com/best-dog-training-leads-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,best-puppy-training-guide-uk,post,publish,2026-05-27T00:55:08,2026-05-27T19:46:44,https://pethubonline.com/best-puppy-training-guide-uk,Dog Supplies; Puppy Care; Training Supplies,no,yes_REST_API,no_REST_only,Best Puppy Training Guide UK (2026) – First Year Essentials,index,https://pethubonline.com/best-puppy-training-guide-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4125,Best Dog Training Treats UK (2026) – Reward Guide,best-dog-training-treats-uk,post,publish,2026-05-27T00:54:49,2026-05-27T19:46:48,https://pethubonline.com/best-dog-training-treats-uk,Buying Guides; Dog Supplies; Training Supplies,no,yes_REST_API,no_REST_only,Best Dog Training Treats UK (2026) – Reward Guide,index,https://pethubonline.com/best-dog-training-treats-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,best-dog-training-behaviour-uk,post,publish,2026-05-27T00:54:27,2026-05-27T19:46:53,https://pethubonline.com/best-dog-training-behaviour-uk,Buying Guides; Dog Supplies; Training Supplies,no,yes_REST_API,no_REST_only,Best Dog Training and Behaviour UK (2026) – Complete Guide,index,https://pethubonline.com/best-dog-training-behaviour-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guid,best-dog-joint-supplements-uk,post,publish,2026-05-27T00:51:39,2026-05-27T19:46:58,https://pethubonline.com/best-dog-joint-supplements-uk,Dog Health; Dog Supplies; Orthopaedic Care,no,yes_REST_API,no_REST_only,Best Dog Joint Supplements UK (2026) – Mobility Support Guid,index,https://pethubonline.com/best-dog-joint-supplements-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,best-dog-flea-treatment-uk,post,publish,2026-05-27T00:51:17,2026-05-27T19:47:03,https://pethubonline.com/best-dog-flea-treatment-uk,Dog Health; Dog Supplies; Pet Health,no,yes_REST_API,no_REST_only,Best Dog Flea Treatment UK (2026) – Prevention Guide,index,https://pethubonline.com/best-dog-flea-treatment-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,best-dog-dental-care-uk,post,publish,2026-05-27T00:50:58,2026-05-27T19:47:07,https://pethubonline.com/best-dog-dental-care-uk,Dog Health; Dog Supplies; Pet Health,no,yes_REST_API,no_REST_only,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,index,https://pethubonline.com/best-dog-dental-care-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4089,Best Dog Health and Care UK (2026) – Complete Guide,best-dog-health-care-uk,post,publish,2026-05-27T00:50:38,2026-05-27T19:47:12,https://pethubonline.com/best-dog-health-care-uk,Dog Health; Dog Supplies; Pet Health,no,yes_REST_API,no_REST_only,Best Dog Health and Care UK (2026) – Complete Guide,index,https://pethubonline.com/best-dog-health-care-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4078,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding ,best-dog-nail-clippers-uk,post,publish,2026-05-27T00:45:58,2026-05-27T19:47:18,https://pethubonline.com/best-dog-nail-clippers-uk,Dog Care; Dog Supplies; Product Reviews,no,yes_REST_API,no_REST_only,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding ,index,https://pethubonline.com/best-dog-nail-clippers-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4071,Best Dog Shampoo UK (2026) – Ingredients &#038; Safety Guide,best-dog-shampoo-uk,post,publish,2026-05-27T00:45:38,2026-05-27T19:47:23,https://pethubonline.com/best-dog-shampoo-uk,Dog Care; Dog Supplies; Product Reviews,no,yes_REST_API,no_REST_only,Best Dog Shampoo UK (2026) – Ingredients &#038; Safety Guide,index,https://pethubonline.com/best-dog-shampoo-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,best-dog-brushes-uk,post,publish,2026-05-27T00:45:17,2026-05-27T19:47:28,https://pethubonline.com/best-dog-brushes-uk,Dog Care; Dog Supplies; Product Reviews,no,yes_REST_API,no_REST_only,Best Dog Brushes UK (2026) – Guide by Coat Type,index,https://pethubonline.com/best-dog-brushes-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,best-dog-grooming-supplies-uk,post,publish,2026-05-27T00:44:56,2026-05-27T19:47:32,https://pethubonline.com/best-dog-grooming-supplies-uk,Dog Care; Dog Supplies; Product Reviews,no,yes_REST_API,no_REST_only,Best Dog Grooming Supplies UK (2026) – Complete Guide,index,https://pethubonline.com/best-dog-grooming-supplies-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4049,Best Puppy Collars UK (2026) – First Collar &#038; Harness G,best-puppy-collars-uk,post,publish,2026-05-27T00:42:10,2026-05-27T19:47:37,https://pethubonline.com/best-puppy-collars-uk,Dog Supplies; Product Reviews; Puppy Care,no,yes_REST_API,no_REST_only,Best Puppy Collars UK (2026) – First Collar &#038; Harness G,index,https://pethubonline.com/best-puppy-collars-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4042,Best Dog Leads UK (2026) – Walking &#038; Training Lead Guid,best-dog-leads-uk,post,publish,2026-05-27T00:41:49,2026-05-27T19:47:42,https://pethubonline.com/best-dog-leads-uk,Dog Supplies; Product Reviews; Training Supplies,no,yes_REST_API,no_REST_only,Best Dog Leads UK (2026) – Walking &#038; Training Lead Guid,index,https://pethubonline.com/best-dog-leads-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4034,Best No-Pull Dog Harnesses UK (2026) – Training &#038; Comfo,best-no-pull-dog-harnesses-uk,post,publish,2026-05-27T00:41:27,2026-05-27T19:47:47,https://pethubonline.com/best-no-pull-dog-harnesses-uk,Dog Harnesses; Dog Supplies; Product Reviews,no,yes_REST_API,no_REST_only,Best No-Pull Dog Harnesses UK (2026) – Training &#038; Comfo,index,https://pethubonline.com/best-no-pull-dog-harnesses-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,best-dog-collars-and-harnesses-uk,post,publish,2026-05-27T00:41:06,2026-05-27T19:47:52,https://pethubonline.com/best-dog-collars-and-harnesses-uk,Dog Harnesses; Dog Supplies; Product Reviews,no,yes_REST_API,no_REST_only,Best Dog Collars and Harnesses UK (2026) – Complete Guide,index,https://pethubonline.com/best-dog-collars-and-harnesses-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training ,best-puppy-beds-uk,post,publish,2026-05-27T00:37:50,2026-05-27T19:47:56,https://pethubonline.com/best-puppy-beds-uk,Dog Beds; Dog Supplies; Puppy Care,no,yes_REST_API,no_REST_only,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training ,index,https://pethubonline.com/best-puppy-beds-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Gui,best-cooling-dog-beds-uk,post,publish,2026-05-27T00:37:30,2026-05-27T19:48:01,https://pethubonline.com/best-cooling-dog-beds-uk,Dog Beds; Dog Supplies; Product Reviews,no,yes_REST_API,no_REST_only,Best Cooling Dog Beds UK (2026) – Temperature Regulation Gui,index,https://pethubonline.com/best-cooling-dog-beds-uk/,RM_sitemap_table_not_populated_no_save_post_hook
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,best-orthopaedic-dog-beds-uk,post,publish,2026-05-27T00:37:09,2026-05-27T19:48:07,https://pethubonline.com/best-orthopaedic-dog-beds-uk,Dog Beds; Dog Supplies; Orthopaedic Care,no,yes_REST_API,no_REST_only,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,index,https://pethubonline.com/best-orthopaedic-dog-beds-uk/,RM_sitemap_table_not_populated_no_save_post_hook
3996,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Revie,best-dog-beds-uk,post,publish,2026-05-27T00:36:47,2026-05-27T19:48:11,https://pethubonline.com/best-dog-beds-uk,Dog Beds; Dog Supplies; Product Reviews,no,yes_REST_API,no_REST_only,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Revie,index,https://pethubonline.com/best-dog-beds-uk/,RM_sitemap_table_not_populated_no_save_post_hook
3960,Best Puppy Toys UK (2026) – Teething &#038; First Toys Guide,best-puppy-toys-uk,post,publish,2026-05-27T00:29:25,2026-05-27T19:48:15,https://pethubonline.com/best-puppy-toys-uk,Dog Supplies; Dog Toys; Puppy Care,no,yes_REST_API,no_REST_only,Best Puppy Toys UK (2026) – Teething &#038; First Toys Guide,index,https://pethubonline.com/best-puppy-toys-uk/,RM_sitemap_table_not_populated_no_save_post_hook
3959,Best Interactive Dog Toys UK (2026) – Puzzle &#038; Enrichme,best-interactive-dog-toys-uk,post,publish,2026-05-27T00:29:22,2026-05-27T19:48:21,https://pethubonline.com/best-interactive-dog-toys-uk,Dog Supplies; Dog Toys; Interactive Toys,no,yes_REST_API,no_REST_only,Best Interactive Dog Toys UK (2026) – Puzzle &#038; Enrichme,index,https://pethubonline.com/best-interactive-dog-toys-uk/,RM_sitemap_table_not_populated_no_save_post_hook
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heav,best-indestructible-dog-toys-uk,post,publish,2026-05-27T00:29:19,2026-05-27T19:48:25,https://pethubonline.com/best-indestructible-dog-toys-uk,Dog Supplies; Dog Toys; Product Reviews,no,yes_REST_API,no_REST_only,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heav,index,https://pethubonline.com/best-indestructible-dog-toys-uk/,RM_sitemap_table_not_populated_no_save_post_hook
3956,Best Dog Toys UK (2026) – Complete Guide &#038; Honest Revie,best-dog-toys-uk,post,publish,2026-05-27T00:29:15,2026-05-27T19:48:30,https://pethubonline.com/best-dog-toys-uk,Dog Supplies; Dog Toys; Product Reviews,no,yes_REST_API,no_REST_only,Best Dog Toys UK (2026) – Complete Guide &#038; Honest Revie,index,https://pethubonline.com/best-dog-toys-uk/,RM_sitemap_table_not_populated_no_save_post_hook
3839,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Gui,best-puppy-food-uk,post,publish,2026-05-26T23:58:55,2026-05-27T19:52:58,https://pethubonline.com/best-puppy-food-uk,Dog Food; Dog Supplies; Puppy Care,yes,likely_no_manual_dogfood,yes_via_REST_publish,Best Puppy Food UK (2026) &#8211; Growth-Stage Nutrition Gui,index,https://pethubonline.com/best-puppy-food-uk/,RM_save_post_hook_fired_during_publish
3838,Dry vs Wet Dog Food UK &#8211; An Honest Comparison Guide,dry-vs-wet-dog-food-uk,post,publish,2026-05-26T23:58:50,2026-05-27T19:52:42,https://pethubonline.com/dry-vs-wet-dog-food-uk,Dog Food; Dog Supplies; Product Reviews,yes,likely_no_manual_dogfood,yes_via_REST_publish,Dry vs Wet Dog Food UK &#8211; An Honest Comparison Guide,index,https://pethubonline.com/dry-vs-wet-dog-food-uk/,RM_save_post_hook_fired_during_publish
3837,Best Dry Dog Food UK (2026) &#8211; Evidence-Based Guide,best-dry-dog-food-uk,post,publish,2026-05-26T23:58:46,2026-05-27T19:52:50,https://pethubonline.com/best-dry-dog-food-uk,Dog Food; Dog Supplies; Product Reviews,yes,likely_no_manual_dogfood,yes_via_REST_publish,Best Dry Dog Food UK (2026) &#8211; Evidence-Based Guide,index,https://pethubonline.com/best-dry-dog-food-uk/,RM_save_post_hook_fired_during_publish
3836,Best Dog Food UK (2026) &#8211; Complete Buying Guide,best-dog-food-uk,post,publish,2026-05-26T23:58:41,2026-05-27T19:53:06,https://pethubonline.com/best-dog-food-uk,Dog Food; Dog Supplies; Product Reviews,yes,likely_no_manual_dogfood,yes_via_REST_publish,Best Dog Food UK (2026) &#8211; Complete Buying Guide,index,https://pethubonline.com/best-dog-food-uk/,RM_save_post_hook_fired_during_publish
696,Essential Cat Supplies for Cat Owners &#8211; Number 1 Must-,essential-cat-supplies-for-cat-owners,post,publish,2026-04-27T00:10:07,2026-05-27T19:48:35,https://pethubonline.com/essential-cat-supplies-for-cat-owners,Buying Guides; Cat Supplies,yes,yes_REST_API,no_REST_only,Essential Cat Supplies for Cat Owners &#8211; Number 1 Must-,index,https://pethubonline.com/essential-cat-supplies-for-cat-owners/,RM_save_post_hook_fired_during_publish
3,Top Dog Toys Every Pet Owner Needs in 2026,top-dog-toys-every-pet-owner-needs-in-2026,post,publish,2026-04-23T09:37:44,2026-05-27T19:48:41,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026,Dog Supplies; Product Reviews,yes,yes_REST_API,no_REST_only,Top Dog Toys Every Pet Owner Needs in 2026,index,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026/,RM_save_post_hook_fired_during_publish
