cluster,gap_type,posts_affected,gap_description,priority,recommended_action
Dog Grooming,Missing Why We Reference,8,8/55 posts lack Why We Reference (cluster 85.5% vs reference 90.1%),0.32,Add Why We Reference section to 8 posts to match Dog Toys reference (90.1% coverage)
Dog Beds,Missing Faq,6,6/111 posts lack Faq (cluster 94.6% vs reference 97.7%),0.31,Add Faq section to 6 posts to match Dog Toys reference (97.7% coverage)
Dog Grooming,Missing Comparison Table,6,6/55 posts lack Comparison Table (cluster 89.1% vs reference 92.4%),0.3,Add Comparison Table section to 6 posts to match Dog Toys reference (92.4% coverage)
Dog Health,Missing Key Takeaways,19,19/141 posts lack Key Takeaways (cluster 86.5% vs reference 90.1%),0.29,Add Key Takeaways section to 19 posts to match Dog Toys reference (90.1% coverage)
Dog Health,Missing When To Seek Help,18,18/141 posts lack When To Seek Help (cluster 87.2% vs reference 91.6%),0.26,Add When To Seek Help section to 18 posts to match Dog Toys reference (91.6% coverage)
Dog Health,Missing How We Evaluated,19,19/141 posts lack How We Evaluated (cluster 86.5% vs reference 90.1%),0.25,Add How We Evaluated section to 19 posts to match Dog Toys reference (90.1% coverage)
Dog Health,Missing Why We Reference,19,19/141 posts lack Why We Reference (cluster 86.5% vs reference 90.1%),0.25,Add Why We Reference section to 19 posts to match Dog Toys reference (90.1% coverage)
Cat Supplies,Missing Faq,6,6/125 posts lack Faq (cluster 95.2% vs reference 97.7%),0.25,Add Faq section to 6 posts to match Dog Toys reference (97.7% coverage)
Dog Food,Missing Key Takeaways,15,15/120 posts lack Key Takeaways (cluster 87.5% vs reference 90.1%),0.21,Add Key Takeaways section to 15 posts to match Dog Toys reference (90.1% coverage)
Dog Health,Missing Comparison Table,14,14/141 posts lack Comparison Table (cluster 90.1% vs reference 92.4%),0.21,Add Comparison Table section to 14 posts to match Dog Toys reference (92.4% coverage)
Dog Food,Missing Budget Premium,44,44/120 posts lack Budget Premium (cluster 63.3% vs reference 67.2%),0.2,Add Budget Premium section to 44 posts to match Dog Toys reference (67.2% coverage)
Dog Food,Missing How We Evaluated,15,15/120 posts lack How We Evaluated (cluster 87.5% vs reference 90.1%),0.18,Add How We Evaluated section to 15 posts to match Dog Toys reference (90.1% coverage)
Dog Food,Missing Why We Reference,15,15/120 posts lack Why We Reference (cluster 87.5% vs reference 90.1%),0.18,Add Why We Reference section to 15 posts to match Dog Toys reference (90.1% coverage)
Cat Toys,Missing Comparison Table,13,13/136 posts lack Comparison Table (cluster 90.4% vs reference 92.4%),0.18,Add Comparison Table section to 13 posts to match Dog Toys reference (92.4% coverage)
Dog Harnesses,Missing Common Mistakes,51,51/127 posts lack Common Mistakes (cluster 59.8% vs reference 62.6%),0.17,Add Common Mistakes section to 51 posts to match Dog Toys reference (62.6% coverage)
Cat Toys,Missing Key Takeaways,16,16/136 posts lack Key Takeaways (cluster 88.2% vs reference 90.1%),0.15,Add Key Takeaways section to 16 posts to match Dog Toys reference (90.1% coverage)
Dog Grooming,Missing When To Seek Help,6,6/55 posts lack When To Seek Help (cluster 89.1% vs reference 91.6%),0.15,Add When To Seek Help section to 6 posts to match Dog Toys reference (91.6% coverage)
Dog Food,Missing Comparison Table,11,11/120 posts lack Comparison Table (cluster 90.8% vs reference 92.4%),0.14,Add Comparison Table section to 11 posts to match Dog Toys reference (92.4% coverage)
Dog Food,Missing At A Glance,2,2/120 posts lack At A Glance (cluster 98.3% vs reference 100.0%),0.14,Add At A Glance section to 2 posts to match Dog Toys reference (100.0% coverage)
Dog Beds,Missing At A Glance,2,2/111 posts lack At A Glance (cluster 98.2% vs reference 100.0%),0.14,Add At A Glance section to 2 posts to match Dog Toys reference (100.0% coverage)
Dog Training,Missing Budget Premium,31,31/87 posts lack Budget Premium (cluster 64.4% vs reference 67.2%),0.14,Add Budget Premium section to 31 posts to match Dog Toys reference (67.2% coverage)
Cat Supplies,Missing At A Glance,2,2/125 posts lack At A Glance (cluster 98.4% vs reference 100.0%),0.13,Add At A Glance section to 2 posts to match Dog Toys reference (100.0% coverage)
Cat Toys,Missing How We Evaluated,16,16/136 posts lack How We Evaluated (cluster 88.2% vs reference 90.1%),0.13,Add How We Evaluated section to 16 posts to match Dog Toys reference (90.1% coverage)
Cat Toys,Missing Why We Reference,16,16/136 posts lack Why We Reference (cluster 88.2% vs reference 90.1%),0.13,Add Why We Reference section to 16 posts to match Dog Toys reference (90.1% coverage)
Dog Grooming,Missing Faq,2,2/55 posts lack Faq (cluster 96.4% vs reference 97.7%),0.13,Add Faq section to 2 posts to match Dog Toys reference (97.7% coverage)
Cat Supplies,Missing Budget Premium,44,44/125 posts lack Budget Premium (cluster 64.8% vs reference 67.2%),0.12,Add Budget Premium section to 44 posts to match Dog Toys reference (67.2% coverage)
Cat Toys,Missing When To Seek Help,14,14/136 posts lack When To Seek Help (cluster 89.7% vs reference 91.6%),0.11,Add When To Seek Help section to 14 posts to match Dog Toys reference (91.6% coverage)
Dog Training,Missing How We Evaluated,10,10/87 posts lack How We Evaluated (cluster 88.5% vs reference 90.1%),0.11,Add How We Evaluated section to 10 posts to match Dog Toys reference (90.1% coverage)
Dog Training,Missing Why We Reference,10,10/87 posts lack Why We Reference (cluster 88.5% vs reference 90.1%),0.11,Add Why We Reference section to 10 posts to match Dog Toys reference (90.1% coverage)
Dog Training,Missing When To Seek Help,9,9/87 posts lack When To Seek Help (cluster 89.7% vs reference 91.6%),0.11,Add When To Seek Help section to 9 posts to match Dog Toys reference (91.6% coverage)
Dog Food,Missing When To Seek Help,12,12/120 posts lack When To Seek Help (cluster 90.0% vs reference 91.6%),0.1,Add When To Seek Help section to 12 posts to match Dog Toys reference (91.6% coverage)
Puppy Care,Missing At A Glance,1,1/85 posts lack At A Glance (cluster 98.8% vs reference 100.0%),0.1,Add At A Glance section to 1 posts to match Dog Toys reference (100.0% coverage)
Dog Grooming,Missing Glossary,6,6/55 posts lack Glossary (cluster 89.1% vs reference 90.8%),0.09,Add Glossary section to 6 posts to match Dog Toys reference (90.8% coverage)
Dog Training,Missing At A Glance,1,1/87 posts lack At A Glance (cluster 98.9% vs reference 100.0%),0.09,Add At A Glance section to 1 posts to match Dog Toys reference (100.0% coverage)
Dog Beds,Missing Beginner Recs,53,53/111 posts lack Beginner Recs (cluster 52.3% vs reference 53.4%),0.07,Add Beginner Recs section to 53 posts to match Dog Toys reference (53.4% coverage)
Dog Health,Missing At A Glance,1,1/141 posts lack At A Glance (cluster 99.3% vs reference 100.0%),0.06,Add At A Glance section to 1 posts to match Dog Toys reference (100.0% coverage)
Dog Harnesses,Missing At A Glance,1,1/127 posts lack At A Glance (cluster 99.2% vs reference 100.0%),0.06,Add At A Glance section to 1 posts to match Dog Toys reference (100.0% coverage)
Cat Supplies,Missing Beginner Recs,59,59/125 posts lack Beginner Recs (cluster 52.8% vs reference 53.4%),0.04,Add Beginner Recs section to 59 posts to match Dog Toys reference (53.4% coverage)
Cat Toys,Missing Beginner Recs,64,64/136 posts lack Beginner Recs (cluster 52.9% vs reference 53.4%),0.03,Add Beginner Recs section to 64 posts to match Dog Toys reference (53.4% coverage)
Dog Training,Missing Key Takeaways,9,9/87 posts lack Key Takeaways (cluster 89.7% vs reference 90.1%),0.03,Add Key Takeaways section to 9 posts to match Dog Toys reference (90.1% coverage)
Dog Food,Missing Faq,3,3/120 posts lack Faq (cluster 97.5% vs reference 97.7%),0.02,Add Faq section to 3 posts to match Dog Toys reference (97.7% coverage)
Cat Supplies,Missing Glossary,12,12/125 posts lack Glossary (cluster 90.4% vs reference 90.8%),0.02,Add Glossary section to 12 posts to match Dog Toys reference (90.8% coverage)
Cat Toys,Missing Glossary,13,13/136 posts lack Glossary (cluster 90.4% vs reference 90.8%),0.02,Add Glossary section to 13 posts to match Dog Toys reference (90.8% coverage)
Dog Harnesses,Missing When To Seek Help,11,11/127 posts lack When To Seek Help (cluster 91.3% vs reference 91.6%),0.02,Add When To Seek Help section to 11 posts to match Dog Toys reference (91.6% coverage)
Dog Health,Missing Beginner Recs,66,66/141 posts lack Beginner Recs (cluster 53.2% vs reference 53.4%),0.01,Add Beginner Recs section to 66 posts to match Dog Toys reference (53.4% coverage)
Cat Toys,Missing Common Mistakes,51,51/136 posts lack Common Mistakes (cluster 62.5% vs reference 62.6%),0.01,Add Common Mistakes section to 51 posts to match Dog Toys reference (62.6% coverage)
