cluster,element,count,total,pct,gap_vs_reference,priority_score
Puppy Care,trust_footer,85,85,100.0,0.0,0.0
Puppy Care,at_a_glance,84,85,98.8,1.2,0.1
Puppy Care,key_takeaways,70,85,82.4,7.7,0.62
Puppy Care,uk_authority_refs,85,85,100.0,0.0,0.0
Puppy Care,how_we_evaluated,72,85,84.7,5.4,0.38
Puppy Care,why_we_reference,72,85,84.7,5.4,0.38
Puppy Care,common_mistakes,42,85,49.4,13.2,0.79
Puppy Care,when_to_seek_help,71,85,83.5,8.1,0.49
Puppy Care,beginner_recs,49,85,57.6,-4.2,-0.25
Puppy Care,budget_premium,64,85,75.3,-8.1,-0.41
Puppy Care,glossary,71,85,83.5,7.3,0.36
Dog Health,faq,133,141,94.3,3.4,0.34
Dog Health,comparison_table,127,141,90.1,2.3,0.21
Dog Health,trust_footer,141,141,100.0,0.0,0.0
Dog Health,at_a_glance,140,141,99.3,0.7,0.06
Dog Health,key_takeaways,122,141,86.5,3.6,0.29
Dog Health,uk_authority_refs,141,141,100.0,0.0,0.0
Dog Health,how_we_evaluated,122,141,86.5,3.6,0.25
Dog Health,why_we_reference,122,141,86.5,3.6,0.25
Dog Health,common_mistakes,80,141,56.7,5.9,0.35
Dog Health,when_to_seek_help,123,141,87.2,4.4,0.26
Dog Health,beginner_recs,75,141,53.2,0.2,0.01
Dog Health,budget_premium,97,141,68.8,-1.6,-0.08
Dog Health,glossary,130,141,92.2,-1.4,-0.07
Cat Supplies,faq,119,125,95.2,2.5,0.25
Cat Supplies,comparison_table,107,125,85.6,6.8,0.61
Cat Supplies,trust_footer,125,125,100.0,0.0,0.0
Cat Supplies,at_a_glance,123,125,98.4,1.6,0.13
Cat Supplies,key_takeaways,103,125,82.4,7.7,0.62
Cat Supplies,uk_authority_refs,125,125,100.0,0.0,0.0
Cat Supplies,how_we_evaluated,103,125,82.4,7.7,0.54
Cat Supplies,why_we_reference,103,125,82.4,7.7,0.54
Cat Supplies,common_mistakes,69,125,55.2,7.4,0.44
Cat Supplies,when_to_seek_help,105,125,84.0,7.6,0.46
Cat Supplies,beginner_recs,66,125,52.8,0.6,0.04
Cat Supplies,budget_premium,81,125,64.8,2.4,0.12
Cat Supplies,glossary,113,125,90.4,0.4,0.02
Cat Toys,faq,133,136,97.8,-0.1,-0.01
Cat Toys,comparison_table,123,136,90.4,2.0,0.18
Cat Toys,trust_footer,136,136,100.0,0.0,0.0
Cat Toys,at_a_glance,136,136,100.0,0.0,0.0
Cat Toys,key_takeaways,120,136,88.2,1.9,0.15
Cat Toys,uk_authority_refs,136,136,100.0,0.0,0.0
Cat Toys,how_we_evaluated,120,136,88.2,1.9,0.13
Cat Toys,why_we_reference,120,136,88.2,1.9,0.13
Cat Toys,common_mistakes,85,136,62.5,0.1,0.01
Cat Toys,when_to_seek_help,122,136,89.7,1.9,0.11
Cat Toys,beginner_recs,72,136,52.9,0.5,0.03
Cat Toys,budget_premium,93,136,68.4,-1.2,-0.06
Cat Toys,glossary,123,136,90.4,0.4,0.02
Dog Grooming,faq,53,55,96.4,1.3,0.13
Dog Grooming,comparison_table,49,55,89.1,3.3,0.3
Dog Grooming,trust_footer,55,55,100.0,0.0,0.0
Dog Grooming,at_a_glance,55,55,100.0,0.0,0.0
Dog Grooming,key_takeaways,46,55,83.6,6.5,0.52
Dog Grooming,uk_authority_refs,55,55,100.0,0.0,0.0
Dog Grooming,how_we_evaluated,47,55,85.5,4.6,0.32
Dog Grooming,why_we_reference,47,55,85.5,4.6,0.32
Dog Grooming,common_mistakes,30,55,54.5,8.1,0.49
Dog Grooming,when_to_seek_help,49,55,89.1,2.5,0.15
Dog Grooming,beginner_recs,34,55,61.8,-8.4,-0.5
Dog Grooming,budget_premium,42,55,76.4,-9.2,-0.46
Dog Grooming,glossary,49,55,89.1,1.7,0.09
Dog Harnesses,faq,118,127,92.9,4.8,0.48
Dog Harnesses,comparison_table,121,127,95.3,-2.9,-0.26
Dog Harnesses,trust_footer,127,127,100.0,0.0,0.0
Dog Harnesses,at_a_glance,126,127,99.2,0.8,0.06
Dog Harnesses,key_takeaways,115,127,90.6,-0.5,-0.04
Dog Harnesses,uk_authority_refs,127,127,100.0,0.0,0.0
Dog Harnesses,how_we_evaluated,116,127,91.3,-1.2,-0.08
Dog Harnesses,why_we_reference,116,127,91.3,-1.2,-0.08
Dog Harnesses,common_mistakes,76,127,59.8,2.8,0.17
Dog Harnesses,when_to_seek_help,116,127,91.3,0.3,0.02
Dog Harnesses,beginner_recs,72,127,56.7,-3.3,-0.2
Dog Harnesses,budget_premium,90,127,70.9,-3.7,-0.18
Dog Harnesses,glossary,118,127,92.9,-2.1,-0.1
Dog Training,faq,79,87,90.8,6.9,0.69
Dog Training,comparison_table,82,87,94.3,-1.9,-0.17
Dog Training,trust_footer,87,87,100.0,0.0,0.0
Dog Training,at_a_glance,86,87,98.9,1.1,0.09
Dog Training,key_takeaways,78,87,89.7,0.4,0.03
Dog Training,uk_authority_refs,87,87,100.0,0.0,0.0
Dog Training,how_we_evaluated,77,87,88.5,1.6,0.11
Dog Training,why_we_reference,77,87,88.5,1.6,0.11
Dog Training,common_mistakes,46,87,52.9,9.7,0.58
Dog Training,when_to_seek_help,78,87,89.7,1.9,0.11
Dog Training,beginner_recs,57,87,65.5,-12.1,-0.73
Dog Training,budget_premium,56,87,64.4,2.8,0.14
Dog Training,glossary,81,87,93.1,-2.3,-0.12
