post_id,title,cluster,authority_density,citation_confidence,quick_answer_coverage,snippet_readiness,faq_density,trust_depth,source_quality,visibility_readiness_score,grade
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,66.7,54,100,10.0,0,66.7,30,50.9,C
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Supplies,66.7,80,0,23.1,17.9,66.7,100,50.6,C
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,83.3,80,0,11.1,23.7,66.7,75,50.2,C
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,83.3,80,0,7.7,0,66.7,100,49.8,C
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,83.3,80,0,7.7,24.7,66.7,75,49.8,C
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,83.3,80,0,14.3,14.0,66.7,75,49.7,C
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,66.7,80,0,0,67.1,66.7,75,49.6,C
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,83.3,42,100,0,0,66.7,15,49.5,C
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Supplies,83.3,30,100,9.1,19.1,66.7,0,49.4,C
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,83.3,80,0,0,32.1,66.7,75,49.4,C
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Supplies,66.7,42,100,8.3,17.8,66.7,15,49.2,C
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,66.7,30,100,10.0,47.2,66.7,0,49.1,C
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,83.3,30,100,0,27.8,66.7,0,48.9,C
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Supplies,66.7,80,0,31.2,12.7,66.7,75,48.8,C
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,83.3,80,0,0,0,66.7,100,48.7,C
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,66.7,80,0,8.3,21.0,66.7,100,48.7,C
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,66.7,78,0,25.0,30.5,66.7,60,47.8,C
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,66.7,80,0,21.4,17.8,66.7,75,47.8,C
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,66.7,80,0,12.5,30.1,66.7,75,47.7,C
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,66.7,78,0,22.2,29.2,66.7,60,47.3,C
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,66.7,80,0,23.1,9.7,66.7,75,47.3,C
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Supplies,66.7,80,0,23.1,8.8,66.7,75,47.2,C
4790,DIY Dog Toys: Safe Homemade Options,Dog Supplies,66.7,80,0,0,17.8,66.7,100,47.1,C
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,66.7,80,0,0,16.2,66.7,100,47.0,C
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Supplies,66.7,30,100,18.2,13.3,66.7,0,46.9,C
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Supplies,66.7,80,0,15.4,16.3,66.7,75,46.8,C
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,66.7,80,0,0,14.9,66.7,100,46.8,C
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Supplies,66.7,80,0,14.3,17.8,66.7,75,46.8,C
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,66.7,80,0,7.7,26.6,66.7,75,46.7,C
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,83.3,30,100,0,5.1,66.7,0,46.7,C
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,66.7,80,0,0,34.5,66.7,75,46.3,C
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,83.3,80,0,0,0,66.7,75,46.2,C
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,66.7,30,100,0,33.3,66.7,0,46.2,C
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,100,54,0,0,0,100,30,46.1,C
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,66.7,80,0,15.4,9.3,66.7,75,46.1,C
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,66.7,80,0,15.4,9.4,66.7,75,46.1,C
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,66.7,80,0,14.3,10.2,66.7,75,46.0,C
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,66.7,80,0,14.3,8.7,66.7,75,45.9,C
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,66.7,80,0,0,29.7,66.7,75,45.8,C
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,66.7,80,0,0,28.4,66.7,75,45.7,C
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,66.7,80,0,0,28.5,66.7,75,45.7,C
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,83.3,78,0,8.3,0,66.7,60,45.6,C
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,83.3,66,0,7.1,33.9,66.7,45,45.5,C
7341,First Week with a New Puppy: A Day-by-Day Guide,Dog Care,66.7,80,0,0,0,66.7,100,45.3,C
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,66.7,80,0,0,0,66.7,100,45.3,C
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Dog Care,66.7,80,0,0,0,66.7,100,45.3,C
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,66.7,80,0,0,0,66.7,100,45.3,C
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,66.7,80,0,0,0,66.7,100,45.3,C
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,66.7,78,0,9.1,29.2,66.7,60,45.3,C
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,66.7,80,0,8.3,9.8,66.7,75,45.1,C
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,83.3,66,0,0,37.7,66.7,45,44.8,C
4125,Best Dog Training Treats UK (2026) – Reward Guide,Dog Supplies,66.7,78,0,15.4,9.7,66.7,60,44.3,C
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,83.3,66,0,0,31.8,66.7,45,44.2,C
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,100,42,0,0,0,100,15,42.8,C
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,66.7,66,0,0,36.5,66.7,45,41.4,C
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Supplies,83.3,54,0,13.3,16.4,66.7,30,41.4,C
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,83.3,66,0,0,0,66.7,45,41.1,C
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Care,66.7,66,0,0,32.5,66.7,45,41.0,C
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Care,66.7,66,0,0,27.8,66.7,45,40.5,C
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Supplies,66.7,54,0,31.2,13.8,66.7,30,40.5,C
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Supplies,83.3,54,0,7.7,13.2,66.7,30,40.2,C
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Supplies,66.7,66,0,7.7,8.9,66.7,45,39.8,D
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,83.3,30,0,33.3,35.4,66.7,0,39.7,D
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,100,30,0,0,0,100,0,39.5,D
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,100,30,0,0,0,100,0,39.5,D
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Cat Supplies,100,30,0,0,0,100,0,39.5,D
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,83.3,30,0,33.3,33.3,66.7,0,39.5,D
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,50.0,80,0,0,0,66.7,75,39.5,D
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,83.3,30,0,30.0,36.6,66.7,0,39.3,D
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,83.3,42,0,18.2,18.8,66.7,15,39.1,D
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,66.7,54,0,23.1,10.5,66.7,30,39.0,D
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,83.3,42,0,21.4,10.1,66.7,15,38.7,D
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,66.7,30,0,33.3,53.4,66.7,0,38.2,D
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,83.3,30,0,35.7,14.4,66.7,0,38.0,D
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,83.3,54,0,0,0,66.7,30,37.8,D
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,83.3,54,0,0,0,66.7,30,37.8,D
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,83.3,30,0,18.2,33.4,66.7,0,37.2,D
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,66.7,42,0,26.7,17.7,66.7,15,36.9,D
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,66.7,30,0,33.3,38.2,66.7,0,36.7,D
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,83.3,30,0,10.0,38.3,66.7,0,36.5,D
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,83.3,30,0,25.0,11.2,66.7,0,36.0,D
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,83.3,30,0,7.1,36.3,66.7,0,35.9,D
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,83.3,42,0,8.3,0,66.7,15,35.7,D
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,83.3,30,0,21.4,13.5,66.7,0,35.7,D
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,66.7,42,0,9.1,28.5,66.7,15,35.4,D
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,66.7,30,0,11.1,57.3,66.7,0,35.2,D
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Supplies,66.7,30,0,14.3,51.4,66.7,0,35.1,D
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,83.3,30,0,16.7,11.7,66.7,0,34.8,D
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Supplies,83.3,30,0,18.2,9.1,66.7,0,34.8,D
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,83.3,30,0,15.4,11.3,66.7,0,34.6,D
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,83.3,30,0,15.4,10.6,66.7,0,34.5,D
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,83.3,30,0,0,32.2,66.7,0,34.4,D
4789,Best Types of Dog Toys for Different Play Styles,Dog Supplies,66.7,54,0,0,0,66.7,30,34.4,D
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Supplies,66.7,30,0,12.5,47.2,66.7,0,34.4,D
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Supplies,66.7,30,0,22.2,32.7,66.7,0,34.4,D
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,66.7,30,0,12.5,45.0,66.7,0,34.2,D
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,66.7,30,0,0,61.3,66.7,0,34.0,D
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Dog Supplies,66.7,42,0,13.3,9.0,66.7,15,34.0,D
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,66.7,30,0,0,60.2,66.7,0,33.9,D
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,66.7,42,0,7.7,15.6,66.7,15,33.9,D
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Supplies,66.7,30,0,22.2,27.2,66.7,0,33.9,D
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,83.3,30,0,6.7,16.0,66.7,0,33.8,D
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,83.3,30,0,16.7,0,66.7,0,33.7,D
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,83.3,30,0,6.7,12.2,66.7,0,33.4,D
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,66.7,30,0,27.3,11.0,66.7,0,33.0,D
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,83.3,30,0,0,18.4,66.7,0,33.0,D
4791,How to Choose the Right Dog Training Treats,Dog Supplies,66.7,42,0,0,16.1,66.7,15,32.8,D
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,66.7,30,0,12.5,30.0,66.7,0,32.7,D
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Uncategorized,66.7,30,0,20.0,18.4,66.7,0,32.7,D
4785,How to Wash and Maintain Your Dog's Bed,Dog Beds,66.7,42,0,0,15.9,66.7,15,32.7,D
4783,How to Choose the Right Dog Bed Size,Dog Beds,83.3,30,0,0,15.8,66.7,0,32.7,D
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,66.7,30,0,10.0,32.3,66.7,0,32.6,D
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,66.7,30,0,10.0,31.2,66.7,0,32.5,D
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,66.7,30,0,7.7,34.9,66.7,0,32.5,D
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Supplies,66.7,30,0,12.5,28.2,66.7,0,32.5,D
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Supplies,66.7,30,0,12.5,27.0,66.7,0,32.4,D
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,66.7,30,0,23.1,10.7,66.7,0,32.4,D
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,66.7,30,0,23.1,10.4,66.7,0,32.4,D
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,66.7,30,0,0,45.8,66.7,0,32.4,D
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,66.7,30,0,9.1,30.9,66.7,0,32.3,D
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,66.7,30,0,16.7,19.1,66.7,0,32.3,D
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,66.7,30,0,15.4,20.4,66.7,0,32.2,D
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,83.3,30,0,6.7,0,66.7,0,32.2,D
8171,Why PetHub Online Exists,Uncategorized,66.7,30,0,0,41.5,66.7,0,32.0,D
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,66.7,30,0,21.4,9.4,66.7,0,32.0,D
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Supplies,66.7,30,0,20.0,9.8,66.7,0,31.8,D
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Dog Supplies,66.7,30,0,16.7,14.3,66.7,0,31.8,D
8172,Our Research Standards,Uncategorized,66.7,30,0,0,35.8,66.7,0,31.4,D
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Supplies,66.7,30,0,16.7,10.3,66.7,0,31.4,D
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,66.7,30,0,15.4,11.3,66.7,0,31.3,D
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,66.7,30,0,15.4,11.0,66.7,0,31.3,D
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,66.7,30,0,16.7,9.9,66.7,0,31.3,D
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,83.3,30,0,0,0,66.7,0,31.2,D
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,83.3,30,0,0,0,66.7,0,31.2,D
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,66.7,30,0,14.3,12.0,66.7,0,31.2,D
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,66.7,30,0,14.3,10.6,66.7,0,31.1,D
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,66.7,30,0,15.4,8.6,66.7,0,31.0,D
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,66.7,30,0,0,29.9,66.7,0,30.8,D
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,66.7,30,0,7.1,19.2,66.7,0,30.8,D
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Dog Supplies,66.7,30,0,20.0,0,66.7,0,30.8,D
