post_id,title,cluster,word_count,has_quick_answer,has_faq,has_glossary,has_trust_block,answer_extraction,summary_extraction,faq_extraction,conversational_use,citation_likelihood,comparison_use,overall_ai_readiness,grade
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Product Reviews,1208,True,True,False,True,90,88,80,80,68,65,81,A
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Product Reviews,1291,True,True,False,True,90,88,80,80,68,65,81,A
5425,Dog Toys FAQ: Common Questions Answered,Toys & Enrichment,1613,True,True,True,False,95,90,95,80,60,25,80,A
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Grooming,999,True,True,False,True,85,88,80,75,68,65,79,A
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Product Reviews,895,True,True,False,True,85,88,80,75,68,65,79,A
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Toys & Enrichment,2011,True,True,False,True,95,90,80,75,70,25,78,A
5423,Dog Toy Enrichment: Beyond Basic Fetch,Toys & Enrichment,1360,True,True,False,False,90,85,90,85,50,50,78,A
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Grooming,1117,True,True,True,True,95,85,80,75,70,35,78,A
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Health,988,True,True,False,True,85,88,70,75,68,65,77,A
4202,Best Cat Beds UK (2026) – Complete Guide,Product Reviews,853,True,True,False,True,85,88,70,75,68,65,77,A
4174,Best Cat Toys UK (2026) – Complete Guide,Product Reviews,921,True,True,False,True,85,88,70,75,68,65,77,A
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Pet Gear,831,True,True,True,True,90,88,80,70,73,35,77,A
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Toys & Enrichment,1371,True,True,False,True,90,88,85,70,68,35,77,A
4783,How to Choose the Right Dog Bed Size,Pet Gear,653,True,True,False,True,85,75,90,85,55,50,76,A
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Product Reviews,1214,True,True,False,True,90,88,80,70,68,35,76,A
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Beginner Guides,1443,True,True,False,True,90,88,80,70,68,35,76,A
4786,Where to Place Your Dog’s Bed: Location and Comfort Tips,Pet Gear,818,True,True,False,True,85,85,70,75,65,50,75,A
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Toys & Enrichment,1259,True,True,False,False,90,85,90,75,50,20,74,B+
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Health,715,True,True,False,True,85,75,80,85,55,50,74,B+
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Product Reviews,752,True,True,False,True,85,75,80,85,55,50,74,B+
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,General Pet Care,725,True,True,False,True,85,78,70,75,58,65,74,B+
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,853,True,True,False,True,85,88,80,65,68,35,74,B+
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,788,True,True,False,True,85,78,70,75,58,65,74,B+
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,810,True,True,False,True,85,88,80,65,68,35,74,B+
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,908,True,True,False,True,85,88,80,65,68,35,74,B+
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Product Reviews,878,True,True,False,True,85,88,80,65,68,35,74,B+
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Product Reviews,879,True,True,False,True,85,88,80,65,68,35,74,B+
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Product Reviews,945,True,True,False,True,85,88,80,65,68,35,74,B+
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Product Reviews,958,True,True,False,True,85,88,80,65,68,35,74,B+
5418,Dog Harness Types Explained: Finding the Right Fit,Toys & Enrichment,1629,True,True,False,False,90,80,90,75,50,25,73,B+
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Toys & Enrichment,1042,True,True,False,True,90,80,80,70,65,20,73,B+
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Health,824,True,True,False,True,85,88,70,65,68,35,73,B+
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Horses,934,True,True,False,True,85,88,70,65,68,35,73,B+
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Pet Gear,911,True,True,False,True,85,88,70,65,68,35,73,B+
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Product Reviews,933,True,True,False,True,85,88,70,65,68,35,73,B+
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Product Reviews,801,True,True,False,True,85,88,70,65,68,35,73,B+
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Toys & Enrichment,874,True,True,False,True,85,88,70,65,68,35,73,B+
4789,Best Types of Dog Toys for Different Play Styles,Dog Breeds,803,True,True,False,True,85,85,70,65,65,35,72,B+
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Pet Gear,817,True,True,False,False,85,85,90,70,50,20,72,B+
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Toys & Enrichment,1193,True,True,False,False,90,85,70,65,50,40,71,B+
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Beginner Guides,1330,True,True,False,False,90,85,80,65,50,20,71,B+
5416,Dog Bed Types Explained: A Complete Glossary,Pet Gear,1483,True,True,False,False,90,75,90,75,45,20,71,B+
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Toys & Enrichment,789,True,True,False,True,85,75,70,75,55,50,71,B+
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Product Reviews,782,True,True,False,True,85,78,80,65,58,35,71,B+
4272,Best Cat ID Tags UK (2026) – Identification Guide,Pet Gear,794,True,True,False,True,85,78,80,65,58,35,71,B+
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Product Reviews,732,True,True,False,True,85,78,80,65,58,35,71,B+
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Product Reviews,791,True,True,False,True,85,78,80,65,58,35,71,B+
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Toys & Enrichment,769,True,True,False,True,85,78,80,65,58,35,71,B+
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Toys & Enrichment,16484,False,True,False,True,65,80,80,70,65,55,70,B+
5419,Cat Care Basics: A Glossary for New Cat Owners,Dog Health,1778,True,True,False,False,90,80,80,65,50,25,70,B+
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Grooming,1227,True,True,True,True,90,75,70,70,70,15,70,B+
4792,Puppy Socialisation: A Complete Timeline Guide,Beginner Guides,841,True,True,False,True,85,85,70,65,65,20,70,B+
4791,How to Choose the Right Dog Training Treats,Product Reviews,708,True,True,False,True,85,75,80,75,55,20,70,B+
4785,How to Wash and Maintain Your Dog’s Bed,Dog Health,793,True,True,False,True,85,75,80,75,55,20,70,B+
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Beginner Guides,735,True,True,False,True,85,78,80,65,53,35,70,B+
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Breeds,1376,True,True,False,False,90,85,70,65,50,20,69,B+
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Health,753,True,True,False,True,85,78,70,65,58,35,69,B+
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Health,745,True,True,False,True,85,78,70,65,58,35,69,B+
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,General Pet Care,743,True,True,False,True,85,78,70,65,58,35,69,B+
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Birds,777,True,True,False,True,85,78,70,65,58,35,69,B+
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,General Pet Care,778,True,True,False,True,85,78,70,65,58,35,69,B+
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Grooming,778,True,True,False,True,85,78,70,65,58,35,69,B+
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Grooming,760,True,True,False,True,85,78,70,65,58,35,69,B+
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Grooming,724,True,True,False,True,85,78,70,65,58,35,69,B+
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Grooming,779,True,True,False,True,85,78,70,65,58,35,69,B+
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Birds,762,True,True,False,True,85,78,70,65,58,35,69,B+
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Product Reviews,731,True,True,False,True,85,78,70,65,58,35,69,B+
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Product Reviews,750,True,True,False,True,85,78,70,65,58,35,69,B+
4188,Best Catnip Toys UK (2026) – What Works and Why,Product Reviews,783,True,True,False,True,85,78,70,65,58,35,69,B+
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Product Reviews,726,True,True,False,True,85,78,70,65,58,35,69,B+
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Beginner Guides,774,True,True,False,True,85,78,70,65,58,35,69,B+
4125,Best Dog Training Treats UK (2026) – Reward Guide,Product Reviews,762,True,True,False,True,85,78,70,65,58,35,69,B+
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Grooming,733,True,True,False,True,85,78,70,65,58,35,69,B+
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Grooming,705,True,True,False,True,85,78,70,65,58,35,69,B+
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Grooming,764,True,True,False,True,85,78,70,65,58,35,69,B+
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Toys & Enrichment,131369,False,True,False,True,65,80,90,70,65,25,68,B+
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Beginner Guides,1581,True,True,False,False,85,75,80,65,50,20,68,B+
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Toys & Enrichment,793,True,True,False,False,85,75,80,70,40,20,67,B+
4790,DIY Dog Toys: Safe Homemade Options,Toys & Enrichment,735,True,True,False,True,85,75,70,65,55,20,67,B+
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Toys & Enrichment,601,True,True,True,True,90,75,55,70,60,20,67,B+
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Cat Health,713,True,True,True,False,90,75,70,65,40,20,66,B+
4568,Dog Dental Health: A Practical Care Guide,Dog Health,626,True,True,False,False,85,75,80,70,35,20,66,B+
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Birds,629,True,True,False,False,85,75,55,70,40,50,66,B+
4563,Dog Grooming Basics: A Complete Guide for Owners,Grooming,656,True,True,False,False,85,70,80,70,35,20,65,B+
4415,Cat Toy Safety Guide: What Every Owner Should Know,Toys & Enrichment,570,True,True,False,False,85,75,70,60,40,20,64,B
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Product Reviews,757,True,True,False,False,85,70,70,60,40,35,64,B
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Toys & Enrichment,569,True,True,False,False,85,75,55,60,40,40,64,B
4408,How Often Should You Replace Cat Toys? A Practical Guide,Toys & Enrichment,530,True,True,False,False,85,75,65,70,40,20,64,B
5414,Cat Toy Types Explained: A Complete Glossary,Toys & Enrichment,761,True,True,True,False,85,65,70,65,45,15,63,B
4570,First-Time Dog Owner Essentials: What You Need to Know,Grooming,769,True,True,False,False,85,75,70,60,35,20,63,B
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Food & Nutrition,620,True,True,False,False,85,70,75,60,35,20,63,B
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Health,635,True,True,False,False,85,75,70,60,35,20,63,B
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Grooming,575,True,True,False,False,85,70,60,70,40,20,63,B
5032,Cat Toys FAQ: Common Questions Answered,Toys & Enrichment,785,True,True,False,True,77,60,80,60,55,15,62,B
4414,Harness vs Collar: Which Is Better for Your Dog?,Pet Gear,470,True,True,False,False,80,70,65,55,40,40,62,B
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Pet Gear,531,True,True,False,False,85,70,70,60,35,20,62,B
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Health,599,True,True,False,False,85,70,65,60,35,20,61,B
696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,Grooming,594,True,True,False,True,80,68,55,60,58,15,61,B
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Product Reviews,326,True,True,False,False,80,73,60,65,40,20,61,B
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Toys & Enrichment,564,True,True,False,False,85,70,55,60,35,20,60,B
5033,How to Choose the Right Cat Toy for Your Cat’s Personality,Toys & Enrichment,478,True,False,False,True,65,60,25,55,50,15,49,C+
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Toys & Enrichment,481,True,False,False,True,65,60,15,45,50,15,46,C+
