post_id,title,cluster,ai_visibility_score,grade,ai_readiness,faq_quality_norm,citation_likelihood,link_authority,entity_coverage,answer_extraction,faq_count,inbound_links,citation_readiness,answer_readiness
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Product Reviews,47.2,C+,74.0,0.0,68.0,13.1,43.0,85.0,3,0,DEVELOPING,READY
4783,How to Choose the Right Dog Bed Size,Pet Gear,47.0,C+,76.0,0.0,55.0,18.0,48.0,85.0,3,0,DEVELOPING,READY
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Health,46.3,C+,77.0,0.0,68.0,6.9,35.0,85.0,2,0,DEVELOPING,NEAR_READY
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Product Reviews,46.2,C+,74.0,0.0,68.0,6.8,43.0,85.0,3,0,DEVELOPING,READY
4202,Best Cat Beds UK (2026) – Complete Guide,Product Reviews,46.1,C+,77.0,0.0,68.0,6.9,33.0,85.0,2,0,DEVELOPING,NEAR_READY
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Product Reviews,46.1,C+,74.0,0.0,68.0,9.7,37.0,85.0,3,0,DEVELOPING,READY
4786,Where to Place Your Dog’s Bed: Location and Comfort Tips,Pet Gear,45.9,C+,75.0,0.0,65.0,4.5,45.0,85.0,3,0,DEVELOPING,NEAR_READY
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,45.9,C+,74.0,0.0,68.0,7.1,39.0,85.0,2,0,DEVELOPING,READY
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,45.8,C+,74.0,0.0,68.0,6.2,40.0,85.0,2,0,DEVELOPING,READY
5423,Dog Toy Enrichment: Beyond Basic Fetch,Toys & Enrichment,45.7,C+,78.0,0.0,50.0,4.6,51.0,90.0,4,0,DEVELOPING,READY
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Horses,45.7,C+,73.0,0.0,68.0,6.7,41.0,85.0,2,0,DEVELOPING,NEAR_READY
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Product Reviews,45.6,C+,73.0,0.0,68.0,6.2,41.0,85.0,2,0,DEVELOPING,NEAR_READY
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Product Reviews,45.6,C+,73.0,0.0,68.0,9.4,36.0,85.0,2,0,DEVELOPING,NEAR_READY
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Product Reviews,45.5,C+,74.0,0.0,55.0,9.4,51.0,85.0,3,0,DEVELOPING,READY
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Toys & Enrichment,45.5,C+,73.0,0.0,68.0,6.2,40.0,85.0,2,0,DEVELOPING,NEAR_READY
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Toys & Enrichment,45.3,C+,70.0,0.0,65.0,4.7,73.0,65.0,64,0,DEVELOPING,DEVELOPING
4791,How to Choose the Right Dog Training Treats,Product Reviews,45.2,C+,70.0,0.0,55.0,13.9,54.0,85.0,3,0,DEVELOPING,READY
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,45.1,C+,74.0,0.0,68.0,6.1,33.0,85.0,2,0,DEVELOPING,READY
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Pet Gear,45.1,C+,73.0,0.0,68.0,6.8,35.0,85.0,2,0,DEVELOPING,NEAR_READY
4188,Best Catnip Toys UK (2026) – What Works and Why,Product Reviews,45.0,C+,69.0,0.0,58.0,20.7,40.0,85.0,2,0,DEVELOPING,NEAR_READY
5419,Cat Care Basics: A Glossary for New Cat Owners,Dog Health,44.9,C,70.0,0.0,50.0,2.4,70.0,90.0,4,0,DEVELOPING,READY
4792,Puppy Socialisation: A Complete Timeline Guide,Beginner Guides,44.8,C,70.0,0.0,65.0,4.9,48.0,85.0,3,0,DEVELOPING,NEAR_READY
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Health,44.7,C,73.0,0.0,68.0,7.0,31.0,85.0,2,0,DEVELOPING,NEAR_READY
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Toys & Enrichment,44.6,C,71.0,0.0,55.0,11.8,48.0,85.0,3,0,DEVELOPING,NEAR_READY
4790,DIY Dog Toys: Safe Homemade Options,Toys & Enrichment,44.6,C,67.0,0.0,55.0,26.5,38.0,85.0,3,0,DEVELOPING,NEAR_READY
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Beginner Guides,44.5,C,69.0,0.0,58.0,15.8,42.0,85.0,2,0,DEVELOPING,NEAR_READY
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,44.3,C,74.0,0.0,58.0,6.8,39.0,85.0,2,0,DEVELOPING,NEAR_READY
5418,Dog Harness Types Explained: Finding the Right Fit,Toys & Enrichment,44.3,C,73.0,0.0,50.0,0.0,59.0,90.0,4,0,DEVELOPING,READY
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Toys & Enrichment,44.3,C,68.0,0.0,65.0,2.3,73.0,65.0,580,0,DEVELOPING,DEVELOPING
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,General Pet Care,44.2,C,74.0,0.0,58.0,7.2,37.0,85.0,2,0,DEVELOPING,NEAR_READY
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Beginner Guides,43.8,C,71.0,0.0,50.0,2.4,56.0,90.0,4,0,DEVELOPING,READY
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Product Reviews,43.8,C,71.0,0.0,58.0,7.2,42.0,85.0,2,0,DEVELOPING,READY
4125,Best Dog Training Treats UK (2026) – Reward Guide,Product Reviews,43.6,C,69.0,0.0,58.0,11.7,39.0,85.0,2,0,DEVELOPING,NEAR_READY
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Food & Nutrition,43.6,C,63.0,0.0,35.0,58.0,23.0,85.0,2,0,DEVELOPING,READY
5416,Dog Bed Types Explained: A Complete Glossary,Pet Gear,43.2,C,71.0,0.0,45.0,0.0,62.0,90.0,4,0,DEVELOPING,READY
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Toys & Enrichment,43.2,C,71.0,0.0,58.0,6.7,37.0,85.0,2,0,DEVELOPING,READY
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Health,43.2,C,61.0,0.0,35.0,56.8,26.0,85.0,2,0,DEVELOPING,NEAR_READY
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Grooming,43.1,C,69.0,0.0,58.0,6.0,43.0,85.0,2,0,DEVELOPING,NEAR_READY
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Product Reviews,43.0,C,71.0,0.0,58.0,7.2,34.0,85.0,2,0,DEVELOPING,READY
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,General Pet Care,43.0,C,69.0,0.0,58.0,7.1,40.0,85.0,2,0,DEVELOPING,NEAR_READY
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Birds,43.0,C,69.0,0.0,58.0,7.0,40.0,85.0,2,0,DEVELOPING,NEAR_READY
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Grooming,43.0,C,69.0,0.0,58.0,7.1,40.0,85.0,2,0,DEVELOPING,NEAR_READY
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Product Reviews,43.0,C,69.0,0.0,58.0,7.0,41.0,85.0,2,0,DEVELOPING,NEAR_READY
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Product Reviews,42.9,C,69.0,0.0,58.0,7.0,39.0,85.0,2,0,DEVELOPING,NEAR_READY
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Grooming,42.9,C,69.0,0.0,58.0,6.7,40.0,85.0,2,0,DEVELOPING,NEAR_READY
4272,Best Cat ID Tags UK (2026) – Identification Guide,Pet Gear,42.7,C,71.0,0.0,58.0,7.3,31.0,85.0,2,0,DEVELOPING,READY
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Beginner Guides,42.7,C,68.0,0.0,50.0,0.0,63.0,85.0,4,0,DEVELOPING,READY
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Product Reviews,42.6,C,71.0,0.0,58.0,6.9,31.0,85.0,2,0,DEVELOPING,READY
4785,How to Wash and Maintain Your Dog’s Bed,Dog Health,42.6,C,70.0,0.0,55.0,4.4,42.0,85.0,3,0,DEVELOPING,READY
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Health,42.6,C,69.0,0.0,58.0,6.6,37.0,85.0,2,0,DEVELOPING,NEAR_READY
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Beginner Guides,42.5,C,70.0,0.0,53.0,9.1,37.0,85.0,3,0,DEVELOPING,READY
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Product Reviews,42.4,C,69.0,0.0,58.0,6.7,35.0,85.0,2,0,DEVELOPING,NEAR_READY
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Toys & Enrichment,42.3,C,71.0,0.0,50.0,0.0,45.0,90.0,3,0,DEVELOPING,NEAR_READY
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Grooming,42.3,C,69.0,0.0,58.0,6.9,34.0,85.0,2,0,DEVELOPING,NEAR_READY
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Grooming,42.3,C,69.0,0.0,58.0,6.7,34.0,85.0,2,0,DEVELOPING,NEAR_READY
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Grooming,42.3,C,69.0,0.0,58.0,6.9,34.0,85.0,2,0,DEVELOPING,NEAR_READY
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Birds,42.2,C,69.0,0.0,58.0,6.9,33.0,85.0,2,0,DEVELOPING,NEAR_READY
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Grooming,42.1,C,69.0,0.0,58.0,7.2,31.0,85.0,2,0,DEVELOPING,NEAR_READY
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,General Pet Care,42.0,C,69.0,0.0,58.0,6.9,31.0,85.0,2,0,DEVELOPING,NEAR_READY
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Health,41.8,C,69.0,0.0,58.0,7.1,28.0,85.0,2,0,DEVELOPING,NEAR_READY
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Pet Gear,41.4,C,72.0,0.0,50.0,0.0,38.0,85.0,3,0,DEVELOPING,READY
5032,Cat Toys FAQ: Common Questions Answered,Toys & Enrichment,41.4,C,62.0,0.0,55.0,15.7,45.0,77.0,8,0,DEVELOPING,NEAR_READY
4568,Dog Dental Health: A Practical Care Guide,Dog Health,39.9,C,66.0,0.0,35.0,17.0,38.0,85.0,3,0,DEVELOPING,READY
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Product Reviews,39.9,C,64.0,0.0,40.0,14.6,40.0,85.0,3,0,DEVELOPING,NEAR_READY
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Health,39.5,C,63.0,0.0,35.0,17.0,43.0,85.0,3,0,DEVELOPING,NEAR_READY
4563,Dog Grooming Basics: A Complete Guide for Owners,Grooming,39.3,C,65.0,0.0,35.0,17.1,35.0,85.0,3,0,DEVELOPING,READY
696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,Grooming,39.3,C,61.0,0.0,58.0,0.0,43.0,80.0,2,0,DEVELOPING,NEAR_READY
5414,Cat Toy Types Explained: A Complete Glossary,Toys & Enrichment,38.9,C,63.0,0.0,45.0,2.4,44.0,85.0,3,0,DEVELOPING,NEAR_READY
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Cat Health,38.6,C,66.0,0.0,40.0,0.0,38.0,90.0,3,0,DEVELOPING,NEAR_READY
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Birds,38.6,C,66.0,0.0,40.0,7.3,32.0,85.0,2,0,DEVELOPING,NEAR_READY
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Toys & Enrichment,38.4,C,67.0,0.0,40.0,2.5,34.0,85.0,3,0,DEVELOPING,READY
4415,Cat Toy Safety Guide: What Every Owner Should Know,Toys & Enrichment,38.4,C,64.0,0.0,40.0,4.9,40.0,85.0,2,0,DEVELOPING,NEAR_READY
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Toys & Enrichment,37.4,C,64.0,0.0,40.0,0.0,37.0,85.0,2,0,DEVELOPING,NEAR_READY
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Grooming,37.4,C,63.0,0.0,40.0,0.0,40.0,85.0,2,0,DEVELOPING,NEAR_READY
4408,How Often Should You Replace Cat Toys? A Practical Guide,Toys & Enrichment,37.1,C,64.0,0.0,40.0,0.0,34.0,85.0,2,0,DEVELOPING,NEAR_READY
4570,First-Time Dog Owner Essentials: What You Need to Know,Grooming,36.8,C,63.0,0.0,35.0,2.4,38.0,85.0,3,0,DEVELOPING,NEAR_READY
4414,Harness vs Collar: Which Is Better for Your Dog?,Pet Gear,36.6,C,62.0,0.0,40.0,0.0,40.0,80.0,2,0,DEVELOPING,NEAR_READY
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Product Reviews,36.5,C,61.0,0.0,40.0,0.0,42.0,80.0,2,0,DEVELOPING,NEAR_READY
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Pet Gear,35.5,C,62.0,0.0,35.0,2.4,28.0,85.0,2,0,DEVELOPING,NEAR_READY
5033,How to Choose the Right Cat Toy for Your Cat’s Personality,Toys & Enrichment,35.3,C,49.0,0.0,50.0,18.4,38.0,65.0,0,0,DEVELOPING,DEVELOPING
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Toys & Enrichment,34.5,D,60.0,0.0,35.0,0.0,28.0,85.0,2,0,DEVELOPING,NEAR_READY
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Toys & Enrichment,33.7,D,46.0,0.0,50.0,15.9,35.0,65.0,0,0,DEVELOPING,DEVELOPING
