post_id,title,type,severity,description,recommendation,current_value,target_value
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,UNDERLINKED,MEDIUM,Only 1 internal links point here.,Add contextual links from Dog Care cluster posts.,1 inbound links,3+ inbound links
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,UNDERLINKED,MEDIUM,Only 1 internal links point here.,Add contextual links from Dog Care cluster posts.,1 inbound links,3+ inbound links
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",UNDERLINKED,MEDIUM,Only 1 internal links point here.,Add contextual links from Pet Nutrition cluster posts.,1 inbound links,3+ inbound links
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,UNDERLINKED,MEDIUM,Only 1 internal links point here.,Add contextual links from Pet Nutrition cluster posts.,1 inbound links,3+ inbound links
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,UNDERLINKED,MEDIUM,Only 1 internal links point here.,Add contextual links from Cat Care cluster posts.,1 inbound links,3+ inbound links
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,UNDERLINKED,MEDIUM,Only 1 internal links point here.,Add contextual links from Dog Care cluster posts.,1 inbound links,3+ inbound links
5419,Cat Care Basics: A Glossary for New Cat Owners,UNDERLINKED,MEDIUM,Only 1 internal links point here.,Add contextual links from Cat Care cluster posts.,1 inbound links,3+ inbound links
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,UNDERLINKED,MEDIUM,Only 1 internal links point here.,Add contextual links from Dog Care cluster posts.,1 inbound links,3+ inbound links
5414,Cat Toy Types Explained: A Complete Glossary,UNDERLINKED,MEDIUM,Only 1 internal links point here.,Add contextual links from Cat Care cluster posts.,1 inbound links,3+ inbound links
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,UNDERLINKED,MEDIUM,Only 1 internal links point here.,Add contextual links from Pet Products cluster posts.,1 inbound links,3+ inbound links
4570,First-Time Dog Owner Essentials: What You Need to Know,UNDERLINKED,MEDIUM,Only 1 internal links point here.,Add contextual links from Dog Care cluster posts.,1 inbound links,3+ inbound links
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,UNDERLINKED,MEDIUM,Only 1 internal links point here.,Add contextual links from Dog Care cluster posts.,1 inbound links,3+ inbound links
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,OVERLINKED,LOW,74 inbound links - may dilute link equity.,Review if all inbound links are necessary. Consolidate where possible.,74 inbound links,<= 15 focused inbound links
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,OVERLINKED,LOW,73 inbound links - may dilute link equity.,Review if all inbound links are necessary. Consolidate where possible.,73 inbound links,<= 15 focused inbound links
4787,Dog Toy Safety: What Every Owner Needs to Know,OVERLINKED,LOW,20 inbound links - may dilute link equity.,Review if all inbound links are necessary. Consolidate where possible.,20 inbound links,<= 15 focused inbound links
4573,Seasonal Pet Safety: Protecting Pets Through the Year,OVERLINKED,LOW,24 inbound links - may dilute link equity.,Review if all inbound links are necessary. Consolidate where possible.,24 inbound links,<= 15 focused inbound links
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,OVERLINKED,LOW,24 inbound links - may dilute link equity.,Review if all inbound links are necessary. Consolidate where possible.,24 inbound links,<= 15 focused inbound links
4571,Pet First Aid Basics: What Every Owner Should Know,OVERLINKED,LOW,24 inbound links - may dilute link equity.,Review if all inbound links are necessary. Consolidate where possible.,24 inbound links,<= 15 focused inbound links
4174,Best Cat Toys UK (2026) – Complete Guide,OVERLINKED,LOW,16 inbound links - may dilute link equity.,Review if all inbound links are necessary. Consolidate where possible.,16 inbound links,<= 15 focused inbound links
3956,Best Dog Toys UK (2026) – Complete Guide  Honest Reviews,OVERLINKED,LOW,19 inbound links - may dilute link equity.,Review if all inbound links are necessary. Consolidate where possible.,19 inbound links,<= 15 focused inbound links
