post_id,title,cluster,outbound_internal_links,inbound_internal_links,avg_anchor_quality,authority_flow_score,crawl_reinforcement_score,link_quality_grade
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Care,4,3,90.0,7.3,31.4,D
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Care,4,0,90.0,0,10.8,F
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Care,1,1,90.0,2.4,30.4,D
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Care,4,0,90.0,0,10.8,F
4414,Harness vs Collar: Which Is Better for Your Dog?,Pet Products,4,0,90.0,0,10.8,F
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Care,4,2,90.0,4.9,31.2,D
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,1,7,90.0,17.1,31.6,D
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,1,7,90.0,17.0,31.6,D
4568,Dog Dental Health: A Practical Care Guide,Pet Health,1,7,90.0,17.0,31.6,D
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,1,1,90.0,2.4,30.4,D
4571,Pet First Aid Basics: What Every Owner Should Know,General,1,24,90.0,56.8,34.9,C
4573,Seasonal Pet Safety: Protecting Pets Through the Year,General,5,24,78.0,56.9,35.7,C
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,General,1,24,90.0,58.0,34.9,C
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Dog Care,1,0,90.0,0,10.2,F
4783,How to Choose the Right Dog Bed Size,Dog Care,12,8,84.2,18.0,33.9,D
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Care,12,4,83.3,9.4,33.1,D
4785,How to Wash and Maintain Your Dogs Bed,Dog Care,12,2,83.3,4.4,32.7,D
4786,Where to Place Your Dogs Bed: Location and Comfort Tips,Dog Care,12,2,83.3,4.5,32.7,D
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Care,12,20,83.3,48.5,36.2,C
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Care,12,5,83.3,11.8,33.3,D
4789,Best Types of Dog Toys for Different Play Styles,Pet Products,12,14,84.2,32.7,35.1,D
4790,DIY Dog Toys: Safe Homemade Options,Dog Care,12,11,84.2,26.5,34.5,D
4791,How to Choose the Right Dog Training Treats,Dog Care,12,6,84.2,13.9,33.5,D
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Care,12,2,85.0,4.9,32.7,D
5032,Cat Toys FAQ: Common Questions Answered,Cat Care,11,7,84.5,15.7,33.5,D
5033,How to Choose the Right Cat Toy for Your Cats Personality,Cat Care,11,8,81.4,18.4,33.7,D
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Care,11,8,83.6,18.0,33.7,D
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Care,11,9,80.5,21.8,33.9,D
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Care,11,7,82.7,15.9,33.5,D
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Pet Products,7,1,81.4,2.5,31.6,D
5414,Cat Toy Types Explained: A Complete Glossary,Cat Care,4,1,90.0,2.4,31.0,D
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Dog Care,4,1,90.0,2.5,31.0,D
5416,Dog Bed Types Explained: A Complete Glossary,Dog Care,2,0,82.5,0,10.4,F
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,0,0,0,0,30.0,F
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Care,1,0,90.0,0,10.2,F
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Care,1,1,90.0,2.4,30.4,D
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Care,5,73,88.0,100,45.2,B
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Care,5,1,86.0,2.4,31.2,D
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Care,6,0,86.7,0,11.2,F
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Care,6,2,88.3,4.6,31.6,D
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Care,7,74,87.1,100,45.8,B
5425,Dog Toys FAQ: Common Questions Answered,Dog Care,8,0,87.5,0,11.6,F
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Care,7,1,81.4,2.4,31.6,D
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Pet Nutrition,5,1,78.0,2.5,31.2,D
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Care,6,2,80.0,4.9,31.6,D
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Pet Grooming,4,0,75.0,0,10.8,F
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Pet Nutrition,4,1,75.0,2.5,31.0,F
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Care,7,9,79.3,20.7,33.1,D
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Dog Care,6,9,77.5,20.5,32.9,D
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Care,6,0,80.0,0,11.2,F
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Care,48,2,80.0,4.7,39.8,D
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Dog Care,438,1,80.0,2.3,100,C
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Dog Care,7,1,81.4,2.4,31.6,D
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Pet Products,7,0,81.4,0,11.4,F
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Care,7,1,78.6,2.4,31.6,D
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",General,7,1,81.4,2.4,31.6,D
5512,Dog Behaviour Explained: Understanding Your Dogs Body Language and Actions,Dog Care,7,0,81.4,0,11.4,F
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Cat Care,8,0,82.5,0,11.6,F
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Pet Health,4,1,75.0,2.4,31.0,F
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Pet Health,6,0,80.0,0,11.2,F
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Care,7,0,80.0,0,11.4,F
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Care,7,0,81.4,0,11.4,F
