post_id,title,cluster,faq_count,avg_conversational,avg_extraction,avg_usefulness,avg_directness,avg_query_coverage,avg_beginner,avg_ai_suitability,overall_faq_quality_score,grade
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,general-pets,8,7.4,8.4,5.9,7.5,9.7,5.9,7.6,7.5,A-
5462,Dog Training Terminology Explained: Key Concepts for New Owners,dog-training,8,7.4,8.2,5.6,7.7,9.7,6.2,7.6,7.5,A-
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,general-pets,8,7.4,8.2,6.2,7.4,9.4,5.9,7.4,7.5,A-
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,general-pets,3,7.3,8.3,6.3,8.2,7.7,6.5,7.8,7.5,A-
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,general-pets,4,7.4,8.2,5.8,7.9,8.5,7.0,7.5,7.5,A-
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,dog-care,4,7.5,8.6,6.4,7.0,8.4,6.5,8.0,7.5,A-
5416,Dog Bed Types Explained: A Complete Glossary,general-pets,4,7.4,8.4,6.0,7.2,8.5,6.5,7.9,7.5,A-
4789,Best Types of Dog Toys for Different Play Styles,general-pets,3,8.7,8.3,5.6,7.7,7.8,6.8,7.8,7.5,A-
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,general-pets,3,6.7,8.6,6.4,8.0,8.5,5.8,7.8,7.5,A-
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,dog-food,5,7.3,8.5,6.3,8.2,8.7,6.0,7.3,7.5,A-
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,general-pets,8,7.8,8.2,5.4,7.3,8.9,6.4,7.5,7.4,A-
4571,Pet First Aid Basics: What Every Owner Should Know,general-pets,2,8.0,8.3,6.2,8.0,6.6,8.0,7.5,7.4,A-
4563,Dog Grooming Basics: A Complete Guide for Owners,dog-health,3,8.5,8.0,5.7,8.2,8.4,6.5,6.7,7.4,A-
4314,Best Cat Litter Trays UK (2026) – Complete Guide,general-pets,2,6.8,8.6,7.1,8.0,6.4,6.8,7.8,7.4,A-
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,dog-grooming,3,7.3,8.3,6.2,8.5,8.5,5.7,7.0,7.4,A-
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,general-pets,3,6.8,8.5,5.9,8.0,7.7,6.8,7.7,7.4,A-
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,dog-food,5,7.6,8.2,5.8,7.7,9.0,5.6,7.5,7.4,A-
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",general-pets,8,7.2,8.2,5.3,8.0,9.2,5.4,7.4,7.3,B+
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,cat-behavior,8,7.5,8.2,5.4,7.4,9.1,5.8,7.4,7.3,B+
5425,Dog Toys FAQ: Common Questions Answered,general-pets,4,8.0,8.1,5.8,8.1,7.6,5.8,7.4,7.3,B+
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,general-pets,4,7.0,8.4,5.7,7.2,7.9,6.6,7.8,7.3,B+
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,general-pets,4,7.0,8.6,6.0,7.5,8.2,6.1,7.6,7.3,B+
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,general-pets,3,8.0,8.5,6.0,7.2,7.5,6.3,7.7,7.3,B+
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",general-pets,3,7.7,8.5,5.5,8.0,7.3,6.0,7.8,7.3,B+
4783,How to Choose the Right Dog Bed Size,general-pets,3,8.3,8.5,5.4,7.7,7.6,5.8,7.7,7.3,B+
4573,Seasonal Pet Safety: Protecting Pets Through the Year,general-pets,2,8.0,8.3,5.9,7.5,6.6,7.2,7.5,7.3,B+
4570,First-Time Dog Owner Essentials: What You Need to Know,pet-insurance,3,8.2,8.5,5.6,8.0,7.4,6.0,7.7,7.3,B+
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,general-pets,2,7.0,8.6,6.7,7.0,6.7,7.0,7.8,7.3,B+
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,general-pets,3,7.5,8.3,5.6,7.3,8.2,6.5,7.5,7.3,B+
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,general-pets,3,6.7,8.5,6.1,8.0,7.9,5.5,7.7,7.3,B+
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,general-pets,3,6.7,8.5,5.8,8.0,7.7,6.2,7.7,7.3,B+
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,pet-products,3,7.0,8.1,5.8,8.5,8.0,6.0,7.5,7.3,B+
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,general-pets,4,6.9,8.2,5.6,8.4,8.2,5.9,7.6,7.3,B+
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,general-pets,3,7.2,8.0,6.0,8.2,8.5,6.3,6.8,7.3,B+
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,pet-products,4,7.1,8.2,6.2,8.1,8.5,5.6,7.0,7.3,B+
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",general-pets,64,7.4,8.1,5.4,7.1,9.2,5.9,7.4,7.2,B+
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,general-pets,7,7.6,8.3,5.4,7.3,8.1,5.7,7.5,7.2,B+
5423,Dog Toy Enrichment: Beyond Basic Fetch,general-pets,4,6.8,8.4,5.7,7.8,7.1,6.9,7.6,7.2,B+
5418,Dog Harness Types Explained: Finding the Right Fit,general-pets,4,7.4,8.3,5.7,6.8,8.1,6.5,7.5,7.2,B+
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,general-pets,3,7.2,8.1,5.5,8.2,7.9,6.0,7.5,7.2,B+
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,cat-care,4,6.9,8.4,6.0,7.5,7.9,5.8,7.6,7.2,B+
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,cat-care,3,7.5,8.1,5.6,7.5,8.1,5.7,7.5,7.2,B+
4792,Puppy Socialisation: A Complete Timeline Guide,general-pets,3,7.8,8.1,5.8,8.2,7.1,5.7,7.5,7.2,B+
4787,Dog Toy Safety: What Every Owner Needs to Know,general-pets,3,7.2,8.5,5.5,7.7,7.3,6.0,7.7,7.2,B+
4786,Where to Place Your Dog’s Bed: Location and Comfort Tips,general-pets,3,7.7,8.3,6.0,7.7,6.8,6.3,7.7,7.2,B+
4785,How to Wash and Maintain Your Dog’s Bed,general-pets,3,8.0,8.3,5.8,7.5,7.6,5.8,7.3,7.2,B+
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,general-pets,3,7.5,8.3,5.1,8.0,7.5,6.5,7.5,7.2,B+
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,general-pets,2,7.5,8.3,5.7,8.8,5.5,7.8,7.5,7.2,B+
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,dog-care,3,7.8,8.5,5.7,7.3,7.5,6.2,7.0,7.2,B+
4415,Cat Toy Safety Guide: What Every Owner Should Know,general-pets,2,7.0,8.6,6.3,8.0,6.4,5.8,7.8,7.2,B+
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,cat-care,3,6.5,8.6,6.0,7.3,7.7,6.3,7.8,7.2,B+
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,dog-training,2,7.0,8.4,6.7,8.8,6.1,5.2,7.8,7.2,B+
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,general-pets,2,6.2,8.8,7.2,7.5,5.8,6.5,8.0,7.2,B+
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,dog-grooming,2,6.2,8.6,5.8,8.0,6.5,6.8,8.0,7.2,B+
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,general-pets,2,7.0,8.6,5.5,7.5,6.7,7.0,7.8,7.2,B+
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,dog-grooming,2,6.0,8.8,6.5,8.0,6.2,6.2,8.0,7.2,B+
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,dog-training,3,6.0,8.5,6.4,8.0,7.1,6.2,7.7,7.2,B+
3836,Best Dog Food UK (2026) – Complete Buying Guide,dog-food,1,5.0,8.8,7.0,7.5,5.9,6.5,8.5,7.2,B+
5414,Cat Toy Types Explained: A Complete Glossary,general-pets,3,6.3,8.1,6.0,8.2,7.4,6.2,7.0,7.1,B+
4790,DIY Dog Toys: Safe Homemade Options,general-pets,3,7.7,8.0,5.6,8.5,7.3,5.7,6.7,7.1,B+
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,general-pets,3,7.0,8.1,5.4,7.7,7.6,6.2,7.5,7.1,B+
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,general-pets,2,7.8,8.6,5.3,8.0,6.1,6.2,7.8,7.1,B+
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,general-pets,2,6.8,8.3,5.4,8.8,6.4,6.2,7.8,7.1,B+
4408,How Often Should You Replace Cat Toys? A Practical Guide,general-pets,2,6.5,8.6,6.0,8.0,5.8,6.5,7.8,7.1,B+
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,general-pets,2,7.0,8.6,5.8,8.0,6.4,5.5,7.8,7.1,B+
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,general-pets,2,6.2,7.9,6.6,9.5,6.1,5.5,7.5,7.1,B+
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,general-pets,2,6.2,8.6,6.2,8.0,5.8,6.8,7.8,7.1,B+
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,cat-grooming,2,6.0,8.6,5.8,8.0,6.5,6.8,7.8,7.1,B+
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,cat-grooming,2,6.5,8.6,6.2,7.5,6.7,5.5,7.8,7.1,B+
4188,Best Catnip Toys UK (2026) – What Works and Why,general-pets,2,6.2,8.3,6.2,9.2,5.3,6.5,8.0,7.1,B+
4174,Best Cat Toys UK (2026) – Complete Guide,cat-health,2,6.0,8.6,6.3,7.8,5.9,6.8,8.0,7.1,B+
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,general-pets,2,7.0,7.8,6.0,8.8,5.8,6.8,7.5,7.1,B+
4568,Dog Dental Health: A Practical Care Guide,general-pets,3,7.0,8.3,5.7,7.7,7.3,6.5,6.8,7.0,B
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,general-pets,2,6.8,8.3,6.2,8.2,5.8,6.0,7.5,7.0,B
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",general-pets,3,7.2,8.3,5.3,7.3,7.4,6.0,7.5,7.0,B
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,cat-behavior,2,6.5,8.6,5.5,8.0,5.8,6.5,7.8,7.0,B
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,cat-grooming,2,6.2,8.6,6.2,8.0,5.6,6.2,7.8,7.0,B
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,cat-care,2,5.8,8.3,7.0,8.0,5.6,6.0,7.5,7.0,B
4202,Best Cat Beds UK (2026) – Complete Guide,general-pets,2,6.2,8.3,6.2,8.0,5.8,6.0,7.8,7.0,B
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,general-pets,2,6.2,8.6,6.1,8.0,6.1,5.5,7.8,7.0,B
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,general-pets,2,7.0,8.6,6.0,8.2,6.4,6.0,6.8,7.0,B
4089,Best Dog Health and Care UK (2026) – Complete Guide,dog-health,2,6.8,8.6,6.5,8.0,6.4,5.2,6.8,7.0,B
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,general-pets,3,6.5,7.8,6.0,9.0,7.9,5.7,6.0,7.0,B
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,general-pets,2,7.5,8.3,5.4,8.0,6.3,6.2,7.5,7.0,B
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,birds,2,7.0,8.6,6.1,6.5,5.8,5.2,8.0,6.9,B
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,cat-behavior,2,5.8,8.6,5.9,8.0,5.8,6.2,7.8,6.9,B
4258,Best Cat Collars UK (2026) – Complete Safety Guide,cat-care,2,6.0,8.3,5.8,8.0,5.9,6.0,7.8,6.9,B
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,cat-care,2,6.0,8.3,6.0,8.8,5.8,5.5,7.5,6.9,B
4125,Best Dog Training Treats UK (2026) – Reward Guide,dog-training,2,6.2,8.6,6.2,8.8,5.3,5.5,7.0,6.9,B
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,general-pets,2,7.2,7.3,6.5,8.8,6.7,5.5,6.0,6.9,B
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,general-pets,2,6.8,7.8,5.8,8.8,6.1,5.2,7.2,6.8,B
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,general-pets,2,6.5,8.3,5.4,8.0,5.5,6.5,7.5,6.8,B
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,general-pets,2,6.5,8.3,5.5,8.0,6.1,5.8,7.5,6.8,B
4272,Best Cat ID Tags UK (2026) – Identification Guide,general-pets,2,7.0,8.6,5.3,7.0,5.8,6.5,7.5,6.8,B
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,general-pets,2,6.0,7.8,5.9,8.8,6.1,5.5,7.2,6.8,B
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,dog-training,2,6.2,8.6,5.7,7.0,6.1,5.5,7.8,6.8,B
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,dog-training,2,6.8,8.1,5.5,8.8,6.1,6.0,6.5,6.8,B
4414,Harness vs Collar: Which Is Better for Your Dog?,general-pets,2,7.0,8.3,5.4,7.5,5.5,5.8,7.5,6.7,B-
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,cat-behavior,2,6.0,8.3,5.2,7.5,5.9,6.5,7.5,6.7,B-
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,general-pets,2,6.0,8.1,5.7,8.0,5.5,5.5,7.5,6.7,B-
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,general-pets,2,6.0,8.3,5.6,7.0,5.8,6.5,7.5,6.7,B-
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,general-pets,2,6.8,7.8,5.5,7.5,6.1,6.2,7.2,6.7,B-
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,general-pets,2,6.8,7.3,6.3,8.8,6.4,5.5,6.0,6.7,B-
696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,general-pets,2,6.2,8.3,6.2,8.0,5.9,4.8,6.5,6.7,B-
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,birds,2,6.0,7.8,5.5,8.0,5.3,6.5,7.2,6.6,B-
5033,How to Choose the Right Cat Toy for Your Cat’s Personality,cat-care,0,0,0,0,0,2.0,0,0,0,D
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,cat-care,0,0,0,0,0,2.0,0,0,0,D
